Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,203184110,"Professional Capacity
Building","525,274",-,"525,274",-,347,0
205003000,,,"172,862,923","9,197,839","163,665,084",5.3,347,0
,205014110,Administration,"161,312,923","9,197,839","152,115,084",5.7,347,0
,205024110,"General Administration-
Public works","11,550,000",-,"11,550,000",-,347,0
207003000,,,"3,026,370","198,412","2,827,958",6.6,347,0
,207014110,Structural Services,"3,026,370","198,412","2,827,958",6.6,347,0
208003000,,,"2,000,000","23,200","1,976,800",1.2,347,0
,208014110,Electrical Services,"2,000,000","23,200","1,976,800",1.2,347,0
209003000,,,"2,075,822","181,442","1,894,380",8.7,347,0
,209014110,Building Inspectorate,"2,075,822","181,442","1,894,380",8.7,347,0
210003000,,,"1,500,548","339,089","1,161,459",22.6,347,0
,210014110,Architectural Services,"1,500,548","339,089","1,161,459",22.6,347,0
302003000,,,"106,130,323",-,"106,130,323",-,347,0
,302014110,"Cooperatives Develop-
ment Fund","1,380,438",-,"1,380,438",-,347,0
,302024110,Value Addition Initiatives,"967,911",-,"967,911",-,348,0
,302034110,"Business Development
and Training Services","1,500,548",-,"1,500,548",-,348,0
,302044110,"Liquor control Pro-
gramme","1,700,000",-,"1,700,000",-,348,0
,302054110,"Cooperative societies
development and revival
programmes","809,263",-,"809,263",-,348,0
,302064110,Legal Metrology Services,"1,300,000",-,"1,300,000",-,348,0
,302074110,"Verification of traders
equipment","1,758,020",-,"1,758,020",-,348,0
,302084110,"Consumer rights educa-
tion","700,000",-,"700,000",-,348,0
,302094110,"Industrial sector support
programme","675,274",-,"675,274",-,348,0
,302104110,"Standards and An-
ti-Counterfeit Services","851,252",-,"851,252",-,348,0
,302114110,"Market Infrastructure
Development","39,465,000",-,"39,465,000",-,348,0
,302124110,"Industrial Development
and Investments","9,545,700",-,"9,545,700",-,348,0
,302134110,Biashara Fund,"36,000,000",-,"36,000,000",-,348,0
,302154110,"North Rift Economic &
FCDC Blocs","6,476,917",-,"6,476,917",-,348,0
,302164110,"Standardization and Me-
trology","3,000,000",-,"3,000,000",-,348,0
303003000,,,"10,338,842","997,600","9,341,242",9.6,348,0
,303014110,"Construction & Develop-
ment of Modern Physical
Market","2,340,000","500,000","1,840,000",21.4,348,0
,303024110,"Co-operative Marketing,
Value Addition, Surveys
& Research","2,310,000","497,600","1,812,400",21.5,348,0
,303034110,"Co-operative Education,
Training, Exchange and
Ushirika Day Celeb","2,688,459",-,"2,688,459",-,348,0
,303044110,"Strengthening of Key
Dormant Co-operative
Societies","2,000,000",-,"2,000,000",-,348,0
,303054110,"Formulation of Coop-
erative Policy and Legal
Frame Work","1,000,383",-,"1,000,383",-,348,0
307003000,,,"95,506,321","106,700","95,399,621",0.1,348,0
,307014110,ral Administration,"95,506,321","106,700","95,399,621",0.1,348,0
308003000,,,"19,056,909","818,710","18,238,199",4.3,348,0
,308014110,"Gender Empowerment
and advocacy","9,310,000","818,710","8,491,290",8.8,348,0
,308024110,"Gender Mainstreaming
and Coordination","8,220,657",-,"8,220,657",-,348,0
,308034110,"Legal Compliance and
Redress","601,252",-,"601,252",-,348,0
,308044110,"Promotion of Gender
Equality and Empower-
ment","925,000",-,"925,000",-,348,0
309003000,,,"148,898,787","969,400","147,929,387",0.7,348,0
,309014110,"Youth Coordination and
Representation","11,960,876","450,000","11,510,876",3.8,348,0
,309024110,"Youth Employment
Scheme","2,550,000",-,"2,550,000",-,348,0
,309034110,Youth Rare skills,"1,387,911","519,400","868,511",37.4,348,0
,309044110,Youth and Women Fund,"133,000,000",-,"133,000,000",-,348,0
401003000,,,"563,019,252","53,225,068","509,794,183",9.5,349,0
,401014110,"General Administration,
Planning and support
services","424,004,284","53,225,068","370,779,215",12.6,349,0
,401074110,Health Facilities,"139,014,968",-,"139,014,968",-,349,0
402003000,,,"152,382,986","3,566,565","148,816,421",2.3,349,0
,402114110,Health promotion,"89,487,314","1,390,400","88,096,914",1.6,349,0
,402134110,"Emergency preparedness
& disaster response","49,610,832","2,176,165","47,434,667",4.4,349,0
,402164110,mainstreaming,"13,284,840",-,"13,284,840",-,349,0
410003000,,,"22,450,000","438,000","22,012,000",2.0,349,0
,410014110,Laboratory Services,"2,250,000","243,000","2,007,000",10.8,349,0
,410024110,"Blood Transfusion Ser-
vices","2,400,000",-,"2,400,000",-,349,0
,410034110,Rehabilitative Services,"2,500,000",-,"2,500,000",-,349,0
,410044110,"Referals & Emergency
Services","2,500,000",-,"2,500,000",-,349,0
,410054110,Radiology Services,"2,300,000",-,"2,300,000",-,349,0
,410064110,Dental Services,"2,100,000",-,"2,100,000",-,349,0
,410074110,Clinical Services,"2,000,000",-,"2,000,000",-,349,0
,410084110,Nursing Services,"2,000,000",-,"2,000,000",-,349,0
,410094110,"Rural Health Facility
Support","2,400,000","195,000","2,205,000",8.1,349,0
