Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"General Administration, Planning
and Support Services",,"446,977,147","176,539,976","270,437,171",39.5,96,0
,"Headquarters Administrative
Services",-,-,-,-,96,0
,"General Administration and
Support Services","446,977,147","176,539,976","270,437,171",39.5,96,0
"Livestock Recourses Management
and Development",,"2,741,900","324,800","2,417,100",11.8,96,0
,Veterinary Services,"2,741,900","324,800","2,417,100",11.8,96,0
"Fisheries Development and Man-
agement",,"3,822,078","225,500",,5.9,96,0
,"Fisheries Policy Strategy and
Capacity Building",-,-,-,-,96,0
,Fisheries,"3,822,078","225,500","3,596,578",5.9,96,0
Land Policy and Planning,,"397,844,200","14,644,803","383,199,398",3.7,96,0
,Land Survey,-,-,-,-,96,0
,"Boundaries and Fencing Ser-
vices",-,-,-,-,96,0
,Physical Planning,"82,121,900","3,842,405","78,279,495",4.7,96,0
,Land Survey and Mapping,"11,686,000","1,672,450","10,013,550",14.3,96,0
,Housing,-,-,-,-,96,0
,,"7,102,000","2,107,000","4,995,000",29.7,96,0
,,"296,934,300","7,022,948","289,911,353",2.4,96,0
"Animal Husbandry Livestock Re-
source Management and Develop-
ment",,"89,289,241","17,869,762","71,419,479",20.0,96,0
,Animal Husbandry,"27,371,422","1,498,250","25,873,172",5.5,96,0
,County Abattoirs,"1,979,284","298,339","1,680,945",15.1,96,0
,Animal Disease Control,"59,071,161","16,073,174","42,997,987",27.2,96,0
,Livestock Sale Yards,"867,374",-,"867,374",-,96,0
Agricultural Development,,"27,022,769","4,976,568","22,046,201",18.4,96,0
,Crop Husbandry,"14,387,500","4,513,530","9,873,970",31.4,96,0
,Plant Disease Control,"1,959,419","14,000","1,945,419",0.7,96,0
,"Agricultural Mechanization
Services","7,897,500","279,038","7,618,462",3.5,96,0
,Demonstration Farm,"1,108,200","125,000","983,200",11.3,96,0
,Agricultural Training Centre,"1,670,150","45,000","1,625,150",2.7,96,0
Environment Management,,"138,432,189","20,429,760","118,002,429",14.8,96,0
,Environmental Protection,"126,848,231","19,028,550","107,819,681",15.0,96,0
,Noise Pollution Management,"2,600,000","685,300","1,914,700",26.4,96,0
,Control of Air Pollution,"1,533,958","184,110","1,349,848",12.0,96,0
,,"7,450,000","531,800","6,918,200",7.1,96,0
"General Administration, Planning
and Support Services",,"854,599,166","62,382,466","792,216,700",7.3,96,0
,"Headquarters Administrative
Services","107,806,001","40,413,286","67,392,715",37.5,97,0
