Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expend-
iture (Kshs. )",Variance,"Absorp-
tion (%)",page_number,table_index
P4: Monitoring and Evaluation,SP 4.1:Monitoring and Evaluation of projects,"16,138,691","3,888,629","12,250,062",24.1,67,1
P5: Research and Statistics,SP5.1: County database and profile,"13,448,909","3,240,524","10,208,385",24.1,67,1
"P6: P7: Kenya Devolution Sup-
port Programme",SP 7.1: Kenya Devolution Support Programme,"40,595,727","8,275,391","32,320,336",20.4,68,0
Sub Total,,"162,713,731","38,158,803","124,554,928",23.5,68,0
"Lands, Physical Planning and Urban Development",,,,,,68,0
P1: Land Policy and Planning,SP1.1: Spatial planning and urban Planning,"44,716,358","4,008,773","40,707,586",9.0,68,0
,SP1.2: Survey and land Planning,"47,682,471","4,008,773","43,673,699",8.4,68,0
"P2:Environment Management
and Natural Resources Conser-
vation","SP2:1: Environment Management and Natural Re-
sources Conservation","57,218,965","4,810,527","52,408,438",8.4,68,0
"P3: General Administration,
Planning and Support Services","SP3.1 General Administration and support Servic-
es","38,145,977","3,207,018","34,938,959",8.4,68,0
Sub Total,,"187,763,771","16,035,090","171,728,681",8.5,68,0
"Investment, Industrialization, Trade and Tourism",,,,,,68,0
"P1:Administrative Support Ser-
vices",P1.1:Administrative Support Services,"14,697,326","2,172,294","12,525,032",14.8,68,0
"P2: Trade development and Pro-
motion",P2.1: Trade development and Promotion,"59,937,807","8,858,926","51,078,880",14.8,68,0
"P3:Industrial Development and
Investment",P3.1:Industrial Development and Investment,"27,366,215","4,044,781","23,321,435",14.8,68,0
P4:Tourism Development,P4.1:Tourism Development,"22,390,540","3,309,366","19,081,174",14.8,68,0
Sub Total,,"124,391,888","18,385,367","106,006,521",14.8,68,0
"Agriculture, Livestock, Fisheries and Co-Operative Development",,,,,,68,0
"P1:Administrative Support Ser-
vices",P1.1: Administrative Support Services,"93,422,817","16,513,390","76,909,427",17.7,68,0
"P2:Crop Development and Man-
agement",P2.1:Crop Development and Management,"348,272,830","61,560,603","286,712,226",17.7,68,0
"P3:Agribusiness and Informa-
tion Management",P3.1:Agribusiness and Information Management,"96,455,624","17,049,468","79,406,156",17.7,68,0
"P4:Livestock Resources Manage-
ment and Development","P4.1:Livestock Resources Management and Devel-
opment","129,618,434","22,911,317","106,707,118",17.7,68,0
P5:Fisheries Development,P5.1:Fisheries Development,"74,196,634","13,114,975","61,081,659",17.7,68,0
Sub Total,,"741,966,339","131,149,753","610,816,586",17.7%,68,0
"Water, Environment and Natural Resources.",,,,,,68,0
"P1: Water Supply and sewerage
Services",SP1.1: Domestic water supply,"72,588,981","9,802,550","62,786,431",13.5,68,0
P2: Irrigation,SP2.1: Provision of Irrigation water,"68,959,532","9,312,423","59,647,109",13.5,68,0
"P3: General Administration,
Planning and Support Services","SP 3.1 General Administration and support Ser-
vices","39,923,940","5,391,403","34,532,537",13.5,68,0
Sub Total,,"181,472,453","24,506,376","156,966,077",13.5,68,0
Health,,,,,,68,0
P1: Curative Health Services,SP1.1: Primary Health Care,"1,228,076,816","492,642,058","735,434,758",40.1,68,0
"P2: Preventive and Promotive
Health Services",SP2.1: Health Promotion & Disease Control,"453,511,964","201,833,741","251,678,223",44.5,68,0
"P3: General Administration
Planning and Support Services",SP3.1: General Administration services,"351,840,500","159,152,334","192,688,166",45.2,68,0
Sub Total,,"2,033,429,281","853,628,133","1,179,801,148",42,68,0
Embu Level 5 Hospital,,,,,,68,0
P1: Curative Health Services,SP1.1: Primary Health Care,"259,931,469","77,817,656","182,113,813",29.9,68,0
"P2: Preventive and Promotive
Health Services",SP2.1: Health Promotion & Disease Control,"53,386,955","17,549,224","35,837,731",32.9,68,0
"P3: General Administration
Planning and Support Services",SP3.1: General Administration services,"35,924,794","12,172,267","23,752,527",33.9,68,0
Sub Total,,"349,243,218","107,539,146","241,704,072",30,68,0
"Infrastructure, Public Works and Housing.",,,,,,68,0
"P1: General Administration
Planning and Support Services",SP1.1: General Administration Services,"150,079,361","19,863,241","130,216,119",13.2,68,0
