Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Department of Agriculture and Animal
Services",,,,,,54,1
"Land use and Management
Crop Production and management",Agricultural mechanization,"12,300,000",-,"12,300,000",-,54,1
,Inputs Support services,"27,000,000",-,"27,000,000",-,54,1
,Crop Development,"6,050,000",-,"6,050,000",-,54,1
,Crop Protection,"5,010,000",-,"5,010,000",-,54,1
"Agricultural Training and Extension Ser-
vices",Agriculture Extension Services,"3,000,000",-,"3,000,000",-,54,1
,Agricultural Training Services,"153,234,646","47,750,390","105,484,257",31.2,54,1
,"Kenya Climates Smart Agriculture
Programme (KCSP)","208,607,507","10,171,377","198,436,130",4.9,54,1
"Agribusiness and agricultural Value chain
Development",Value Addition,"372,190",-,"372,190",-,54,1
"Agricultural Financial and Investment ser-
vice",Agricultural credit Support Services,"8,000,000",-,"8,000,000",-,54,1
"Fisheries and Aquaculture Resource Devel-
opment",Aquaculture development,"6,080,000",-,"6,080,000",-,54,1
,"Fisheries training infrastructure de-
velopment","5,000,000",-,"5,000,000",-,54,1
,Lake based aquaculture parks,"20,000,000",-,"20,000,000",-,54,1
Livestock Production Development,"Livestock Production Improvement
(Cattle","5,000,000",-,"5,000,000",-,54,1
Veterinary Health Services,Veterinary Disease Control,"10,585,000",-,"10,585,000",-,54,1
,AI Services,"3,500,000",-,"3,500,000",-,54,1
,Meat inspection services,"2,000,000",-,"2,000,000",-,54,1
,Other Development Projects,"188,454,000","6,462,586","181,991,414",3.4,54,1
"Department of Trade, Cooperatives and
Industrialization",,,,,,54,1
Trade Development,"Busia County Trade Development
Fund","5,000,000",-,"5,000,000",-,54,1
,"Market Modernization and develop-
ment","49,574,063",-,"49,574,063",-,54,1
Fair Trade Practices,Weight and Measures,"5,000,000",-,"5,000,000",-,54,1
Cooperative Development,"Cooperative Management and gov-
ernance","7,000,000",-,"7,000,000",-,54,1
,Other Development Projects,"138,821,114",-,"138,821,114",-,54,1
"Department of Education and Vocational
Training",,-,-,-,-,54,1
"Early Childhood Development Education
(Basic Education
-","Improvement of Infrastructure in
ECDE Centers","8,072,267",-,"8,072,267",-,54,1
,ECDE Capitation,"2,000,000",-,"2,000,000",-,54,1
"Technical/Vocational Training Develop-
ment",Infrastructure Development,"14,302,411",-,"14,302,411",-,54,1
: Education Support,Education Support scheme,"109,159,139",-,"109,159,139",-,54,1
,Other Development Projects,"104,701,726",-,"104,701,726",-,54,1
"Department of Finance, Economic Plan-
ning and ICT",,-,-,-,-,54,1
