Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,Sub total,"12,966,000.00",-,"12,966,000.00",-,218,0
,Aquaculture development and extension,"15,835,083.00",-,"12,486,708.00",,218,0
,Sub total,"15,835,083.00",-,"12,486,708.00",,218,0
"Livestock (Policy,
Planning, General
Administration and
Support Services)",General administration,"7,290,000.00","384,350.00","6,905,650.00",5.3,218,0
,Sub total,"7,290,000.00","384,350.00","6,905,650.00",5.3,218,0
"Livestock produc-
tion and manage-
ment","Enterprise Development And Value Addi-
tion","4,720,000.00","521,730.00","4,198,270.00",11.0,218,0
,Sub total,"4,720,000.00","521,730.00","4,198,270.00",11.0,218,0
"Veterinary Services
(Policy, Planning,
General Adminis-
tration and Support
Services)",General administration,"6,919,000.00",-,"6,919,000.00",-,218,0
,"Field Extension Services and support pro-
gramme","1,230,000.00","900,000.00","330,000.00",73.1,218,0
,Sub total,"8,149,000.00","900,000.00","7,249,000.00",11.04,218,0
Veterinary services,Livestock disease control & management,"9,489,786.00","10,151,162.00","(661,376.00)",106.9,218,0
,Veterinary public health management,"2,920,000.00",-,"2,920,000.00",-,218,0
,Livestock breeding services,-,-,-,-,218,0
,Sub total,"12,409,786.00","10,151,162.00","2,258,624.00",81.8,218,0
COUNTY EXECUTIVE,,,,,,218,0
"Governance and Exec-
utive Management",Citizen delivery service,"270,000,000.00",-,"270,000,000.00",-,218,0
,"Coordination of Devolved Ministries and
Departments","31,768,582.00","15,108,180.00","16,660,402.00",47.5,218,0
,Sub total,"301,768,582.00","15,108,180.00","286,660,402.00",5.0,218,0
"Strategy and service
delivery",Legal Services,"68,100,000.00","15,839,138.00","52,260,862.00",23.3,218,0
,Efficiency monitoring services,"7,636,000.00","977,315.00","6,658,685.00",12.8,218,0
,Sub total,"75,736,000.00","16,816,453.00","58,919,547.00",22.2,218,0
"Strategy and service
delivery",Conflict Management And Resolution,"1,101,000.00","1,191,500.00","(90,500.00)",108.2,218,0
,Sub total,"1,101,000.00","1,191,500.00","(90,500.00)",108.2,218,0
"Governor's Office
(General Administra-
tion and Support Ser-
vices)",General Administration Services,"96,734,000.00","52,853,813.04","43,880,186.96",54.6,218,0
,Sub total,"96,734,000.00","52,853,813.04","43,880,186.96",54.6,218,0
"Cohesion And Peace
Building","Peace Building, Education, Advocacy And
Research","7,995,000.00","733,690.00","7,261,310.00",9.2,218,0
,Sub total,"7,995,000.00","733,690.00","7,261,310.00",9.2,218,0
"Deputy Governor's Of-
fice(General Admin-
istration and Support
Services)",General Administration Services,"20,063,200.00","7,485,457.96","12,577,742.04",37.3,218,0
,Sub total,"20,063,200.00","7,485,457.96","12,577,742.04",37.3,218,0
"Governance and Exec-
utive Management",Citizen Delivery services,"3,374,000.00",-,"3,374,000.00",-,218,0
,Sub total,"3,374,000.00",-,"3,374,000.00",-,218,0
"County Secretary
(General Administra-
tion and Support Ser-
vices)",General Administration Services,"20,632,000.00","8,196,550.00","12,435,450.00",39.7,218,0
,Sub total,"20,632,000.00","8,196,550.00","12,435,450.00",39.7,218,0
"Kenya Devolution
Support Programme","Key Result Area1: Public Finance Man-
agement","3,600,000.00",-,"3,600,000.00",-,218,0
,"Key Result Area2: Planning , Monitoring
And Evaluation","6,900,000.00",-,"6,900,000.00",-,218,0
,"Key Result Area3: Performance Contract-
ing And Human Resources Management","10,800,000.00",-,"10,800,000.00",-,218,0
,"Key Result Area4: Civic Education And
Public Participation","5,100,000.00",-,"5,100,000.00",-,218,0
,"Key Result Area5: Environment And So-
cial Safeguard","3,600,000.00",-,"3,600,000.00",-,218,0
,Sub total,"30,000,000.00",-,"30,000,000.00",-,218,0
"Information Commu-
nication Technology
(General Administra-
tion and Support Ser-
vices)",General Administration Services,"27,433,252.00","1,117,160.00","26,316,092.00",4.0,218,0
,"Information communication and tech-
nology","25,000,000.00",-,"25,000,000.00",-,218,0
,Sub total,"52,433,252.00","1,117,160.00","51,316,092.00",2.1,218,0
PUBLIC SERVICE MANAGEMENT,,,,,,219,0
"General Administra-
tion and Support Ser-
vices","General Administration and Support Ser-
vices","712,266,600.00","222,623,505.50","489,643,094.50",31.,219,0
,Sub total,"712,266,600.00","222,623,505.50","489,643,094.50",31.2,219,0
"Human Capital Man-
agement And Devel-
opment",Human Capital Strategy,"2,000,000.00",-,"2,000,000.00",-,219,0
,Information And Records Management,"570,000.00","307,160.00","262,840.00",53.8,219,0
,Sub total,"2,570,000.00","307,160.00","2,262,840.00",11.9,219,0
"Sub County Adminis-
tration Services",Devolved units Development services,"50,604,036.00","3,726,059.00","46,877,977.00",7.3,219,0
,Sub total,"50,604,036.00","3,726,059.00","46,877,977.00",7.3,219,0
"Civic Education And
Public Participation",Civic Education,"4,000,000.00","166,664.00","3,833,336.00",4.2,219,0
,Sub total,"4,000,000.00","166,664.00","3,833,336.00",4.2,219,0
"County Security and
Compliance Enforce-
ment Services",Support and Administration Services,"3,240,000.00","973,000.00","2,267,000.00",30,219,0
,Sub total,"3,240,000.00","973,000.00","2,267,000.00",30,219,0
"General Administra-
tion and Support Ser-
vices(PSB)","General Administration and Support Ser-
vices","39,908,120.00","11,024,578.50","28,883,541.50",27.6,219,0
,Sub total,"39,908,120","11,024,578","28,883,541",27.6,219,0
"Human Capital Man-
agement And Devel-
opment",Human Capital Strategy,"3,570,000","5,559,867","(1,989,867)",155.7,219,0
,Public service board services,"3,730,000","7,162,132","(3,432,132)",192,219,0
,Information And Records Management,"1,600,000","7,900","1,592,100",0.5,219,0
,Sub total,"8,900,000","12,729,899","-3,829,899",143,219,0
"EDUCATION ,YOUTH,SPORTS,CULTURE,GENDER AND SOCIAL SERVICES",,,,,,219,0
"General Administra-
tion and Support Ser-
vices(Education)","General Administration and Support Ser-
vices","169,110,498.00","100,214,026.80","68,896,471.20",59.3,219,0
,Sub total,"169,110,498.00","100,214,026.80","68,896,471.20",59.3,219,0
"Education Support
Services",Bursary And Scholarship,"180,856,780.00","112,397,057.00","68,459,723.00",62.1,219,0
,Sub total,"180,856,780.00","112,397,057.00","68,459,723.00",62.1,219,0
"Child Care Support
Services","Infrastructure development and sanita-
tion improvement","82,482,176.00","383,182.00","82,098,994.00",0.4,219,0
,Ecde Staffing,"15,810,000.00","480,700.00","15,329,300.00",3,219,0
,Sub total,"98,292,176.00","863,882.00","97,428,294.00",0.8,219,0
"Quality Management
Services",Quality Assurance and standard services,"7,000,000.00",-,"7,000,000.00",-,219,0
,Sub county education office services,"1,600,000.00","235,710.00","1,364,290.00",14.7,219,0
,Sub total,"8,600,000.00","235,710.00","8,364,290.00",2.7,219,0
"Youth Development
Empowerment",Vocational Education Training,"28,000,000.00",,"28,000,000.00",,219,0
,Sub total,"28,000,000.00",-,"28,000,000.00",-,219,0
"Sports and culture de-
velopment",Culture and heritage conservation,"5,000,000.00",,"5,000,000.00",-,219,0
,Sub total,"5,000,000.00",,"5,000,000.00",-,219,0
"Sports and culture de-
velopment(Sports)",Sport and talent development,"55,500,000.00","12,540,200.00","42,959,800.00",22.6,219,0
,"General Administration and Support Ser-
vices","35,585,117.00","3,125,967.00","9,180,000.00",,219,0
,Talent development services,"5,500,000.00","17,000.00","5,483,000.00",0.3,219,0
,Sub total,"96,585,117.00","15,683,167.00","80,901,950.00",16.2,219,0
"Youth Development
Empowerment(youth)","Youth home craft centers and enterprises
services","1,500,000.00",-,"1,500,000.00",-,219,0
,Sub total,"1,500,000.00",-,"1,500,000.00",-,219,0
External Funding,Conditional Grants,"30,033,298.00",-,"30,033,298.00",-,219,0
,Sub total,"30,033,298.00",-,"30,033,298.00",-,219,0
"Sports and culture
development(culture
&social)",Culture and heritage conservation,"3,500,000.00",-,"3,500,000.00",-,219,0
,Sub total,"3,500,000.00",-,"3,500,000.00",-,219,0
Gender And Equality,"Women empowerment enterprises and
support services","4,000,000.00","1,292,700.00","2,707,300.00",32.3,219,0
,Pwds enterprises and support services,"1,500,000.00",-,"1,500,000.00",-,219,0
,Sub total,"5,500,000.00","1,292,700.00","4,207,300.00",23.5,219,0
"MANAGEMENT ENVIRONMENT,NATURAL,RESOURCES AND DISASTER MANAGEMENT",,,,,,219,0
"General Administra-
tion and Support Ser-
vices(Environment)","General Administration and Support Ser-
vices","77,000,810.00","26,816,723.10","50,184,086.90",34.8,219,0
,Sub total,"77,000,810.00","26,816,723.10","50,184,086.90",34.8,219,0
"Environment manage-
ment and protection",Solid waste management services,"7,700,000.00","3,685,651.19","4,014,348.81",47.8,219,0
,Sub total,"7,700,000.00","3,685,651.19","4,014,348.81",47.8,219,0
"Environmental and
natural resource con-
servation and manage-
ment",County greening program me,,-,-,-,220,0
,"Water resource conservation and manage-
ment","300,000.00","1,007,100.00","(707,100.00)",335.7,220,0
,Climate change adoption and mitigation,"540,000.00","324,000.00","216,000.00",60.0,220,0
,Forestry conservation and development,"3,650,000.00",-,"3,650,000.00",-,220,0
,Sub total,"4,490,000.00","1,331,100.00","3,158,900.00",29.6,220,0
"Natural resources con-
servation and manage-
ment",Forestry conversation and development,-,,-,-,220,0
,Mining services,"1,350,000.00","588,340.00","761,660.00",43.5,220,0
,Sub total,"1,350,000.00","588,340.00","761,660.00",43.5,220,0
Disaster Management,Disaster management services,"114,134,889","5,079,704","109,055,185",4.4,220,0
,Sub total,"114,134,889","5,079,704","109,055,185",36.6,220,0
FINANCE ECONOMIC PLANNING,,,,,,220,0
"General Administra-
tion and Support Ser-
vices(Accounting)","General Administration and Support Ser-
vices","232,228,662.00","12,406,025.00","219,822,637.00",5.3,220,0
,Sub total,"232,228,662.00","12,406,025.00","219,822,637.00",5.3,220,0
"Public finance man-
agement",Accounting services,"272,687,835.00","139,829,189.85","132,858,645.15",51.2,220,0
,Sub total,"272,687,835.00","139,829,189.85","132,858,645.15",51.2,220,0
"General Administra-
tion and Support Ser-
vices(Audit)","General Administration and Support Ser-
vices","21,021,000.00","7,272,130.00","13,748,870.00",34.5,220,0
,Sub total,"21,021,000.00","7,272,130.00","13,748,870.00",34.6,220,0
"Public Financial man-
agement (procure-
ment)",Procurement services,"18,600,000.00","2,946,390.00","15,653,610.00",15.8,220,0
,Sub total,"18,600,000.00","2,946,390.00","15,653,610.00",15.8,220,0
"General Administra-
tion and Support Ser-
vices(Revenue)","General Administration and Support Ser-
vices","2,160,000.00",-,"2,160,000.00",-,220,0
,Sub total,"2,160,000.00",,"2,160,000.00",-,220,0
"Public Financial man-
agement (Revenue)",Resource mobilization,"58,775,000.00","292,000.00","58,483,000.00",0.5,220,0
,Sub total,"58,775,000.00","292,000.00","58,483,000.00",0.5,220,0
"General Administra-
tion and Support Ser-
vices(Planning)","General Administration and Support Ser-
vices","29,800,675.00","8,235,767.00","21,564,908.00",27.6,220,0
,Sub total,"29,800,675.00","8,235,767.00","21,564,908.00",27.6,220,0
"Economic policy and
county planning",Budget coordination and management,"60,583,116.00","11,162,981.00","49,420,135.00",18.4,220,0
,Policy and plans development,"3,000,000.00",-,"3,000,000.00",-,220,0
,County statistical information services,"10,000,000.00","1,279,970.00","8,720,030.00",12.8,220,0
,Community development,"3,000,000.00",-,"3,000,000.00",-,220,0
,Sub total,"76,583,116.00","12,442,951.00","64,140,165.00",16.2,220,0
"LANDS ,HOUSINGAND PHYSICAL PLANNING",,,,,,220,0
"General Administra-
tion and Support Ser-
vices(Lands)","General Administration and Support Ser-
vices","82,634,725.00","29,580,929.70","53,053,795.30",35.8,220,0
,Sub total,"82,634,725.00","29,580,929.70","53,053,795.30",35.8,220,0
"Physical planning ser-
vice",Physical and urban planning services,"82,150,722.00","4,959,000.00","77,191,722.00",6,220,0
,External funding,"568,366,492.00",-,"568,366,492.00",-,220,0
,Sub total,"650,517,214.00","4,959,000.00","645,558,214.00",0.7,220,0
"Housing Development
services",Housing services,"500,000.00",-,"500,000.00",-,220,0
,Sub total,"500,000.00",-,"500,000.00",-,220,0
,"ROADS,TRANSPORTAND PUBLIC
WORKS",,,,,220,0
"Policy, General ad-
ministration, planning
& support Service","General Administration and Support Ser-
vices","67,257,644.00","23,448,858.75","43,808,785.25",34.8,220,0
,Sub total,"67,257,644.00","23,448,858.75","43,808,785.25",34.8,220,0
"Roads development,
maintenance and
management",Road network improvement,"1,181,171,277.00","271,848,744.35","920,585,683.30",23,220,0
,Construction of bridges and maintenance,"100,000,000.00","39,087,761.00","60,912,239.00",39,220,0
,Mechanization services,-,-,-,-,220,0
,Sub total,"1,281,171,277","310,936,505","970,234,771",24.2,220,0
TRADE TOURISM AND COOPERATIVE,,,,,,220,0
"Policy, Planning and
Administrative Sup-
port Services","General Administration and Support Ser-
vices","45,820,872.00","35,296,035.65","10,524,836.35",77,220,0
,Sub total,"45,820,872.00","35,296,035.65","10,524,836.35",77,220,0
