Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance (Kshs.),Absorption (%),page_number,table_index
Finance and Economic Planning,,,,,159,1
"Budget formulation, coordination and management","44,368,921","21,186,100","23,182,821",47.7,159,1
General Administration,"104,714,824","28,209,943","76,504,881",26.9,159,1
Revenue Collection Management,"10,815,799","5,139,334","5,676,465",47.5,159,1
Public Finance and Accounting Services,"4,360,008","2,117,465","2,242,543",48.6,159,1
Procurement Services,"2,642,840","995,560","1,647,280",37.7,159,1
Risk Assurance Services,"7,680,600","1,507,624","6,172,976",19.6,159,1
Personal Services,"117,046,903","98,732,634","18,314,269",84.4,159,1
TOTAL,"291,629,895","157,888,660","133,741,235",54.1,159,1
"Agriculture, Livestock and Fisheries",,,,,159,1
General Administration and Support Services,"386,988,952","156,617,953","230,370,999",40.5,159,1
Crop Production & Food Security,"35,975,500","4,845,900","31,129,600",13.5,159,1
Dairy and Meat Production,"17,375,500","332,100","17,043,400",1.9,159,1
Fish Production Management,"19,675,500","3,057,228","16,618,272",15.5,159,1
"Farm Land Utilization, Mechanization & Crop Stor-
age","22,006,218","10,169,820","11,836,398",46.2,160,0
"Agricultural Extension, Research & Training.","11,301,000","81,750","11,219,250",0.7,160,0
TOTAL,"514,322,670","175,300,231","339,022,439",34.1,160,0
"Land, Environment, Mining and Natural Re-
sources",,,,,160,0
General administration and Support services,"111,234,504","10,267,149","100,967,355",9.2,160,0
Personnel Services,"12,790,824","9,330,535","3,460,289",72.9,160,0
Physical development plans,"28,500,000","4,868,230","23,631,770",17.1,160,0
Establishment of squatter settlement schemes,"8,496,666","196,150","8,300,516",2.3,160,0
"Identification and acquisition of land for develop-
ment","5,000,000",-,"5,000,000",-,160,0
County Environmental Awareness Initiative,"8,375,000","609,250","7,765,750",7.3,160,0
Kwale municipality,"72,450,000",-,"72,450,000",-,160,0
Diani Municipality,"19,400,000",-,"19,400,000",-,160,0
TOTAL,"266,246,994","25,271,314","240,975,680",9.5,160,0
Health Services,,,,,160,0
General Administration,"713,364,650","192,707,616","520,657,034",27.0,160,0
Medical Drugs,"108,266,964","29,961,398","78,305,566",27.7,160,0
HMIS,"3,750,000","250,000","3,500,000",6.7,160,0
Personnel Services,"619,859,853","126,598,075","493,261,778",20.4,160,0
Msambweni Hospital,"7,554,000","1,589,095","5,964,905",21.0,160,0
Kinango Hospital,"11,647,500","1,114,367","10,533,133",9.6,160,0
Kwale Hospital,"13,987,400","735,646","13,251,754",5.3,160,0
Tiwi Rural Health Facility,"7,810,000",-,"7,810,000",-,160,0
Samburu Hospital,"620,000",-,"620,000",-,160,0
Lungalunga Hospital,"14,950,000",-,"14,950,000",-,160,0
Public Health,"21,875,000",-,"21,875,000",-,160,0
Rural Health Facilities,"137,242,298","18,142,087","119,100,211",13.2,160,0
Diani Health Centre,"300,000",-,"300,000",-,160,0
Other Current Transfers,"126,268,020","21,206,577","105,061,443",16.8,160,0
TOTAL,"1,787,495,685","392,304,861","1,395,190,824",21.9,160,0
County Assembly,,,,,160,0
General Administration,"276,194,154","124,263,710","151,930,444",45.0,160,0
General Administration and Support Services,"517,628,462","157,190,273","360,438,189",30.4,160,0
Oversight& Legislation of County Affairs,"132,884,166","60,226,430","72,657,736",45.3,160,0
Total,"926,706,782","341,680,413","585,026,369",36.9,160,0
"Industry, Trade and Investments",,,,,160,0
"Building Capacity of Traders for better Market Ac-
cess","5,252,500","5,875,156","(622,656)",111.9,160,0
"Availing Affordable Credit to Entrepreneurs for
Wealth creation","19,500,000",-,"19,500,000",-,160,0
Enforcement of Weights & Measures Act,"5,065,000","3,917,655","1,147,345",77.3,160,0
Investment Publicity and Promotion,"3,040,000","846,600","2,193,400",27.8,160,0
Personnel services,"13,967,446","11,614,494","2,352,952",83.2,160,0
Administration services,"102,093,274","18,206,366","83,886,908",17.8,160,0
Rehabilitation of Existing markets,"1,722,500","424,500","1,298,000",24.6,160,0
Construction of new markets,"78,568,276","27,616,761","50,951,515",35.2,160,0
Investment promotion services,"42,678,724","222,638","42,456,086",0.5,160,0
TOTAL,"271,887,720","68,724,170","203,163,550",25.3,160,0
"Community Development, Youth and Women
Empowerment and Social Services",,,,,160,0
Administration,"194,595,469","81,663,685","112,931,784",42.0,160,0
Community Development,"48,125,000","2,595,787","45,529,213",5.4,160,0
Culture And Heritage,"23,750,000","1,527,730","22,222,270",6.4,160,0
Sports And Talent Development,"80,078,522","1,234,365","78,844,157",1.5,160,0
TOTALS,"346,548,991","87,021,567","259,527,424",25.1,160,0
Office of the Governor and the Deputy Governor,,,,,160,0
Audit Services,"37,373,865","38,596,331","(1,222,467)",103.3,161,0
General Administration,"125,071,348","8,636,610","116,434,738",6.9,161,0
Legal Advisory Services,"1,675,000","530,000","1,145,000",31.6,161,0
TOTAL,"165,637,442","47,868,141","117,769,301",28.9,161,0
Education,,,,,161,0
Personnel Services,"209,396,242","194,347,981","15,048,261",92.8,161,0
Scholarship and Bursary,"220,000,000","200,000,000","20,000,000",90.9,161,0
Administration Planning support service,"596,625,164","174,035,244","422,589,920",29.2,161,0
Infrastructure development,"300,061,982","19,513,513","280,548,469",6.5,161,0
Youth Training Development(,"7,375,000","1,532,575","5,842,425",20.8,161,0
Early Childhood Development,"43,500,000","2,323,261","41,176,739",5.3,161,0
TOTAL,"1,376,958,388","591,752,574","785,205,814",43.0,161,0
"Water and Urban Planning and Decentralized
Units",,,,,161,0
"Construction & Maintenance of water pipeline sup-
ply systems","53,700,000",-,"53,700,000",-,161,0
Development of Borehole water supply system,"57,425,000",-,"57,425,000",-,161,0
"Development/Construction of surface water supply
systems","81,550,000",-,"81,550,000",-,161,0
Community Water Project,"14,625,000","9,149,956","5,475,044",62.6,161,0
Personnel Services,"19,652,847","14,178,757","5,474,090",72.1,161,0
Administration Services,"1,255,915,408","271,946,840","983,968,568",21.7,161,0
TOTAL,"1,482,868,255","295,275,553","1,187,592,702",19.9,161,0
