Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
County Assembly,,"1,019,162,123","350,765,319","668,396,804",34.4,196,0
,"Administration, planning and
support services","750,334,897","274,703,845","475,631,052",36.6,196,0
,Physical Infrastructure,"268,827,226","76,061,474","192,765,752",28.3,196,0
Office of the Speaker,,"1,500,000","240,000","1,260,000",16.0,196,0
,"Administration, planning and
support services","1,500,000","240,000","1,260,000",16.0,196,0
"Office of the Governor
and the Deputy Governor","Office of the Governor and the
Deputy Governor","449,390,272","211,145,242","238,245,030",47.0,196,0
,"Administration, planning and
support services","449,390,272","211,145,242","238,245,030",47.0,196,0
"Finance and Economic
Planning",Finance and economic planning,"513,150,157","196,973,390","316,176,767",38.4,196,0
,Physical Infrastructure,"284,405,058","97,349,239","187,055,819",34.2,196,0
,"Administration, planning and
support services","228,745,099","99,624,151","129,120,948",43.6,196,0
Fiscal Planning,Fiscal Planning,"36,500,000","14,500,000","22,000,000",39.7,196,0
,"Administration, planning and
support services","36,500,000","14,500,000","22,000,000",39.7,196,0
Budget,Budget,"8,000,000","4,500,000","3,500,000",56.3,196,0
,"Administration, planning and
support services","8,000,000","4,500,000","3,500,000",56.3,196,0
Accounting,Accounting,"4,000,000","4,000,000",-,100.0,196,0
,"Administration, planning and
support services","4,000,000","4,000,000",-,100.0,196,0
Procurement,Procurement,"4,000,000","3,000,000","1,000,000",75.0,196,0
,"Administration, planning and
support services","4,000,000","3,000,000","1,000,000",75.0,196,0
Internal Audit,Internal Audit,"4,000,000","3,000,000","1,000,000",75.0,196,0
,Internal Audit,-,-,-,-,196,0
,"Administration, planning and
support services","4,000,000","3,000,000","1,000,000",75.0,196,0
Revenue,,"36,500,000","21,870,400","14,629,600",59.9,196,0
,"Administration, planning and
support services","36,500,000","21,870,400","14,629,600",59.9,196,0
ICT,,"67,778,989","34,869,726","32,909,263",51.4,196,0
,"Administration, planning and
support services","67,778,989","34,869,726","32,909,263",51.4,196,0
,,"224,500,000","218,929,630","5,570,370",97.5,196,0
,"Administration, planning and
support services","224,500,000","218,929,630","5,570,370",97.5,196,0
,,"16,000,000","2,500,000","13,500,000",15.6,196,0
,"Administration, planning and
support services","16,000,000","2,500,000","13,500,000",15.6,196,0
"Agriculture and irriga-
tion",,"559,913,653","126,425,658","433,487,995",22.6,196,0
,"Administration & Support Ser-
vices","199,891,581","91,690,758","108,200,823",45.9,196,0
,Food security Initiatives,"360,022,072","34,734,900","325,287,172",9.6,196,0
Flood control,,"543,851,720","136,972,995","406,878,725",25.2,196,0
,"Administration & Support Ser-
vices","8,500,000","2,125,000","6,375,000",25.0,196,0
,Food security Initiatives,"535,351,720","134,847,995","400,503,725",25.2,196,0
Crop Management,,"217,273,247","82,682,868","134,590,379",38.1,196,0
,Livestock Production,"217,273,247","82,682,868","134,590,379",38.1,196,0
Water,,"1,720,726,078","481,922,204","1,238,803,874",28.0,196,0
,Water Supply,"1,720,726,078","481,922,204","1,238,803,874",28.0,196,0
Energy and electricity,,"90,331,488","18,804,602","71,526,886",20.8,196,0
,Energy,"51,003,360","11,625,592","39,377,768",22.8,196,0
,"Environment and Natural Re-
sources","39,328,128","7,179,010","32,149,118",18.3,196,0
Education,,"720,577,620","261,916,169","458,661,451",36.3,197,0
,"Early Childhood Development
Education (ECDE)","453,601,223","140,293,568","313,307,655",30.9,197,0
,"Administration & Support Ser-
vices","266,976,397","121,622,601","145,353,796",45.6,197,0
Children Services,,"148,500,000","118,250,000","30,250,000",79.6,197,0
,"Administration & Support Ser-
vices","148,500,000","118,250,000","30,250,000",79.6,197,0
Sports,,"26,000,000","1,500,000","24,500,000",5.8,197,0
,"Administration & Support Ser-
vices","26,000,000","1,500,000","24,500,000",5.8,197,0
County Health Services,,"1,059,478,397","544,671,862","514,806,535",51.4,197,0
,"Administration & Support Ser-
vices","1,059,478,397","544,671,862","514,806,535",51.4,197,0
Medical Services,,"965,350,210","443,502,977","521,847,233",45.9,197,0
,Health care Infrastructure,"478,584,458","115,677,229","362,907,229",24.2,197,0
,"Administration & Support Ser-
vices","486,765,752","327,825,748","158,940,004",67.3,197,0
"Public health and sani-
tation",,"439,558,271","64,523,631","375,034,640",14.7,197,0
,Health care Infrastructure,"389,820,771","64,523,631","325,297,140",16.6,197,0
,"Administration & Support Ser-
vices","49,737,500",-,"49,737,500",-,197,0
Ambulance services,,"95,633,248","39,303,825","56,329,423",41.1,197,0
,"Administration & Support Ser-
vices","95,633,248","39,303,825","56,329,423",41.1,197,0
"Lands, Housing and
Physical Planning",,"427,302,574","97,854,404","329,448,170",22.9,197,0
,Land Survey,"181,819,500",-,"181,819,500",-,197,0
,"Administration & Support Ser-
vices","245,483,074","97,854,404","147,628,670",39.9,197,0
"Lands survey and map-
ping",,"61,500,000","17,699,535","43,800,465",28.8,197,0
,Land Survey,"34,500,000","9,699,535","24,800,465",28.1,197,0
,"Administration & Support Ser-
vices","27,000,000","8,000,000","19,000,000",29.6,197,0
Housing,,"7,000,000","1,750,000","5,250,000",25.0,197,0
,Land Survey,-,-,-,-,197,0
,"Administration & Support Ser-
vices","7,000,000","1,750,000","5,250,000",25.0,197,0
Headquarters,,"106,574,242","41,639,026","64,935,216",39.1,197,0
,"Administration & Support Ser-
vices","106,574,242","41,639,026","64,935,216",39.1,197,0
County roads,,"942,747,805","145,390,779","797,357,026",15.4,197,0
,Physical Infrastructure,"922,747,805","137,590,779","785,157,026",14.9,197,0
,"Administration & Support Ser-
vices","20,000,000","7,800,000","12,200,000",39.0,197,0
Public works,,"526,970,561","27,922,205","499,048,356",5.3,197,0
,Physical Infrastructure,"526,970,561","27,922,205","499,048,356",5.3,197,0
Livestock management,,"146,307,756","32,774,486","113,533,270",22.4,197,0
