Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,Absorption (%)
1003003260,"Natural Resources Support Pro-
gramme",-,-,-,-,315,0,
,"Natural Resources Support Pro-
gramme",-,-,-,-,315,0,
,Grand Total,"5,502,296,893","1,484,329,026","4,017,967,867",27,315,0,
,,,,,,320,1,
Agriculture,"Administration, planning support services","89,070,660","29,750,796","59,319,864",,320,1,33.4
,"Administration, planning support services","89,070,660","29,750,796","59,319,864",,320,1,33.4
,Agricultural Development project,"417,548,619","21,767,492","395,781,127",,320,1,5.2
,"Agricultural Mechanization Services (AMS
Garsen station)","40,362,414","3,835,852","36,526,562",,320,1,9.5
,Crop Husbandry,"44,195,768","939,000","43,256,768",,320,1,2.1
,Plant Disease Control,"3,199,468","420,750","2,778,718",,320,1,13.2
,KCSAP,"271,414,525","10,371,890","261,042,635",,320,1,3.8
,"Agriculture Sector Development Support
Project (ASDSP)","55,885,044","5,500,000","50,385,044",,320,1,9.8
,Food and Agriculture Organization,"2,491,400","700,000","1,791,400",,320,1,28.1
,Sub- Total,"506,619,279","51,518,288","455,100,991",,320,1,10.2
,,,,,,320,1,
Veterinary,"Administration, planning support services","12,921,593","1,616,109","11,305,484",,320,1,12.5
,"Administration, planning support services","12,921,593","1,616,109","11,305,484",,320,1,12.5
,Veterinary Services,"20,362,081","1,023,000","19,339,081",,320,1,5.0
,Veterinary extension services,"9,406,985","794,400","8,612,585",,320,1,8.4
,Artificial insemination (Pilot scheme),"6,314,000","156,000","6,158,000",,320,1,2.5
,Build a modern slaughter house in Garsen,"3,387,096",,"3,387,096",,320,1,0.0
,Leather Development Service,"1,254,000","72,600","1,181,400",,320,1,5.8
,Diasease Control,"23,148,990","1,420,000","21,728,990",,320,1,6.1
,Conduct Disease Surveillance,"16,671,611","900,000","15,771,611",,320,1,5.4
,"Buy Tsetse fly traps/Targets (Kipini, Taras-
aa)","6,477,379","520,000","5,957,379",,320,1,8.0
,Sub- Total,"56,432,664","4,059,109","52,373,555",,320,1,7.2
,,,,,,320,1,
Livestock,"Administration, planning support services","41,717,884","18,568,507","23,149,377",,320,1,44.5
,"Administration, planning support services","41,717,884","18,568,507","23,149,377",,320,1,44.5
,"Animal Husbandry, Livestock Resource
Management and Devt","12,551,500","848,000","11,703,500",,320,1,6.8
,Animal Husbandry,"4,322,000","473,400","3,848,600",,320,1,11.0
,Livestock Sale Yard,"1,078,000","71,700","1,006,300",,320,1,6.7
