Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Absorption (% Total Ex-
penditure to Approved
Estimates)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,274,1
DEPARTMENT: GOVERNOR'S OFFICE,,,,,,274,1
"General Adminis-
tration and Support
Services","General administration support ser-
vices","316,970,188","124,896,864","192,073,324",39.4,274,1
,"Policy development and support
services","231,665,064","133,615,401","98,049,663",57.7,274,1
,,,,,,274,1
,,"548,635,252","258,512,265","290,122,987",47.1,274,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,274,1
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",274,1
,,A,B,C=A-B,D=B/A*100,274,1
"Information and
Communication
Technology Services",ICT infrastructural services,"15,000,000","857,800","14,142,200",5.7,274,1
"General Adminis-
tration and Support
Services","General administration support ser-
vices","198,500,519","113,441,632","85,058,887",57.1,274,1
,"Policy development and support
services","2,740,150","368,500","2,371,650",13.4,274,1
,Supply chain management,"4,785,600","1,450,950","3,334,650",30.3,274,1
"Economic Planning,
Budgeting and Coor-
dination Services","Economic planning and coordina-
tion","64,903,440","17,935,220","46,968,220",27.6,274,1
,"Budget formulation and manage-
ment","43,893,000","5,770,900","38,122,100",13.1,274,1
"County Financial
Management and
Control",Audit services,"4,071,280","1,339,000","2,732,280",32.9,274,1
"Resource Mobiliza-
tion",internal Resource mobilization,"43,524,022","5,237,680","38,286,342",12,274,1
,,,,,,274,1
,,"377,418,011","146,401,682","231,016,329",38.8,274,1
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,274,1
,,A,B,C=A-B,D=B/A*100,275,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and support
services","155,580,209","74,658,983","80,921,226",48,275,0
,Policy and planning,"7,696,114","3,517,450","4,178,664",45.7,275,0
"Crop, Agribusiness
and Land Manage-
ment Services",Crop Development Services,"367,065,000","31,578,400","335,486,600",8.6,275,0
,Agribusiness,"47,937,554","8,405,400","39,532,154",17.5,275,0
"Fisheries Develop-
ment and Promotion
Services",Aquaculture Promotion Services,"3,772,000","940,000","2,832,000",24.9,275,0
"Livestock Promotion
ans Development","Livestock Products Value Addition
and Marketing","26,960,000","1,540,650","25,419,350",5.7,275,0
,"Animal Health Disease and Man-
agement","6,500,000","144,000","6,356,000",2.2,275,0
,,"615,510,877","120,784,883","494,725,994",19.6,275,0
"DEPARTMENT: ENVIRONMENT, WATER, MINING & NATURAL RESOURCES",,,,,,275,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",275,0
,,A,B,C=A-B,D=B/A*100,275,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and support
services","57,023,604","30,894,417","26,129,188",54.2,275,0
,Policy and planning,"3,618,670","1,597,500","2,021,170",44.1,275,0
"Energy and Mineral
Resources Services",Other energy sources promotion,"29,603,100","260,100","29,343,000",0.9,275,0
"Water Supply and
Management Services",Major towns water services,"16,980,000",-,"16,980,000",-,275,0
,Rural water services,"137,459,500","16,452,528","121,006,972",12,275,0
"Environmental Pro-
tection and Manage-
ment Services",Pollution and waste management,"3,783,996","526,000","3,257,996",13.9,275,0
,Agroforestry promotion,"6,350,000","325,000","6,025,000",5.1,275,0
,,,,,,275,0
,,"254,818,870","50,055,545","204,763,326",19.6,275,0
DEPARTMENT: EDUCATION & VOCATIONAL TRAINING,,,,,,275,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",275,0
,,A,B,C=A-B,D=B/A*100,275,0
"General Administra-
tion, Policy Planning
and Support Services",General administration,"27,681,728","7,446,179","20,235,549",26.9,275,0
,Planning policy,"2,131,750","1,332,000","799,750",62.5,275,0
"ECDE and CCC De-
velopment Services","ECDE and CCC management ser-
vices","406,040,700","151,374,631","254,666,069",37.3,275,0
"Vocational Develop-
ment and Training
Services",Vocational management services,"257,510,329","1,435,900","256,074,429",0.6,275,0
,,"693,364,507","161,588,711","531,775,796",23.3,275,0
DEPARTMENT: HEALTH SERVICES,,,,,,275,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",275,0
,,A,B,C=A-B,D=B/A*100,275,0
,,A,B,C=A-B,D=B/A*100,276,0
"Preventive and Pro-
motive Health Ser-
vices",Health Promotion,"407,522,327","185,505,089","222,017,238",45.5,276,0
,Communicable Disease Control,"108,831,076","17,095,070","91,736,006",15.7,276,0
"General Administra-
tion, Planning and
Support Services",Administration support services,"130,106,417","57,652,268","72,454,149",44.3,276,0
"Curative Health Ser-
vices",Medical services,"1,046,188,766","546,251,992","499,936,774",52.2,276,0
,Facility infrastructural services,"121,055,000","1,808,527","119,246,473",1.5,276,0
,,"1,813,703,586","808,312,946","1,005,390,640",44.6,276,0
"DEPARTMENT: LAND, HOUSING, PYHSICAL PLANNING & URBAN DEVELOPMENT",,,,,,276,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",276,0
,,A,B,C=A-B,D=B/A*100,276,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and support
services","66,645,732","33,838,273","32,807,460",50.8,276,0
,Policy and planning,"1,272,400",-,"1,272,400",-,276,0
"Physical Planning and
Surveying Services",Physical Planning,"40,000,000",-,"40,000,000",-,276,0
,Surveying services,"5,915,000",-,"5,915,000",-,276,0
"Housing Improve-
ment Development",Housing Improvement Services,"140,300,000","78,598,348","61,701,652",56,276,0
"Management and De-
velopment of Towns","Town Management and Coordina-
tion","140,855,300","2,180,000","138,675,300",1.5,276,0
,,"394,988,432","114,616,621","280,371,811",29,276,0
"DEPARTMENT: TRANSPORT, ROADS AND PUBLIC WORKS",,,,,,276,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",276,0
,,A,B,C=A-B,D=B/A*100,276,0
"General Administra-
tion, Planning and
Support Services",Administration and support services,"85,204,966","51,676,289","33,528,677",60.6,276,0
,Policy and planning,"2,160,853","916,100","1,244,753",42.4,276,0
"Roads Development
and Management",Construction of roads and bridges,"100,620,000","46,128,601","54,491,399",45.8,276,0
,"Rehabilitation and maintenance of
Roads","271,042,750","81,750,576","189,292,174",30.2,276,0
,,,,,,276,0
,,"459,028,569","180,471,567","278,557,002",39.3,276,0
"DEPARTMENT: TRADE, TOURISM, INDUSTRIALIZATION & COOPERATIVES DEVELOPMENT",,,,,,276,0
Programme,Sub-Programme,"Approved Estimates
FY 2019/20 (Kshs.)","Expenditure
1/7/19-31/12/19
(Kshs.)",Variance (Kshs.),"Implementation Status
(% Total Expenditure to
Approved Estimates)",276,0
,,A,B,C=A-B,D=B/A*100,276,0
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and support
services","34,533,944","14,992,887","19,541,057",43.4,276,0
,Policy and planning services,"2,100,306","922,460","1,177,846",43.9,276,0
"Trade, Cooperative
and Investment De-
velopment and Pro-
motion",Cooperative promotion,"14,313,440","2,301,350","12,012,090",16.1,276,0
,Trade promotion,"52,808,200","1,922,500","50,885,700",3.6,276,0
