Programme,Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
,"Default Value ( Non- Depart-
mental)",-,"59,219,314","(59,219,314)",,363,0
4310,,-,"59,219,314","(59,219,314)",,363,0
Administration - Governor's Office,"Livestock Resource Manage-
ment And Development",,,,,363,0
,"Administration And Support
Services","79,836,612","25,731,824","54,104,788",32.2,363,0
,,"79,836,612","25,731,824","54,104,788",32.2,363,0
Inter Governmental Committee,"Administration And Support
Services","6,000,000","3,129,280","2,870,720",52.2,363,0
,,"6,000,000","3,129,280","2,870,720",52.2,363,0
,,,,,-,363,0
,"Administration And Support
Services","5,100,000","2,196,869","2,903,131",43.1,363,0
,,"5,100,000","2,196,869","2,903,131",43.1,363,0
,,,,,-,363,0
"Administration - Finance and Eco-
nomic Planning",Public Finance Management,"242,948,475","80,374,411","162,574,064",33.1,363,0
,,"242,948,475","80,374,411","162,574,064",33.1,363,0
,,,,,-,363,0
Revenue Section,"Kenya Devolution Support
Programme","4,455,635","802,795","3,652,840",18.0,363,0
,Public Finance Management,"32,335,632","10,448,270","21,887,362",32.3,363,0
,,"36,791,267","11,251,065","25,540,202",30.6,363,0
,,,,,-,363,0
Accounts Section,Public Finance Management,"3,602,215","1,721,960","1,880,255",47.8,363,0
,"Kenya Devolution Support
Programme","950,596","232,800","717,796",24.5,363,0
,,"4,552,811","1,954,760","2,598,051",42.9,363,0
,,,,,-,363,0
Procurement and Supplies Section,Public Finance Management,"8,388,736","3,895,314","4,493,422",46.4,363,0
,"Kenya Devolution Support
Programme","270,000",-,"270,000",-,363,0
,,"8,658,736","3,895,314","4,763,422",45.0,363,0
,,,,,-,363,0
Internal Audit Section,"Kenya Devolution Support
Programme","2,879,800","1,353,281","1,526,519",47.0,363,0
,Public Finance Management,"6,873,734","1,323,700","5,550,034",19.3,363,0
,,"9,753,534","2,676,981","7,076,553",27.4,363,0
,,,,,-,363,0
"Administration- Public Service Man-
agement","Human Resource Management
And Development","11,229,476","1,069,236","10,160,240",9.5,364,0
,"County Governance Support
Services","19,612,141","1,365,226","18,246,915",7.0,364,0
,Service Delivery,"5,044,978",-,"5,044,978",-,364,0
,"Administration And Support
Services","519,540,564","271,368,814","248,171,750",52.2,364,0
,,"555,427,159","273,803,276","281,623,883",49.3,364,0
,,,,,-,364,0
Communication Section,"Administration And Support
Services","2,702,204","755,900","1,946,304",28.0,364,0
,,"2,702,204","755,900","1,946,304",28.0,364,0
,,,,,-,364,0
Legal Section,"Administration And Support
Services","20,868,397","4,921,330","15,947,067",23.6,364,0
,,"20,868,397","4,921,330","15,947,067",23.6,364,0
,,,,,-,364,0
Registry Section,"Administration And Support
Services","1,300,000","60,965","1,239,035",4.7,364,0
,Service Delivery,-,-,-,-,364,0
,,"1,300,000","60,965","1,239,035",4.7,364,0
,,,,,-,364,0
Human Resource Section,"Kenya Devolution Support
Programme","5,496,687",-,"5,496,687",-,364,0
,"Administration And Support
Services","8,426,000","1,229,700","7,196,300",14.6,364,0
,,"13,922,687","1,229,700","12,692,987",8.8,364,0
,,,,,-,364,0
"Administration- ICT and E-Govern-
ment","Administrative Support
Services","54,528,679","9,675,778","44,852,901",17.7,364,0
,"Livestock Resource Manage-
ment And Development","467,380","69,300","398,080",14.8,364,0
,"Disaster Response Manage-
ment","765,714","169,999","595,715",22.2,364,0
,"Ict Infrastructure Develop-
ment","47,833,313","5,888,861","41,944,452",12.3,364,0
,,"103,595,086","15,803,938","87,791,148",15.3,364,0
,,,,,-,364,0
"Administration - Roads, transport and
Infrastructure","Roads Infrastructure Devel-
opment","192,323,248","192,320,846","2,402",100.0,364,0
,,"192,323,248","192,320,846","2,402",100.0,364,0
,,,,,-,364,0
Roads Department,"Roads Infrastructure Devel-
opment","1,174,484,372","176,249,909","998,234,463",15.0,364,0
,,"1,174,484,372","176,249,909","998,234,463",15.0,364,0
,,,,,-,364,0
"Fire and Emergency Respond Depart-
ment","Roads Infrastructure Devel-
opment","60,000","13,000","47,000",21.7,364,0
,Disaster Management,"5,870,048","480,100","5,389,948",8.2,364,0
,,"5,930,048","493,100","5,436,948",8.3,364,0
,,,,,,364,0
Public Works Department,"Roads Infrastructure Devel-
opment","1,000,000","210,000","790,000",21.0,364,0
,,"1,000,000","210,000","790,000",21.0,364,0
,,,,,-,364,0
Transport Department,Disaster Management,"20,000,000",-,"20,000,000",-,365,0
,Transport Management,"838,728",-,"838,728",-,365,0
,,"20,838,728",-,"20,838,728",-,365,0
,,,,,-,365,0
,Street Lighting Services,"44,182,398",-,"44,182,398",-,365,0
,,"44,182,398",-,"44,182,398",-,365,0
,,,,,-,365,0
"Administration- Lands, Housing and
Physical Planning",Land Policy And Management,"393,706,222","315,819,384","77,886,838",80.2,365,0
,,"393,706,222","315,819,384","77,886,838",80.2,365,0
,,,,,-,365,0
Physical Planning Section,Land Policy And Management,"50,371,125","7,231,550","43,139,575",14.4,365,0
,,"50,371,125","7,231,550","43,139,575",14.4,365,0
,,,,,-,365,0
Survey Section,Land Policy And Management,"37,465,310","15,778,170","21,687,140",42.1,365,0
,,"37,465,310","15,778,170","21,687,140",42.1,365,0
,,,,,-,365,0
Housing Section,Housing Development,"64,090,519","12,322,044","51,768,475",19.2,365,0
,Land Policy And Management,"292,092,000","270,581,400","21,510,600",92.6,365,0
,,"356,182,519","282,903,444","73,279,075",79.4,365,0
,,,,,-,365,0
"Administration- Water, Environment,
Energy and Natural resources",Water Supply Services,"114,535,855","49,124,655","65,411,200",42.9,365,0
,,"114,535,855","49,124,655","65,411,200",42.9,365,0
,,,,,-,365,0
Environment Section,"Environmental Management
And Protection","135,004,502","5,209,519","129,794,983",3.9,365,0
,,"11,000,000",-,"11,000,000",-,365,0
,"Kenya Devolution Support
Programme","8,303,517","1,291,500","7,012,017",15.6,365,0
,Rural Electrification,"4,100,000","630,000","3,470,000",15.4,365,0
,,"158,408,019","7,131,019","151,277,000",4.5,365,0
,,,,,-,365,0
Water Section,Water Supply Services,"100,900,000",-,"100,900,000",-,365,0
,,"338,632,629","161,154,946","177,477,684",47.6,365,0
,"Agricultural Mechanization
Services","2,000,000",-,"2,000,000",-,365,0
,Rural Electrification,"1,000,000",-,"1,000,000",-,365,0
,,"442,532,629","161,154,946","281,377,684",36.4,365,0
,,,,,-,365,0
Energy Section,"Tourism Development And
Marketing","12,200,000",-,"12,200,000",-,365,0
,Tourism And Wildlife Services,"14,478,926",-,"14,478,926",-,365,0
,,"26,678,926",-,"26,678,926",-,365,0
,,,,,-,365,0
Administration- Health Services,Curative Health Services,"52,758,407","5,262,920","47,495,487",10.0,365,0
,Health Infrastructure,"408,113,176","17,760,768","390,352,408",4.4,365,0
,"Administration And Support
Services","1,694,496,825","783,711,668","910,785,157",46.3,365,0
,,"2,155,368,408","806,735,356","1,348,633,052",37.4,365,0
,,,,,-,365,0
Clinical Services,Curative Health Services,"60,000,000",-,"60,000,000",-,365,0
,Clinical Services,"50,082,080",-,"50,082,080",-,365,0
,"Administration And Support
Services","210,115,000","61,722,589","148,392,411",29.4,365,0
,,"320,197,080","61,722,589","258,474,491",19.3,365,0
,,,,,-,365,0
Prevention and Health Promotion,"Administration And Support
Services","7,978,111","303,180","7,674,931",3.8,365,0
,,"7,978,111","303,180","7,674,931",3.8,365,0
,,,,,-,365,0
"Administration- Agriculture, Live-
stock and Fisheries","Crop Development And
Management","114,784,339","88,159,710","26,624,629",76.8,366,0
,"Administration Support
Services","196,107,810","90,098,306","106,009,504",45.9,366,0
,,"310,892,149","178,258,016","132,634,133",57.3,366,0
,,,,,-,366,0
Agriculture,"Crop Development And
Management","228,854,485","25,586,575","203,267,910",11.2,366,0
,"Agricultural Mechanization
Services","3,154,329","851,222","2,303,107",27.0,366,0
,"Cooperatives Development
And Marketing","15,000,000",-,"15,000,000",-,366,0
,,"247,008,814","26,437,797","220,571,017",10.7,366,0
,,,,,-,366,0
Chebororwa Training Center,"Agricultural Training Services
- Chebororwa","66,063,927","448,960","65,614,967",0.7,366,0
,,"66,063,927","448,960","65,614,967",0.7,366,0
,,,,,-,366,0
Agricultural Machinery Service,"Agricultural Mechanization
Services","119,872,048","1,435,620","118,436,428",1.2,366,0
,,"119,872,048","1,435,620","118,436,428",1.2,366,0
,,,,,-,366,0
"Administration- Trade, Cooperatives,
Tourism and Wildlife","Administration And Support
Services","15,568,257","2,656,058","12,912,199",17.1,366,0
,,"15,568,257","2,656,058","12,912,199",17.1,366,0
,,,,,-,366,0
Trade Department,"Trade Development And
Investment","174,707,615","11,967,261","162,740,354",6.8,366,0
,Market Services,"284,032,545","7,612,332","276,420,213",2.7,366,0
,,"458,740,160","19,579,593","439,160,567",4.3,366,0
,,,,,-,366,0
Weights and Measures Department,Weights And Measurements,"1,960,500",-,"1,960,500",-,366,0
,,"1,960,500",-,"1,960,500",-,366,0
,,,,,-,366,0
Betting and licensing department,"Administration And Support
Services","3,331,515","1,994,880","1,336,635",59.9,366,0
,,"3,331,515","1,994,880","1,336,635",59.9,366,0
"Administration - Education, Social
Cultural, Youth and Sports","Administration And Support
Services","353,821,330","129,809,255","224,012,075",36.7,366,0
,,"353,821,330","129,809,255","224,012,075",36.7,366,0
Education Department,"Administration And Support
Services","5,596,257","2,388,060","3,208,197",42.7,366,0
,Basic Education,"109,804,479",-,"109,804,479",-,366,0
,"Early Childhood Education
And Training","2,495,568",-,"2,495,568",-,366,0
,,"117,896,304","2,388,060","115,508,244",2.0,366,0
Department of Culture,"Administration And Support
Services","12,400,000","1,723,240","10,676,760",13.9,366,0
,,"12,400,000","1,723,240","10,676,760",13.9,366,0
,,,,,-,366,0
Social Service Department,"Administration And Support
Services","3,900,000","1,657,770","2,242,230",42.5,366,0
,Social Development Services,"8,153,975",-,"8,153,975",-,366,0
,"Youth Training And Devel-
opment","7,198,965",-,"7,198,965",-,366,0
,,"19,252,940","1,657,770","17,595,170",8.6,366,0
"Headquarters - County Public Service
Board","Administration And Support
Services","30,850,007","4,894,369","25,955,638",15.9,366,0
,,"30,850,007","4,894,369","25,955,638",15.9,366,0
,,,,,-,366,0
Headquarters,"Administration Support
Services","100,798,650",-,"100,798,650",-,367,0
,"County Planning And Eco-
nomic Policy Management","680,000,000","229,920,343","450,079,657",33.8,367,0
,,"780,798,650","229,920,343","550,878,307",29.4,367,0
"KENYA DEVOLUTION SUPPORT
PROGRAMME","County Planning And Eco-
nomic Policy Management","36,360,525","9,293,600","27,066,925",25.6,367,0
,,"36,360,525","9,293,600","27,066,925",25.6,367,0
,"Kenya Devolution Support
Programme","7,852,491","1,745,600","6,106,891",22.2,367,0
,,"7,852,491","1,745,600","6,106,891",22.2,367,0
,"Kenya Devolution Support
Programme","10,652,364","680,000","9,972,364",6.4,367,0
,,"10,652,364","680,000","9,972,364",6.4,367,0
,Public Works Services,"161,559,160","87,178,998","74,380,162",54.0,367,0
,"Administrative Support
Services",-,-,-,-,367,0
,"Kenya Devolution Support
Programme","9,132,383",-,"9,132,383",-,367,0
,"Administration Support
Services","48,721,966",-,"48,721,966",-,367,0
,"Administration And Support
Services","39,131,309","13,057,324","26,073,985",33.4,367,0
