Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,"Absorption
(%)",page_number,table_index
"101004060 Crop,
Livestock, and Fisheries
Development and
Management",General administration and support services,"487,774,051","219,565,309","268,208,742",45.0,117,1
,"Livestock resource management and devel-
opment","133,618,241","10,975,122","122,643,119",8.2,117,1
,Fisheries Development,"7,200,000","1,360,000","5,840,000",18.9,117,1
,Crop production and management,"144,364,757","37,112,761","107,251,996",25.7,117,1
,Sub Total,"772,957,049","269,013,192","503,943,857",34.8,117,1
"102004060 Land Man-
agement and Physical
Planning; & Housing
Development",Land Management and Physical Planning,"197,914,246","78,621,469","119,292,777",39.7,117,1
,Sub Total,"197,914,246","78,621,469","119,292,777",39.7,117,1
"105004060 Municipal
Administration &
Urban Development","Municipal Administration and Urban Devel-
opment","1,905,993,000","20,000,000","1,885,993,000",1.0,117,1
,Sub Total,"1,905,993,000","20,000,000","1,885,993,000",1.0,117,1
"201004060 Main-
tenance of Roads,
Bridges, Land Trans-
port, Construction &
Maintenance",Construction of road and civil works,"1,147,827,473","592,019,686","555,807,787",51.6,117,1
,Sub Total,"1,147,827,473","592,019,686","555,807,787",51.6,117,1
"202004060 Adminis-
tration, planning &
support",General Administration and Support services,"305,528,910","176,104,440","129,424,470",57.6,117,1
,Sub Total,"305,528,910","176,104,440","129,424,470",57.6,117,1
"301004060 Industrial,
Investments, Tourism,
Trade and Cooperative
Development",General administration and support services,"133,457,571","47,599,409","85,858,162",35.7,117,1
,"Trade, Industrial Development and Invest-
ments","305,698,393","45,240,000","260,458,393",14.8,117,1
,Tourism Development and Promotion,"20,550,128","12,392,090","8,158,038",60.3,117,1
,Cooperative Development and promotion,"22,970,000",0,"22,970,000",0.0,117,1
,Enterprise Development,"44,168,391",0,"44,168,391",0.0,117,1
,Sub Total,"526,844,483","105,231,499","421,612,984",20.0,117,1
"401004060 Curative
and preventive health
care services",General administration and support services,"20,000,000",0,"20,000,000",0.0,117,1
,Health curative services,"818,716,765","216,812,884","601,903,881",26.5,117,1
,Sub Total,"838,716,765","216,812,884","621,903,881",25.9,117,1
"402004060 Adminis-
tration, Planning and
Support Services","General Administration and Support Servic-
es","3,516,816,907","1,936,331,564","1,580,485,343",55.1,117,1
,Sub Total,"3,516,816,907","1,936,331,564","1,580,485,343",55.1,117,1
"403004060 Preventive
Health Services",Community Health Services,"64,400,000","33,154,388","31,245,612",51.5,118,0
,Sub Total,"64,400,000","33,154,388","31,245,612",51.5,118,0
"404004060 Curative
and Rehabilitative
Health Services",County Hospital Infrastructure,"533,000,000","270,495,660","262,504,340",50.7,118,0
,Sub Total,"533,000,000","270,495,660","262,504,340",50.7,118,0
"405004060 Coun-
ty Pharmaceutical
Services","Pharmaceutical and Non Pharmaceutical
supplies","100,000,000","9,327,369","90,672,631",9.3,118,0
,Sub Total,"100,000,000","9,327,369","90,672,631",9.3,118,0
"501004060 Pre-primary
education, Promotion
of Culture; ICT and
social Services","Pre-primary education and youth polytech-
nics services","266,299,402","15,734,618","250,564,784",5.9,118,0
,Sub Total,"266,299,402","15,734,618","250,564,784",5.9,118,0
"502004060 General
Administration and
support Services","General Administration and support Servic-
es","693,396,202","272,863,430","420,532,772",39.4,118,0
,Sub Total,"693,396,202","272,863,430","420,532,772",39.4,118,0
"503004060 Pre-primary
education, Vocational
Education and Training",Early Childhood Development,"194,700,000","121,981,978","72,718,022",62.7,118,0
,Sub Total,"194,700,000","121,981,978","72,718,022",62.7,118,0
"504004060 Culture
Gender and Social Ser-
vice Development","Culture, Gender and Social services","60,000,000",0,"60,000,000",0.0,118,0
,Sub Total,"60,000,000",0,"60,000,000",0.0,118,0
"701004060 Legislation
and Oversight of Coun-
ty Government",Legislation and Oversight services,"595,078,227","301,426,784","293,651,443",50.7,118,0
,Sub Total,"595,078,227","301,426,784","293,651,443",50.7,118,0
"703004060 Leadership
and Admin of HR Man-
agement and dev in
County Public Service","Human Resource development and manage-
ment services","78,962,096","30,050,428","48,911,668",38.1,118,0
,Sub Total,"78,962,096","30,050,428","48,911,668",38.1,118,0
"704004060 Public
Finance Management
and Economic Policy
and Strategy",General Administration and support services,"1,030,729,322","536,560,116","494,169,206",52.1,118,0
,financial management services,"245,178,246","130,657,865","114,520,381",53.3,118,0
,Economic planning services,"31,553,152","16,696,791","14,856,361",52.9,118,0
,Sub Total,"1,307,460,720","683,914,772","623,545,948",52.3,118,0
