Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Industrialisation
and Investment
Services","Investment and Indus-
try Services","2,400,000.00","450,686,870.00","2,306,100.00","151,370,498",96.1%,33.6%,681,0
Sub Total,,"189,053,681.00","465,386,870.00","81,319,970","166,033,181",43.0%,35.7%,681,0
"Lands, Housing and Physical Planning",,,,,,,,681,0
"Land Policy
and Physical
Planning","Urban Physical Plan-
ning Services","86,800,258.00","553,477,229.00","31,532,974.00","24,960,250.00",36.3%,4.5%,681,0
,"Kenya Urban Support
Programme","35,000,000.00",-,,-,0.0%,0.0%,681,0
,"Urban Development
Services","231,450,000.00","192,894,053.00","107,728,719.00",-,46.5%,0.0%,681,0
"Housing Ser-
vices",Housing Services,"2,100,000.00",-,"1,152,564.00",-,54.9%,0.0%,681,0
"Public Works
Services",Public Works Services,"1,300,000.00","61,881,681.00","1,009,100.00","27,887,802.00",77.6%,45.1%,681,0
Sub-Total,,"356,650,258.00","808,252,963.00","141,423,357.00","52,848,052.00",39.7%,6.5%,681,0
"Public Service, Labour and Decentralised Unit",,,,,,,,681,0
"Human
Resources Man-
agement and
decentralised
services","Human Resources
Management and de-
centralised services","132,940,796.00",-,"83,685,449",-,62.9%,0.0%,681,0
"Service Delivery
and Perfor-
mance Manage-
ment","Service Delivery and
Performance Manage-
ment","33,792,179.00",-,"5,983,575",-,17.7%,0.0%,681,0
,"Technical Support
Services","14,678,402.00",-,"6,886,670",-,46.9%,0.0%,681,0
"Decentralised
unit and Town
admin",Decentralised unit,"193,035,680.00","7,800,000.00","91,552,025","5,696,528.00",47.4%,73.0%,681,0
,Town Administration,"233,244,094.00",-,"115,300,737",-,49.4%,0.0%,681,0
"Special Pro-
grams","Disaster Management
& Humanitarian
Coordination","138,493,985.00",-,"39,289,120",-,28.4%,0.0%,681,0
,"Conflict Prevention,
Management and
Resolution","42,976,984.00","21,000,000.00","12,597,416","15,800,923",29.3%,75.2%,681,0
,"Intergovernmental
Relations","69,403,510.00",-,"9,617,800",-,13.9%,0.0%,681,0
,"Public Participation
Services","27,791,985.00","5,000,000.00","8,925,242",-,32.1%,0.0%,681,0
,"Governance and
Ethics","16,108,416.00",-,"3,549,848",-,22.0%,0.0%,681,0
Sub-Total,,"902,466,031.00","33,800,000.00","377,387,882","21,497,451",41.8%,63.6%,681,0
