Programme,Sub-Programme,"Gross Approved Estimates
FY 2024/25",col_3,"Actual Expenditure as of
31st March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,635,1
Office of the Governor,,,,,,,,635,1
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support
Services","276,006,832",-,"71,092,539",-,26,-,635,1
"Governor’s Security and
Protocol","Security protocol and
procedures","3,627,586",-,"2,402,315",-,66,-,635,1
,Performance Contracting,"7,255,172",-,"7,254,000",-,100,-,635,1
,Efficiency Monitoring,"14,162,068",-,"11,608,494",-,82,-,635,1
"Intergovernmental
Relations",Intergovernmental Relations,"7,255,170",-,"1,916,679",-,26,-,635,1
,"Inter-County Performance
Review Forum","5,441,378",-,"4,275,200",-,79,-,635,1
"Donor/ Investor engage-
ment","Public-Private Partnership
Initiative","4,534,482",-,"2,107,982",-,46,-,635,1
,"Political and Intergovern-
mental Advisory Services","4,534,482",-,"2,977,376",-,66,-,635,1
,Legal Advisory Services,"4,534,482",-,"2,375,682",-,52,-,635,1
,"Security and Cross-Border
Advisory Services","1,360,344",-,"524,744",-,39,-,635,1
,,Rec,Dev,Rec,Dev,Rec,Dev,636,0
,"Oil And Gas Advisory
Service","1,360,344",-,"810,345",-,60,-,636,0
,"Gender and Partnership
Advisory Services","1,360,344",-,"860,345",-,63,-,636,0
,Special Interest Groups,"1,360,344",-,"730,800",-,54,-,636,0
,"Climate Change advisory
services","1,360,344",-,"734,400",-,54,-,636,0
,"Education and youth Advi-
sory services","1,360,344",-,"905,394",-,67,-,636,0
,"Culture, Arts and Heritage
advisory services","1,360,344",-,"700,000",-,51,-,636,0
,"Tracking of Flagship
projects","7,255,170",-,"2,678,181",-,37,-,636,0
,"Governor’s Transformative
Agenda","3,627,584",-,"2,287,785",-,63,-,636,0
Governors Press Service,Governors Press support,"3,285,233",-,"1,820,000",-,55,-,636,0
,"Governor’s Visibility and
Branding","7,000,000",-,"3,778,743",-,54,-,636,0
,Media Liaison,"500,000",-,"423,900",-,85,-,636,0
,Public Address Unit,"4,500,000",-,"2,987,200",-,66,-,636,0
"Security and Peace
Building","Resettlement Infrastructural
Programme",-,"51,000,000",-,-,0,-,636,0
