Head,Program,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Absorption
Rate (%)",page_number,table_index
0,,Default Value (Non-Departmental),-,"8,541,500",-,653,1
,4310,,-,"8,541,500",-,653,1
4311000100,,Administration - Governor’s Office,"124,346,159","87,849,936",71,653,1
,110004310,,"124,346,159","87,849,936",71,653,1
4311000200,,Inter-Governmental Committee,-,-,-,653,1
4312000100,,Administration - Finance and Economic Planning,"385,578,592","324,345,075",84,653,1
,709004310,KENYA DEVOLUTION SUPPORT PROGRAMME,-,-,-,653,1
,701004310,PUBLIC FINANCE MANAGEMENT,"385,578,592","324,345,075",84,653,1
4312000200,,Budget and Economic Affairs,"1,000,000","651,100",65,653,1
,701004310,PUBLIC FINANCE MANAGEMENT,"1,000,000","651,100",65,653,1
4312000300,,Revenue Section,"29,137,691","25,506,331",88,653,1
,701004310,PUBLIC FINANCE MANAGEMENT,"29,137,691","25,506,331",88,653,1
4312000400,,Accounts Section,"2,561,310","2,298,850",90,653,1
,701004310,PUBLIC FINANCE MANAGEMENT,"2,561,310","2,298,850",90,654,0
4312000500,,Procurement and Supplies Section,"2,661,310","2,283,284",86,654,0
,701004310,PUBLIC FINANCE MANAGEMENT,"2,661,310","2,283,284",86,654,0
4312000700,,Internal Audit Section,"7,461,310","9,028,193",121,654,0
,701004310,PUBLIC FINANCE MANAGEMENT,"7,461,310","9,028,193",121,654,0
4313000100,,Administration- Public Service Management,"886,420,228","712,804,855",80,654,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"886,420,228","712,804,855",80,654,0
4313000300,,Communication Section,"2,100,149","983,100",47,654,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"2,100,149","983,100",47,654,0
4313000500,,Registry Section,"395,000","48,900",12,654,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"395,000","48,900",12,654,0
4313000600,,Human Resource Section,"3,218,000","2,222,330",69,654,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"3,218,000","2,222,330",69,654,0
4314000100,,Administration- ICT and E-Government,"109,253,676","66,490,904",61,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"2,000,000",-,-,654,0
,201004310,ICT INFRASTRUCTURE DEVELOPMENT,"29,606,532","20,405,000",69,654,0
,216004310,,"77,647,144","46,085,904",59,654,0
4315000100,,"Administration - Roads, Transport and Infrastructure","1,309,627,993","719,693,150",55,654,0
,204004310,ROADS INFRASTRUCTURE DEVELOPMENT,"605,922,106","372,557,366",61,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"703,705,887","347,135,784",49,654,0
4315000200,,Roads Department,"418,497,436","29,006,185",7,654,0
,204004310,ROADS INFRASTRUCTURE DEVELOPMENT,"404,222,323","29,006,185",7,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"14,275,113",-,-,654,0
4315000300,,Fire and Emergency Response Department,"14,200,000",-,-,654,0
,204004310,ROADS INFRASTRUCTURE DEVELOPMENT,"14,200,000",-,-,654,0
4318000100,,Administration- Health Services,"1,862,130,561","1,333,383,533",72,654,0
,404004310,PUBLIC HEALTH SERVICES,-,-,-,654,0
,401004310,CURATIVE HEALTH SERVICES,-,-,-,654,0
,110004310,,"30,000,000","30,000,000",100,654,0
,405004310,HEALTH INFRASTRUCTURE,-,-,-,654,0
,407004310,,"143,186,119","129,000,000",90,654,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"1,649,988,088","1,172,905,001",71,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"38,956,354","1,478,532",4,654,0
4318000200,,Clinical Services,"240,000,000","132,971,660",55,654,0
,407004310,,"240,000,000","132,971,660",55,654,0
4319000100,,"Administration- Agriculture, Livestock and Fisheries","297,994,215","205,543,608",69,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"69,000,000","15,979,699",23,654,0
,118004310,,"228,994,215","189,563,909",83,654,0
4319000200,,Livestock,"415,852,875","173,247,779",42,654,0
,304004310,COOPERATIVES DEVELOPMENT AND MARKETING,"415,852,875","173,247,779",42,654,0
4320000100,,"Administration- Trade, Cooperatives, Tourism and
Wildlife","234,219,920","93,821,999",40,654,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"149,397,685","53,127,579",36,654,0
,110004310,,"84,822,235","40,694,420",48,654,0
4320000200,,Trade Department,"25,000,000","14,855,363",59,654,0
,301004310,TRADE DEVELOPMENT AND INVESTMENT,"25,000,000","14,855,363",59,654,0
4320000300,,Cooperatives Department,"187,764,125","25,969,912",14,654,0
,304004310,COOPERATIVES DEVELOPMENT AND MARKETING,"187,764,125","25,969,912",14,654,0
4320000400,,Tourism Department,"43,464,180",-,-,654,0
,311004310,,"43,464,180",-,-,654,0
4321000100,,"Administration - Education, Social Cultural, Youth
and Sports","754,009,481","553,873,467",73,655,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"166,850,113","39,500,000",24,655,0
,202004310,ADMINISTRATIVE SUPPORT SERVICES,"587,159,368","514,373,467",88,655,0
4321000300,,Department of Culture,"112,500,000","56,373,307",50,655,0
,202004310,ADMINISTRATIVE SUPPORT SERVICES,"43,500,000","41,373,550",95,655,0
,510004310,,"69,000,000","14,999,757",22,655,0
4322000100,,Headquarters - County Public Service Board,"65,950,456","45,319,227",69,655,0
,110004310,,"65,950,456","45,319,227",69,655,0
4323000100,,Headquarters,"1,002,232,711","478,625,199",48,655,0
,706004310,ADMINISTRATION AND SUPPORT SERVICES,"1,002,232,711","478,625,199",48,655,0
4324000100,,,"59,950,048","36,755,416",61,655,0
,702004310,"COUNTY PLANNING AND ECONOMIC POLICY
MANAGEMENT","59,950,048","36,755,416",61,655,0
4324000200,,,"23,000,000","22,817,995",99,655,0
,702004310,"COUNTY PLANNING AND ECONOMIC POLICY
MANAGEMENT","23,000,000","22,817,995",99,655,0
4324000300,,,"20,000,000","19,957,030",100,655,0
,702004310,"COUNTY PLANNING AND ECONOMIC POLICY
MANAGEMENT","20,000,000","19,957,030",100,655,0
4324000400,,,"18,000,000","17,303,995",96,655,0
,702004310,"COUNTY PLANNING AND ECONOMIC POLICY
MANAGEMENT","18,000,000","17,303,995",96,655,0
4325000100,,,"179,166,002","94,775,549",53,655,0
,110004310,,"141,666,002","89,876,913",63,655,0
,709004310,KENYA DEVOLUTION SUPPORT PROGRAMME,"37,500,000","4,898,636",13,655,0
4325000200,,,"303,484,094","257,913,223",85,655,0
,105004310,ADMINISTRATION SUPPORT SERVICES,"303,484,094","257,913,223",85,655,0
4326000100,,,"308,844,040","199,957,335",65,655,0
,513004310,,"196,065,220","145,588,795",74,655,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"5,000,000","2,505,000",50,655,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"107,778,820","51,863,540",48,655,0
4326000200,,Youth and Gender Affairs Department,"30,000,000","22,458,159",75,655,0
,513004310,,"30,000,000","22,458,159",75,655,0
4326000300,,,"20,000,000",-,-,655,0
,513004310,,"20,000,000",-,-,655,0
4327000100,,,"20,243,700","18,851,922",93,655,0
,305004310,WEIGHTS AND MEASUREMENTS,"6,743,700","5,351,922",79,655,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"13,500,000","13,500,000",100,655,0
4327000200,,,"60,215,854","37,940,195",63,655,0
,305004310,WEIGHTS AND MEASUREMENTS,"60,215,854","37,940,195",63,655,0
4329000100,,,"88,602,566","15,101,850",17,655,0
,305004310,WEIGHTS AND MEASUREMENTS,"299,942",-,-,655,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"88,302,624","15,101,850",17,655,0
4329000300,,LIVESTOCK,"145,109,299","20,338,377",14,655,0
,110004310,,"48,148,410","15,440,477",32,655,0
,101004310,"LIVESTOCK RESOURCE MANAGEMENT AND
DEVELOPMENT","79,195,078","4,897,900",6,655,0
,119004310,,"17,765,811",-,-,655,0
4331000100,,Eldoret Municipality,"720,158,806","144,579,232",20,655,0
,514004310,,"465,055,948","40,789,500",9,655,0
,305004310,WEIGHTS AND MEASUREMENTS,"6,640,488","3,156,000",48,655,0
,110004310,,"158,788,710","96,999,732",61,656,0
,123004310,,"89,673,660","3,634,000",4,656,0
4331000200,,,-,-,-,656,0
,205004310,DISASTER MANAGEMENT,-,-,-,656,0
4332000100,,PUBLIC HEALTH SERVICES,"659,743,447","551,436,800",84,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"54,900,000",-,-,656,0
,405004310,HEALTH INFRASTRUCTURE,"20,000,000","1,531,290",8,656,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"545,251,243","537,236,120",99,656,0
,407004310,,"39,592,204","12,669,390",32,656,0
4332000200,,,-,-,-,656,0
,407004310,,-,-,-,656,0
4333000100,,ADMINISTRATION AND SUPPORT SERVICES,"119,075,581","55,574,937",47,656,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"40,075,581","15,117,997",38,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"79,000,000","40,456,940",51,656,0
4333000200,,,"65,000,000","1,460,900",2,656,0
,214004310,,"65,000,000","1,460,900",2,656,0
4333000300,,,"10,000,000",-,-,656,0
,215004310,,"10,000,000",-,-,656,0
4333000400,,WATER SUPPLY SERVICES,"402,637,279","63,759,243",16,656,0
,215004310,,"402,637,279","63,759,243",16,656,0
4334000100,,,"54,224,175","28,975,993",53,656,0
,114004310,,"54,224,175","28,975,993",53,656,0
4335000100,,,"126,837,123","98,101,000",77,656,0
,511004310,,"10,100,000","10,099,400",100,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"22,590,742","10,000,000",44,656,0
,110004310,,"94,146,381","78,001,600",83,656,0
4335000200,,,"37,000,000","38,970,010",105,656,0
,511004310,,"37,000,000","38,970,010",105,656,0
4335000400,,,"29,400,000","19,487,854",66,656,0
,512004310,,"7,700,000","5,795,620",75,656,0
,506004310,SOCIAL DEVELOPMENT SERVICES,"21,700,000","13,692,234",63,656,0
4336000100,,,"84,306,017","29,964,915",36,656,0
,306004310,ADMINISTRATION AND SUPPORT SERVICES,"79,806,017","29,964,915",38,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"4,500,000",-,-,656,0
4336000200,,,"31,500,244","19,601,000",62,656,0
,122004310,,"31,500,244","19,601,000",62,656,0
4336000300,,,"1,319,449,667","385,709,380",29,656,0
,123004310,,"1,319,449,667","385,709,380",29,656,0
4337000100,,,"326,835,563","123,946,489",38,656,0
,504004310,ADMINISTRATION AND SUPPORT SERVICES,"15,000,000","1,373,950",9,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"209,750,000","71,901,650",34,656,0
,124004310,,"102,085,563","50,670,889",50,656,0
4337000300,,,"11,189,109",-,-,656,0
,108004310,LAND POLICY AND MANAGEMENT,"11,189,109",-,-,656,0
4338000100,,,"929,200,115","402,107,799",43,656,0
,1001004310,,"450,000,000","144,374,549",32,656,0
,707004310,COMMUNITY DEVELOPMENT SERVICES,"266,425,452","132,531,181",50,656,0
,901004310,WATER SUPPLY SERVICES,"212,774,663","125,202,069",59,656,0
4338000300,,,"332,636,030",-,-,656,0
