Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,S.P. 6. HIV services,"27, 038, 243",-,"9, 881, 998",-,37,-,572,0
,S.P. 9. Nutrition services,"50, 928, 536",-,"30, 135, 229",-,59,-,572,0
,"S.P. 10. Environmental
health services","45, 408, 116",-,"28, 785, 980",-,63,-,572,0
Programme 3.,,-,"499, 212, 470",-,"154, 657, 015",,,572,0
,"SP 2. Administration,
planning & revenue",-,"499, 212, 470",-,"154, 657, 015",-,31,572,0
,Sub-Total,"2,253,339,757","499, 212, 470","1,008,258,212","154, 657, 015",45,31,572,0
"Governorship, administration and ICT",,,,,,,,572,0
Programme 2.,,"739, 424, 604",-,"429, 865, 076",-,,,572,0
,"S.P. 1. General admin,
planning & support
services","286, 178, 811",-,"150, 333, 090",-,53,-,572,0
,"S.P. 2. Office of the
Governor","155, 613, 129",-,"101, 678, 420",-,65,-,572,0
,"S.P. 4. County public
service board","61, 651, 031",-,"57, 406, 580",-,93,-,572,0
,"S.P. 5. Firefighting &
disaster management","25, 825, 200",-,"17, 923, 309",-,69,-,572,0
,"S.P. 6. Sub-county admin-
istration","118, 027, 908",-,"74, 660, 545",-,63,-,572,0
,"S.P. 7. Human resource
management","32, 913, 010",-,"6, 673, 395",-,20,-,572,0
,"S.P. 8. Communication &
public relations","36, 171, 012",-,"16, 809, 255",-,46,-,572,0
,"S.P. 9. Information tech-
nology","23, 044, 503",-,"4, 379, 430",-,19,-,572,0
,Sub total,"739, 424, 604",-,"429, 865, 076",-,58,-,572,0
"Department of Smart agriculture, irrigation, food security, livestock and fisheries",,,,,,,,572,0
Programme 1.,,"336, 714, 775","411, 410, 417","285, 517, 613","90, 854, 120",,,572,0
,"S.P. 1. General adminis-
tration","118, 050, 499","81, 541, 822","95, 839, 976","13, 959, 315",81,17,572,0
,S.P. 3. Veterinary services,"28, 943, 305","11, 000, 000","18, 895, 500","1, 512, 446",65,14,572,0
,S.P. 4. Crop management,"159, 025, 221","284, 700, 271","150, 133, 874","69, 382, 359",94,24,572,0
,"S.P. 5. Fisheries develop-
ment & management","30, 695, 750","34, 168, 324","20, 648, 263","7, 500, 000",67,24,572,0
,Sub total,"336, 714, 775","411, 410, 417","285, 517, 613","90, 854, 120",85,22,572,0
"Department of Water, sanitation, environment, climate change and natural resources.",,,,,,,,572,0
Programme 1.,,"88, 208, 148","710, 782, 180","65, 912, 710","163, 901, 162",,,572,0
,"S.P. 1. General adminis-
tration","44, 960, 227",-,"39, 434, 638",-,88,-,572,0
,S.P. 2. Water services,"38, 454, 007","710, 782, 180","23, 912, 044","163, 901, 162",62,23,572,0
,S.P. 3. Forestry,"4, 793, 914",-,"2, 566, 028",-,54,-,572,0
,Sub total,"88, 208, 148","710, 782, 180","65, 912, 710","163, 901, 162",75,23,572,0
"Department of Education, youth affairs, gender and social services.",,,,,,,,572,0
Programme 1.,,"373, 600, 166","267, 410, 049","426, 794, 642","153, 591, 096",,,572,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,573,0
,"S.P. 1. General administra-
tion, planning & support
services","351, 090, 597",-,"410, 942, 789",-,117,-,573,0
,S.P. 2. ECDE programmes,"7, 662, 700","173, 575, 075","6, 423, 103","112, 185, 207",84,20,573,0
,"S.P. 3. Youth polytechnics
& youth training","5, 246, 269","40, 783, 581","3, 828, 580","23, 461, 390",73,5,573,0
,S.P. 6. Culture,-,"13, 852, 050",-,-,-,-,573,0
,S.P. 7. Social services,"9, 640, 600","39, 199, 343","5, 600, 170","17, 944, 500",58,43,573,0
Programme 3.,,-,"201, 750, 778",-,"62, 075, 366",-,-,573,0
,"SP. 2. Administration plan-
ning, revenue & accounts",-,"201, 750, 778",-,"62, 075, 366",-,10,573,0
,Sub total,"373, 600, 166","469, 160, 827","426, 794, 642","216, 476, 546",114,46,573,0
"Department of Lands, physical planning, housing and urban development.",,,,,,,,573,0
Programme 2.,,"123, 087, 776","119, 533, 752","45, 227, 245","36, 230, 976",,,573,0
,S.P. 1. Physical planning,"38, 062, 776",-,"16, 036, 225",-,42,-,573,0
,"S.P. 3. Land surveying and
mapping","8, 685, 000","119, 533, 752","4, 082, 621","36, 230, 976",47,30,573,0
,S.P. 5. Housing,"58, 495, 000",-,"16, 662, 041",-,28,-,573,0
,"S.P. 6. General administra-
tion, planning & support","17, 845, 000",-,"8, 516, 358",-,48,-,573,0
,Sub total,"123, 087, 776","119, 533, 752","45, 227, 245","36, 230, 976",37,30,573,0
"Department of Public works, energy, roads and transport.",,,,,,,,573,0
Programme 1.,,"123, 087, 776","1,194,250,065","63, 396, 028","696, 434, 841",,,573,0
,"S.P. 1. General administra-
tion services","26, 498, 680",-,"18, 210, 973",-,69,-,573,0
,"S.P. 2. Road development,
maintenance & manage-
ment","92, 155, 499","1,194,250,065","42, 966, 964","696, 434, 841",47,58,573,0
,"S.P. 3. County government
building services","4, 900, 258",-,"3,106, 000",-,63,-,573,0
,Sub total,"123, 087, 776","1,194,250,065","63, 396, 028","696,434, 841",51,58,573,0
"Department of Trade, enterprise and industrialisation.",,,,,,,,573,0
Programme 1,,"140, 989, 793","572, 287, 035","45, 347, 855","176, 797, 617",,,573,0
,"S.P. 1. General administra-
tion & planning S","79, 702, 930",-,"18, 270, 338",-,23,-,573,0
,"S.P. 2. Trade development
& investment","8, 925, 000","298, 472, 565","2, 671, 863","69, 367, 969",30,17,573,0
,"S.P. 3. Promotion of fair
trade practices","9, 634, 000",-,"6, 133, 890",-,66,-,573,0
,"S.P. 5. Cooperative exten-
sion services","5, 780, 532","10, 000, 000","2, 347, 796",-,41,-,573,0
,S.P. 6. Market services,"4, 426, 000","263, 814, 470","2, 061, 626","107, 429, 648",47,39,573,0
,"S.P. 7. Alcoholic drinks
control","5, 214, 000",-,"3, 340, 056",-,64,-,573,0
,"S.P. 8. Industrial devel-
opment","3, 730, 538",-,"1, 842, 170",-,49,-,573,0
,S.P. 9. Waste management,"23, 576, 793",-,"8, 680, 116",-,37,-,573,0
,Sub total,"140, 989, 793","572, 287, 035","45, 347, 855","176, 797, 617",32,31,573,0
"Department of Tourism, culture, sports and arts.",,,,,,,,573,0
Programme 1.,,-,"153, 889, 004",-,"116, 622, 432",-,-,573,0
,S.P. 5. Sports,-,"153, 889, 004",-,"116, 622, 432",-,76,573,0
