Programme,Sub-Programme,"Budget Estimates
(Kshs)","Actual Expenditure
(Kshs)","Absorption Rate
(%)",page_number,table_index
OFFICE OF THE GOVERNOR,,,,,122,1
"General Administration Planning
and Support Services","Management of County Affairs
(Office of the Governor)","238,644,617","131,123,616",54.95,122,1
"County Leadership and Coordina-
tion","Sub-County Administration and
Field Services","73,486,843","40,377,448",54.95,123,0
Sub Total,,"312,131,460","171,501,064",54.95,123,0
COUNTY PUBLIC SERVICE BOARD,,,,,123,0
"General Administration Planning
and Support Services","General Administration Planning
and Support Services","8,245,703","3,067,949",37.21,123,0
"Administration of Human Resources
in Public Service","Recruitment and Selection, Career
Management, HR Policy & Audit","12,547,809","4,668,618",37.21,123,0
"Administration of Human Resources
in Public Service","Administration of board pro-
grammes","8,962,721","3,334,727",37.21,123,0
"Administration of Human Resources
in Public Service","Performance Management & Dis-
cipline","6,094,650","2,267,614",37.21,123,0
Sub Total,,"35,850,883","13,338,909",37.21,123,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,123,0
"General Administration Planning
and Support Services","Service delivery and management of
County Affairs","452,038,730","210,744,379",46.62,123,0
Public Service,"Human Resource Development and
Culture Change Management","351,980,401","164,096,318",46.62,123,0
ICT Infrastructure,ICT Infrastructure Expansion,"202,689,158","94,495,445",46.62,123,0
Sub Total,,"1,006,708,289","469,336,142",46.62,123,0
COUNTY ASSEMBLY,,,,,123,0
"General Administration, Planning
and Support Services",Administrative Services,"745,083,672","401,933,864",53.94,123,0
"County Assembly Infrastructure
Improvement","County Assembly Infrastructure
Improvement","14,000,000","7,552,271",53.94,123,0
Sub Total,,"759,083,672","409,486,135",53.94,123,0
FINANCE AND ECONOMIC PLANNING.,,,,,123,0
"General Administration Planning
and Support Services","Administration, Planning and Sup-
port Services","94,341,152","39,391,296",41.75,123,0
"Economic Policy and County
Planning","Economic Development Planning
and Coordination","39,774,153","16,607,339",41.75,123,0
Revenue Management,Revenue Management Services,"73,765,148","30,799,972",41.75,123,0
Financial Management,"Control and Management of Public
Finances","46,762,680","19,525,335",41.75,123,0
Monitoring and Evaluation,"Monitoring and Evaluation of
Projects","2,397,599","1,001,096",41.75,123,0
Research and Statistics,County database,"7,232,756","3,019,972",41.75,123,0
Sub Total,,"264,273,488","110,345,009",41.75,123,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,123,0
Administrative Support Services,Administrative Support Services,"35,174,978","10,926,949",31.06,123,0
Trade Development and Promotion,Trade Development and Promotion,"289,409,958","89,903,904",31.06,123,0
"Industrial Development and Invest-
ment","Industrial Development and Invest-
ment","119,014,477","36,971,313",31.06,123,0
Tourism Development,Tourism Development,"97,375,481","30,249,256",31.06,123,0
Sub Total,,"540,974,894","168,051,421",31.06,123,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,123,0
Administrative Support Services,Administrative Support Services,"88,777,453","8,088,962",9.11,123,0
"Crop Development and Manage-
ment",Crop Development and Management,"101,796,424","9,275,187",9.11,123,0
"Agribusiness and Information
Management","Agribusiness and Information
Management","90,833,669","8,276,315",9.11,123,0
"Livestock Resources Management
and Development","Livestock Resources Management
and Development","86,072,121","7,842,466",9.11,123,0
"Cooperative Development and
Management",Strengthening the Cooperatives,"77,060,880","7,021,406",9.11,123,0
"Aquaculture Development and
Management",Fisheries Development,"54,684,004","4,982,536",9.11,124,0
Sub Total,,"499,224,551","45,486,872",9.11,124,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,124,0
"General Administration, Planning
and Support Services","General Administration, Planning
and Support Services","17,551,500","3,351,613",19.10,124,0
Water Service Delivery,Domestic water supply,"52,654,501","10,054,839",19.10,124,0
Irrigation Development,Development of Irrigation Schemes,"17,551,500","3,351,613",19.10,124,0
Sanitation Services,Sanitation Services,"8,775,750","1,675,806",19.10,124,0
"Environmental Management and
Conservation","Environmental Management and
Conservation","17,551,500","3,351,613",19.10,124,0
"Forestry and Landscapes Conser-
vation","Forestry and Landscapes Conser-
vation","8,775,750","1,675,806",19.10,124,0
"Climate Change Mitigation and
Adaptation","Climate Change Mitigation and
Adaptation","52,654,501","10,054,839",19.10,124,0
Sub Total,,"175,515,002","33,516,128",19.10,124,0
HEALTH,,,,,124,0
