Dept,Prog,Sub Program,"Gross Approved Estimates FY
2024/25",col_4,"Actual Expenditure as of 31
March 2025",col_6,"Absorption Rate
(%)",col_8,page_number,table_index
,Energy Resource Dev. & Management,,,-,-,-,-,-,612,0
,,Energy Resource Dev. & Management,,-,-,-,-,-,612,0
,"Environment & Natural Resources Man-
agement",,"25,968,000",-,"18,847,243","119,989,776",73,-,612,0
,,Environment & Natural Resources,"25,968,000",-,"18,847,243","119,989,776",73,-,612,0
,"Environment Management & Natural
Resources Conservation",,"21,350,000","296,000,000","2,000,000",-,9,-,612,0
,,Climate Change,"21,350,000","296,000,000","2,000,000",-,9,-,612,0
County Assembly,,,"523,355,131","15,712,325","322,035,298",0.00,62,-,612,0
,"Gen Admin, Planning & Support Services",,"294,947,308","15,712,325","131,667,554",-,45,-,612,0
,,Office of the Clerk,"294,947,308","15,712,325","131,667,554",-,45,-,612,0
,County Legislation Services,,"269,344,692",-,"190,367,744",-,-,-,612,0
,,"County Assembly Legislation
Services","197,859,773",-,"129,976,166",-,66,-,612,0
,,"Coordination Services (Office of
the Speaker)","15,600,000",-,"8,803,100",-,56,-,612,0
,,"Procedure and Oversight Services
(Committees)","55,884,919",-,"51,588,478.10",-,92,-,612,0
Water Services & Irrigation,,,"57,180,323","418,171,156","33,226,854","28,366,467",58,7,612,0
,Environment & Natural Resources Management -,,,-,-,"24,814,317",-,-,612,0
,,Water Services,-,-,-,"24,814,317",-,-,612,0
,Water Supply Services,,"57,180,323","418,171,156","33,226,854","3,552,150",58,1,612,0
,,Domestic Water Services,"46,129,323","18,652,580","31,837,654",-,69,-,612,0
,,Irrigation & Drainage Services,"6,418,000","22,477,000","1,338,800",-,21,-,612,0
,,Water Storage Services,"4,633,000","377,041,576","50,400","3,552,150",1,1,612,0
County Public Service Board,,,"33,133,400",,"13,900,971",,42,-,612,0
,"Gen. Admin., Planning & Support Services",,"33,133,400",-,"13,900,971",-,42,-,612,0
,,Gen. Admin. & Support Services,"26,863,400",-,"13,182,071",-,49,-,612,0
,,HR Management Services,"6,270,000",-,"718,900",-,11,-,612,0
,,,Rec.,Dev.,Rec.,Dev.,Rec.,Dev.,613,0
Public Health & Sanitation,,,"323,182,688",-,"213,096,013",,66,-,613,0
,Curative & Rehabilitative Services,,-,-,,,-,-,613,0
,,Medical Supplies,-,-,-,-,-,-,613,0
,Preventive & Promotive Health Services,,"323,182,688",-,"213,096,013",-,66,-,613,0
,,Environmental Health Services,"59,606,288",-,"4,864,218",-,8,-,613,0
,,"Health Promotion & Disease
Control","263,576,400",-,"208,231,795",-,79,-,613,0
,,"Reproductive Maternal & Child
Health Services",-,-,-,-,-,-,613,0
Youth & Sports,,,"28,518,800","40,000,000","19,476,459","16,536,683",68,41,613,0
,Sports Dev. & Promotion,,"28,518,800","40,000,000","19,476,459","16,536,683",68,41,613,0
,,"Athletics Championships & Other
Games","798,000","40,000,000",-,-,-,-,613,0
,,"County Football League & Clubs
Dev.","1,080,000",-,-,-,-,-,613,0
,,Talent Search & Promotion,"26,640,800",-,"19,476,459","16,536,683",73,-,613,0
Culture & Tourism,,,"32,344,000",-,"21,158,128",,65,-,613,0
,"Culture, Arts & Social Services",,"29,225,000",-,"21,158,128",-,72,-,613,0
,,Culture & Arts Promotion,"29,225,000",-,"21,158,128",-,72,-,613,0
,Tourism Dev. & Promotion,,"3,119,000",-,-,-,-,-,613,0
,,Miss Tourism Tharaka Nithi,"1,995,720",-,-,-,-,-,613,0
,,Tourism Branding & Marketing,"1,123,280",-,-,-,-,-,613,0
,,"Tourism Promotion & Infrastruc-
ture Dev.",-,-,-,-,-,-,613,0
Revenue & Resource Mobilisation,,,"106,424,200",-,"79,059,351",,74,-,613,0
,Financial Management Services,,"8,009,500",-,"791,450",-,10,-,613,0
,,"Resource Mobilisation & Manage-
ment","8,009,500",-,"791,450",-,10,-,613,0
,Resource Mobilisation,,"98,414,700",-,"78,267,901",-,80,-,613,0
,,Revenue Admin.,"98,414,700",-,"78,267,901",-,80,-,613,0
"Lands, Physical Planning & Housing",,,"45,148,000","43,000,000","34,285,592",,76,-,613,0
,Energy Resource Dev. & Management,,,-,-,-,-,-,613,0
,,Energy Resource Dev. & Management,,-,-,-,-,-,613,0
,Environment & Natural Resources Management,,,-,-,-,-,-,613,0
,,Environment & Natural Resources,-,-,-,-,-,-,613,0
,Land Policy & Planning,,"45,148,000","43,000,000","34,285,592",-,76,-,613,0
,,Land Admin. & management,"3,836,000",,"1,216,820",-,32,-,613,0
,,Physical Planning Services,"41,312,000","43,000,000","33,068,772",-,80,-,613,0
Fisheries & Ecosystem Dev.,,,"16,295,000","14,810,384","9,389,670",-,58,-,613,0
,"Livestock & Fisheries Resource Manage-
ment & Dev.",,"16,295,000","14,810,384","9,389,670",-,58,-,613,0
,,Fisheries Dev. & Promotion,"16,295,000","14,810,384","9,389,670",-,58,-,613,0
"Gender, Children & Social Services",,,"25,550,000",-,"15,104,218",-,59,-,613,0
,Gender & Youth Empowerment,,"25,550,000",-,"15,104,218",-,59,-,613,0
,,"Gender, Youth & Women Empowerment","25,550,000",-,"15,104,218",-,59,-,613,0
"Trade, Investment Promotion, Energy & Industry",,,"41,211,480","153,000,000","31,152,765","2,744,711",76,2,613,0
,Energy Resource Dev. & Management,,"35,351,480","3,000,000","30,718,715","2,744,711",87,91,613,0
,,"Energy Resource Dev. & Manage-
ment","35,351,480","3,000,000","30,718,715","2,744,711",87,91,613,0
,Gen. Admin. Planning & Support Services,,-,-,-,-,-,-,613,0
,,Gen. Admin. Services,-,-,-,-,-,-,613,0
,"Gen. Admin., Planning & Support Services",,-,-,-,-,-,-,613,0
