Programme,Sub-Programme,Supplementary Estimates,col_3,Actual Payments of FY 2024-25 (Ksh),col_5,"Absorption
(%)",page_number,table_index
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent Expen-
diture","Development
Expenditure",,245,0
County Assembly,,,,,,,245,0
"Legislation and
Oversight","Legislation and
Oversight","676,637,101","130,855,694",-,-,0.0,245,0
Sub Total,,"676,637,101","130,855,694",-,-,0.0,245,0
County Executive,County Executive,,,,,,245,0
"Office of the Governor
and Deputy Governor","070601 County Exec-
utive Services","330,744,668",-,"184,625,501",-,55.0,245,0
"County Executive
Administration","070701 County Exec-
utive Services",-,"6,000,000",-,-,0.0,245,0
"Management of Coun-
ty Affairs","070801 Coordination
of County Functions","137,732,061",-,"77,130,522",-,54.8,245,0
"County Executive
Committee Affairs","070901 Organisation
of County Business","3,200,000",-,"932,200",-,15.0,245,0
"County Public Service
Board","071001 Human Re-
source Management","19,906,040",-,"9,178,252",-,61.6,245,0
"Administrative Sup-
port Services","020202 ICT Gover-
nance","3,480,000",-,"2,161,077",-,62.1,245,0
,"020701 Government
Buildings Services","2,567,000",-,"1,084,900",-,42.3,245,0
,"070411 Audit Com-
mittee","2,419,000",-,"106,561",-,4.4,245,0
,"070412 County En-
forcement Activities","3,685,000",-,"517,640",-,14.0,245,0
,"070413 ICT Infra-
structure Develop-
ment Management","10,958,800",-,"7,780,800",-,71.0,245,0
,"070414 ICT Systems
Development Man-
agement","1,522,000",-,"466,160",-,30.6,245,0
Sub Total,,"516,214,569","6,000,000","283,983,612",-,53.8,245,0
Finance and Economic Planning,,,,,,,245,0
"Public Finance Man-
agement","070401 Finance
Services","580,505,281","144,184,035","357,576,844","41,757,743",54.5,245,0
,"070402 Revenue
Services","17,300,000",-,"8,645,539",-,44.8,245,0
,"070404 Procurement
and Supply Services","9,572,729",-,"8,459,360",-,86.6,245,0
,"070405 Internal Audit
Services","1,718,200",-,"522,600",-,30.4,245,0
,"070408 Budget For-
mulation, Coordina-
tion and Management","9,054,920",-,"4,273,200",-,47.2,245,0
,"070409 Accounting
Services","7,445,000",-,"5,126,707",-,68.9,245,0
"County Planning
and Economic Policy
Management","070501 Economic
Planning Services","26,847,462",-,"12,609,996",-,47.0,245,0
Sub Total,,"652,443,592","144,184,035","397,214,246","41,757,743",54.4,245,0
Medical Services and Public Health,,,,,,,245,0
"Curative and Rehabili-
tative Services","040301 Curative
and Rehabilitative
Services","2,190,327,259","379,362,036","1,294,728,079","260,728,902",56.5,245,0
Sub Total,,"2,190,327,259","379,362,036","1,294,728,079","260,728,902",56.5,245,0
Education,Education,,,,,,245,0
Basic Education,"050101 General
Administration","304,571,405",-,"134,421,643",-,35.1,245,0
,"050102 Free Pre-Pri-
mary Education","6,230,000",-,"1,398,250",-,20.9,245,0
"State Education Func-
tion Support","050203 Tertiary
Education",-,"20,877,450",-,"877,450.00",4.2,245,0
,"050501 Pre-Prima-
ry and Child Care
Services",-,"31,653,602",-,"18,168,736",57,245,0
"Technical and Voca-
tional Training","050301 Village Poly-
technique","1,713,500",,"171,000",-,8.4,245,0
,,"Recurrent Esti-
mates","Development
Estimates","Recurrent Expen-
diture","Development
Expenditure",,246,0
Sub Total,,"312,514,905","52,531,052","135,990,893","19,046,186",33.9,246,0
"Agriculture, Livestock and Fisheries",,,,,,,246,0
"Livestock Resource
Management and
Development","010102 Livestock Ex-
tension and Capacity
Building Services","277,500",-,"50,000",-,16.4,246,0
,"010105 Livestock Pro-
duction Management",,-,-,-,,246,0
,"010106 Livestock
Disease Management
& Control","1,140,000",-,"839,999",-,70.0,246,0
"Crop Development
and Management","010202 Agricultural
Extension Services","600,000",-,"375,000",-,37.5,246,0
,"010203 Agribusiness
and Market Devel-
opment","90,000",-,"64,073",-,64.1,246,0
,"010206 Land and
Crop Development","5,035,000",-,"5,010,000",-,98.8,246,0
,"010207 Food Security
Initiatives","350,000",-,"349,971",-,87.5,246,0
"Kamweti Agricultural
Training Centre","Extension and
Training",-,-,-,-,,246,0
Fisheries Development,"010402 Aquaculture
Development","200,000",-,-,-,0.0,246,0
"Policy, Strategy, and
Management of Agri-
culture","010801 Development
of Agricultural Policy","543,000",-,"81,809",-,15.1,246,0
,"011001 General
Administration and
Planning","203,691,148","218,713,971","144,808,552","35,228,108",42.5,246,0
Sub Total,,"211,926,648","218,713,971","151,579,404","35,228,108",43.2,246,0
Gender and Youth,,,,,,,246,0
Culture,"090702 Social Welfare
Services","6,959,441",-,"1,643,680",-,15.4,246,0
,"091201 Gender Ad-
ministration Services","30,496,210",-,"17,915,104",-,58.1,246,0
,"091301 Gender and
Social Development","3,340,000","73,521,020","108,800","36,510,827",46.3,246,0
Youth,"090901 Youth Devel-
opment and Empow-
erment Services","495,000",-,"308,200",-,46.0,246,0
Sub Total,,"41,290,651","73,521,020","19,975,784","36,510,827",46.6,246,0
Sports Culture and Social Services,,,,,,,246,0
Sports,"090701 General
Administration","12,271,217",-,"8,836,333",-,69.5,246,0
,"090801 Development
of Sports and Sports
Facilities",-,"32,031,138",-,"20,785,638",46.8,246,0
,"091401 Management
& Development of
Sports and Sports
Facilities","3,755,000",-,"193,200",-,3.9,246,0
,"091601Control &
Campaign Against
Drug & Substance
Abuse","14,549,000",-,"7,250,000",-,49.8,246,0
,"091701 Preservation
& Promotion of Heri-
tage and Culture","173,800",-,"7,500",-,3.0,246,0
Children Services,"091101 Child
Community Support
Services","4,659,000",-,"1,808,450",-,37.8,246,0
Sub Total,,"35,408,017","32,031,138","18,095,483","20,785,638",47.7,246,0
"Cooperative Development, Trade, and Tourism",,,,,,,246,0
