Programme,Revised Gross Approved Estimates,col_2,Actual Expenditure,col_4,"Absorption Rate
(%)",col_6,page_number,table_index
"SP 3 Environment and Natu-
ral Resource Development","1,581,280","328,967,694","684,000","127,499,530",43,39,695,0
SP 4 Ward Specific,-,"160,470,714",-,"27,938,456",-,17,695,0
TOTAL,"75,051,468","512,513,624","59,512,809","178,513,202",79,35,695,0
"Tourism, Youth, Sports and Culture",,,,,,,695,0
"SP 1 General Administra-
tion, Planning and Support
Services","75,799,889",-,"36,037,073",-,48,-,695,0
SP 2 Tourism Development,"5,494,000",-,"4,282,450",-,78,-,695,0
"SP 3 Gender, Youths and
Sports Development",-,"12,999,873","27,285,587","11,999,871",-,92,695,0
"SP 4 Culture and Social
Development","3,439,718",-,"1,412,938",-,41,-,695,0
SP 5 Ward Specific,"4,536,612","32,495,117",-,"11,295,196",-,35,695,0
TOTAL,"89,270,219","45,494,990","69,018,048","23,295,067",77,51,695,0
"County Public Service, ICT and Decentralised Units",,,,,,,695,0
"SP 1 General Administra-
tion, Planning and Support
Services","351,096,367",-,"150,311,803",-,43,-,695,0
SP 2 Human Resource,"5,377,549",-,"2,040,000",-,38,-,695,0
SP 3 Legal Services,"11,520,000",-,"6,352,439",-,55,-,695,0
SP 4 Records Management,"9,528,000",-,"5,700,000",-,60,-,695,0
"SP 5 Communication
Services","4,200,000",-,"1,150,000",-,27,-,695,0
"SP 6 ICT Infrastructure
Connectivity","28,176,926","3,549,400","7,717,184",-,27,-,695,0
SP 7 Field Administration,"15,480,000",-,"5,530,000",-,36,-,695,0
TOTAL,"425,378,842","3,549,400","178,801,426",-,42,-,695,0
Special Programmes and Directorates,,,,,,,695,0
"SP 1 General Administra-
tion Planning and Support
Services","49,263,000",-,"16,731,062",-,34,-,695,0
