Programme,Sub-Programme,"Approved Estimates
(Kshs)","Actual Expendi-
ture (Kshs)",Variance (Kshs),"Absorption
rate (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,149,1
"General adminis-
tration and support
services","Staff Remuneration and Welfare Sup-
port Services","451,893,111","306,628,880","145,264,231",68,149,1
,"General Logistics, Coordination and
Asset Management Services","172,735,098","36,537,528","136,197,570",21,149,1
,Sub total,"624,628,209","343,166,408","281,461,801",55,149,1
"Planning, Budgeting
and Development Co-
ordination Services","Economic planning and development
coordination services","10,953,000","2,045,930","8,907,070",19,149,1
,Resource allocation services,"9,393,200","6,297,289","3,095,911",67,149,1
,"Public Participation Facilitation
Services","12,589,000","1,077,578","11,511,422",9,149,1
,Sub total,"32,935,200","9,420,797","23,514,403",29,149,1
"Resource mobilisation
services","External Resources Mobilisation
Services",-,-,-,-,150,0
,Internal Revenue Generation Services,"28,486,600","11,164,108","17,322,492",39,150,0
,Sub total,"28,486,600","11,164,108","17,322,492",39,150,0
"Financial management
services","Accounting and Financial Reporting
Services","8,859,400","5,730,176","3,129,224",65,150,0
,Supply Chain Management Services,"9,592,861","5,166,855","4,426,006",,150,0
,Audit and Advisory Services,"7,072,885","4,808,304","2,264,581",68,150,0
,Emergency Management Services,"234,935,539","12,000,000","222,935,539",5,150,0
,Sub total,"260,460,685","27,705,335","232,755,350",11,150,0
,Total,"946,510,694","391,456,647","555,054,047",41,150,0
County Public Service Board,,,,,,150,0
"General Policy, Plan-
ning and Administra-
tion Services",Policy Development Services,"1,425,000",-,"1,425,000",-,150,0
,Administrative Support Services,"63,014,549","40,327,009","22,687,540",64,150,0
,Infrastructure Development Services,-,-,-,-,150,0
,Sub total,"64,439,549","40,327,009","24,112,540",63,150,0
"Personnel Sourcing
and Management
Services","Recruitment, Selection and Deploy-
ment Services","2,877,854",-,"2,877,854",-,150,0
,"Human Resource Management and
Development Services","140,000",-,"140,000",-,150,0
,"Establishment and abolishment of
Offices",-,-,-,-,150,0
,"National Performance Management
Systems",-,-,-,-,150,0
,Capacity Development Services,"2,000,000","996,700","1,003,300",50,150,0
,Sub total,"5,017,854","996,700","4,021,154",20,150,0
,Total,"69,457,403","41,323,709","28,133,694",59,150,0
County Assembly Service Board,,,,,,150,0
Legislative Services,Members’ welfare Support services,"247,066,059","182,522,818","64,125,321",74,150,0
,"Legislative development and approval
services","131,636,498","113,804,791","17,995,209",86,150,0
,Sub total,"378,702,557","296,327,609","82,120,530",78,150,0
"Oversight and Control
Services",Capacity building services,"48,000,000","47,212,380","787,620",98,150,0
,Report writing services,"52,000,000","43,561,000","8,439,000",84,150,0
,"Public Participation and Education
Services","40,000,000",-,"40,000,000",-,150,0
,Sub total,"140,000,000","90,773,380","49,226,620",65,150,0
"Ward Representation
Services",Staff welfare support services,"59,712,348","18,893,611","40,818,737",32,150,0
,Ward operations and maintenance,"17,284,320","11,797,056","5,487,264",68,150,0
,Sub total,"76,996,668","30,690,667","46,306,001",40,150,0
"Policy, Planning and
Administrative
Support Services",Administrative support services,"272,270,879","149,351,070","122,919,809",55,150,0
,Financial Management Services,"159,190,000","74,138,050","85,051,950",47,150,0
,"Assembly infrastructure development
Services","142,564,789","18,719,225","123,845,564",13,150,0
,Sub total,"574,025,669","223,489,120","350,536,548",39,150,0
,Total,"1,169,724,894","641,280,775","528,444,119",55,150,0
Homa Bay Municipal Board,,,,,,150,0
"Planning, Finance
and Administrative
Support Services",Policy and planning services,-,-,-,-,150,0
,Financial Management Services,"6,811,419","1,213,160","5,598,259",18,150,0
,"Personnel remuneration and develop-
ment services","22,945,272","15,200,000","7,745,272",66,150,0
,Sub total,"29,756,691","16,413,160","13,343,531",55,150,0
"Public Works and
Infrastructure Im-
provement Services","Transport Infrastructure Improvement
Services","37,861,088",-,"37,861,088",-,151,0
,Environmental Management Services,"5,000,000",-,"5,000,000",-,151,0
,Provision for pending bills,"2,000,000",-,"2,000,000",-,151,0
,Sub total,"44,861,088",-,"44,861,088",-,151,0
"Housing and Urban
Development Services","Social Outreach and Engagement
Services",-,-,-,-,151,0
,"Neighbourhood Planning and Devel-
opment Services","4,000,000",-,"4,000,000",-,151,0
,"Workforce development and enterprise
support services",-,-,-,-,151,0
,Sub total,"4,000,000",-,"4,000,000",-,151,0
,Total,"78,617,779","16,413,160","62,204,619",21,151,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,151,0
"Policy Planning, Gen-
eral Administration
and Support Services",Policy and Planning Services,-,-,-,-,151,0
,"General Administration and Support
Services","210,480,293","135,629,073","74,851,220",64,151,0
,Sub total,"210,480,293","135,629,073","74,851,220",64,151,0
"Crop, Land and Agri-
business Development
Services",Crop Development Services,"21,499,430",-,"21,499,430",-,151,0
,Agribusiness Development Services,-,-,-,-,151,0
,Land Development Services,-,-,-,-,151,0
,"National Agriculture Rural Inclusive
Growth",-,-,-,-,151,0
,"Agriculture Sector Development Sup-
port Programme",-,-,-,-,151,0
,National Value Chain Project,-,-,-,-,151,0
,Sub total,"21,499,430",-,"21,499,430",-,151,0
"Food Security En-
hancement Services","Sub-Sector Infrastructure Development
Services","5,000,000",-,"5,000,000",-,151,0
,Farm Input Access Services,"43,000,000","37,085,258","5,914,742",86,151,0
,"National Agriculture Rural Inclusive
Growth",-,-,-,-,151,0
,"Kenya Agriculture Business Develop-
ment Programme","10,918,919",-,"10,918,919",-,151,0
,National Value Chain Project,"156,515,152",-,"156,515,152",-,151,0
,Sub total,"215,434,071","37,085,258","178,348,813",17,151,0
"Livestock Develop-
ment Programme","Livestock Improvement and Develop-
ment","2,000,000",-,"2,000,000",-,151,0
,"Livestock Infrastructure Development
Services","23,605,379","4,306,609","19,298,770",18,151,0
,"Livestock Health and Disease Man-
agement",-,-,-,-,151,0
,Sub total,"25,605,379","4,306,609","21,298,770",17,151,0
,Total,"473,019,173","177,020,940","295,998,233",37,151,0
"Department of Gender Equality and Inclusivity, Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,151,0
"Policy, Planning and
General Administra-
tion services","General Administration and Support
Services","83,952,751","65,803,523","18,149,228",78,151,0
,Policy and Planning Services,"15,199,521","3,242,817","11,956,704",21,151,0
,Office Development Operations,-,-,-,-,151,0
,Sub total,"99,152,272","69,046,340","30,105,932",70,151,0
"Cultural And Creative
Sector Development
Services","Creative Economy Development
Services","1,557,877",-,"1,557,877",-,151,0
,"Cultural Development and Promotion
Services","9,000,000",-,"9,000,000",-,151,0
,Sub total,"10,557,877",-,"10,557,877",-,151,0
"Social Development
and Empowerment
Services","Gender Mainstreaming and Women’s
Empowerment Services","6,604,418",-,"6,604,418",-,152,0
,"Youth Empowerment and Mainstream-
ing Services","7,632,000",-,"7,632,000",-,152,0
,SGBV Control Services,"6,773,000",-,"6,773,000",-,152,0
,Sub total,"21,009,418",-,"21,009,418",-,152,0
"Management and De-
velopment of Sports
and Sports Facilities","Sports Infrastructure Development
Services","83,000,000","16,109,890","66,890,110",19,152,0
,"Sports Management and Talent Devel-
opment","35,000,000","26,673,195","8,326,805",76,152,0
,Sub total,"118,000,000","42,783,085","75,216,915",36,152,0
,Total,"248,719,567","111,829,425","136,890,142",45,152,0
"Department of Roads, Transport, Public Works and Infrastructure",,,,,,152,0
"General Administra-
tion, Planning and
Support Services","Human Resource and Capacity Devel-
opment Services","130,541,652","83,000,000","47,541,652",64,152,0
,"Administration Support And Staff
Capacity Development Services","25,930,038","9,222,040","16,707,998",36,152,0
,"Policy Planning And Field Support
Services","613,500",-,"613,500",-,152,0
,"Monitoring, Evaluation and learning
and Report Development Services","300,000",-,"300,000",-,152,0
,Sub total,"157,385,190","92,222,040","65,163,150",59,152,0
"Public works and
maintenance services",Quality Control and Enforcement,-,-,-,-,152,0
,Infrastructure Development Services,"33,000,000","22,853,796","10,146,204",69,152,0
,"Plants, equipment, and
vehicle support services","35,000,000","7,030,138","27,969,862",20,152,0
,Sub total,"68,000,000","29,883,934","38,116,066",44,152,0
"Road Development
and Rehabilitation
Services",Road Development Services,"425,000,000","247,728,185","177,271,815",58,152,0
,Road Maintenance Services,"396,974,496","217,174,867","179,799,629",55,152,0
,Sub total,"821,974,496","464,903,052","357,071,444",57,152,0
"Transport Develop-
ment and Rehabilita-
tion Services",Water Transport Services,-,-,-,-,152,0
,"Bus park, Motorbike
and Taxi Infrastructure Services",-,-,-,-,152,0
,"Air Transport
Infrastructure
Development Services",-,-,-,-,152,0
,Sub total,-,-,-,-,152,0
,Total,"1,047,359,686","587,009,026","460,350,660",56,152,0
"Department of Blue Economy, Fisheries, Mining and Digital Economy",,,,,,152,0
"General Administra-
tion, Planning and
Support Services",Policy Development Services,-,-,-,-,152,0
,"Personnel Remuneration and Welfare
Services","76,286,892","51,500,000","24,786,892",68,152,0
,Administrative Support Services,"14,611,925","4,618,960","9,992,965",32,152,0
,Sub total,"90,898,817","56,118,960","34,779,857",62,152,0
"Blue Economy and
Fisheries Resources
Development Services","Capture Fisheries and Development
Services","4,500,000",-,"4,500,000",-,152,0
,Aquaculture Development Services,"12,909,422",-,"12,909,422",-,152,0
,Blue Economy Development Services,"51,281,739","2,311,305","48,970,434",5,152,0
,Sub total,"68,691,161","2,311,305","76,379,856",3,152,0
"Mineral resources
development and
marketing services",Artisanal Mining Services,"7,000,000",-,"7,000,000",-,152,0
,Mineral Prospecting Services,"3,000,000",-,"3,000,000",-,152,0
,Sub total,"10,000,000",-,"10,000,000",-,152,0
"ICT And Digital
Economy Develop-
ment Services","ICT Infrastructure Development
Services","15,000,000",-,"15,000,000",-,152,0
,"Digital Literacy and Skill Development
Services",-,-,-,-,152,0
,Sub total,"15,000,000",-,"15,000,000",-,152,0
,Total,"184,589,978","58,430,265","126,159,713",32,152,0
"Department of Education, Human Capital Development and Vocational Training",,,,,,153,0
"General Adminis-
tration and Quality
Assurance Service",General Administration Services,"19,265,068","11,714,348","7,550,720",61,153,0
,"Human Resources Management
services","984,173,791","646,000,000","338,173,791",66,153,0
,Quality Assurance Services,"8,408,000",-,"8,408,000",-,153,0
,Stakeholder Management Services,"920,000",-,"920,000",-,153,0
,Special Needs Education Services,"544,800",-,"544,800",-,153,0
