Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 March 2025",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",74,1
"Agriculture, Livestock, Fisheries and Cooperative Development",,,,,,,,74,1
"Programme 1: General Ad-
ministration, Planning and
Support Services",,369.28,-,258.09,4.50,70 -,,74,1
,"S. P 1.1 Human Resource Manage-
ment and Development",344.66,-,235.83,-,68 -,,74,1
,"S.P. 1.2 Administrative and Support
Services",24.62,-,22.26,4.50,90 -,,74,1
"Programme 2: Crop Devel-
opment and Management",,1.70,580.70,-,327.80,-,56,74,1
,Crop Extension and Training Services,1.20,-,-,-,- -,,74,1
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",75,0
,"Crop Production and Productivity
(Food, Industrial and Horticultural
Crops)",-,326.00,-,296.36,-,91,75,0
,"Agricultural Value Addition and Agro
Processing",-,10.00,-,2.38,,24,75,0
,Food Safety,0.50,-,-,-,-,-,75,0
,"Agribusiness, Marketing and Informa-
tion Management",-,6.00,-,-,,-,75,0
,"National Agricultural Value Chain
Development Programme (NAVC-
DP)/NARIGP",-,151.52,-,15.31,-,10,75,0
,Co-Funding NAVCDP&NARIGP,-,5.00,-,5.00,,100,75,0
,Ward-Based Projects,-,82.18,-,8.76,,11,75,0
"Programme 3: Irrigation and
Drainage Development and
Management",,0.25,12.50,-,-,-,-,75,0
,Household Irrigation Technologies,0.25,-,-,-,-,,75,0
,"Agricultural Water Storage and
Management",-,12.50,-,-,,-,75,0
"Programme 4: Livestock De-
velopment and Management",,7.50,57.14,1.27,15.55,17,27,75,0
,"Livestock and Veterinary Extension
and Training Services",3.00,-,1.27,-,42,,75,0
,Food Safety and Quality Control,4.50,4.34,-,-,-,-,75,0
,Pending Bill,-,6.35,-,-,,-,75,0
,Disease and Vector Control,-,5.00,-,-,,-,75,0
,Animal Breeding,-,3.50,-,-,,-,75,0
,"Kenya Livestock Commercialisation
Project (KeLCoP)",-,37.95,-,15.55,,41,75,0
"Programme 5: Fisheries De-
velopment and Management",,0.35,4.70,-,-,-,-,75,0
,"Fisheries Extension and Training
Services",0.35,-,-,-,-,-,75,0
,Fisheries Production and Productivity,-,4.70,-,-,,-,75,0
"Programme 6: Agricultural
Institutions Development
and Management",,-,14.91,-,-,,-,75,0
,"Development and Management
of Mabanga Agricultural Training
Centre (ATC)",-,3.62,-,-,,-,75,0
,"Development and Management of
Mabanga Agricultural Mechanisation
Centre (AMC)",-,3.29,-,-,,-,75,0
,"Development and Management of
Chwele Fish Farm (CFF)",-,8.00,-,-,,-,75,0
"Programme 7: Cooperatives
Development and Manage-
ment",,4.50,7.83,4.21,1.60,93,20,75,0
,"Cooperative Governance, Advisory
and Training Services",4.50,-,4.21,-,93,,75,0
,Pending Bills,-,3.83,-,1.60,,42,75,0
,"Cooperative Infrastructural/Financial
Support Services",-,4.00,-,-,,-,75,0
Sub Total,,383.58,677.77,263.56,349.46,69,52,75,0
Public Administration,,,,,,,,75,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,570.28,-,445.96,-,78,-,75,0
,S.P. 1: Administration Services,70.03,-,36.06,-,51,-,75,0
,"S.P. 2: Human Resource Management
and Development",223.07,-,223.07,-,100,-,75,0
,SP 3: Security and Cleaning Services,67.18,-,36.83,-,55,-,75,0
,S.P. 4: Medical Insurance,200.00,-,150.00,-,75,-,75,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",76,0
,"S.P. 5: Information Communication
Technology",10.00,-,-,-,-,-,76,0
"Programme 2: Stakeholder
Engagement, Civic Educa-
tion and Outreach Services",,18.00,-,4.24,-,24,-,76,0
,S.P. 1: Civic Education,7.00,-,-,-,-,-,76,0
,S.P. 2: Public Participation,1.00,-,-,-,-,-,76,0
,"S.P. 3: Commemoration of National
Events",10.00,-,4.24,-,42,-,76,0
"Programme 3: Service
Delivery and Organisational
Transformation",,37.50,14.19,-,3.58,-,25,76,0
,"Sp3.1 Service Delivery and Organisa-
tional Transformation",-,14.19,-,3.58,,25,76,0
,"Sp3.2 Kenya Devolution Support
Programme",37.50,-,-,-,-,-,76,0
Sub Total,,625.78,14.19,450.20,3.58,72,25,76,0
County Secretary and Head of Public Service,,,,,,,,76,0
"General Administration, Plan-
ning and Support Services",S.P. 1: Administration Services,52.83,-,15.55,-,29,-,76,0
"Pending Bills for Legal Dues/
Fees, Arbitration and Com-
pensation Payments",legal Dues,20.87,-,6.63,-,32,-,76,0
Sub Total,,73.70,-,22.18,-,30,-,76,0
Governor’s and Deputy Governor’s,,,,,,,,76,0
"Programme 1: General Ad-
ministration, Planning and
Support Services",,661.80,-,411.59,-,62,-,76,0
,Sp1.1:Employee Compensation,531.45,-,306.92,-,58,-,76,0
,S.P. 2: Administrative Costs,130.35,-,104.67,-,80,-,76,0
"Programme 2: Governance
and public relations",,100.50,-,-,-,-,-,76,0
,S.P. 1: County Strategic Management,32.86,-,-,-,-,-,76,0
,S.P. 2: Leadership and Governance,26.60,-,-,-,-,-,76,0
,S.P. 6: Special Programme,41.05,-,-,-,-,-,76,0
Sub Total,,762.30,-,411.59,-,54,-,76,0
Health and Sanitation,,,,,,,,76,0
"PROGRAMME 1: General
Administration Planning
and Support Services",,"3,024.94",146.32,"2,198.11",40.87,73,28,76,0
,"S.P. 1. 1 Health Administrative and
Support Services",145.37,-,74.73,-,51,-,76,0
,S.P. 1. 2. Leadership and Governance.,7.74,-,-,-,-,-,76,0
,"S.P. 1. 6 Human Resource Manage-
ment","2,871.84",-,"2,123.39",-,74,-,76,0
,S.P. 1. 7 Infrastructural Development,-,146.32,-,40.87,,28,76,0
"Programme 2: Preventive
and Promotive",,"1,260.78",10.43,29.03,-,2,-,76,0
,"SP 2.1 Communicable and Non-com-
municable Disease Control",20.00,-,-,-,-,-,76,0
,SP 2.2 Community Health Strategy,5.60,-,-,-,-,-,76,0
,SP 2.3 Health Promotion,3.00,-,-,-,-,-,76,0
,"SP 2.6 Reproductive, Maternal, New-
born, Child, And Adolescent Health.",5.00,-,-,-,-,-,76,0
,SP 2.7 Public Health and Sanitation,8.00,10.43,2.03,-,25,-,76,0
,Specialised Materials and Supplies,49.94,-,27.00,-,54,-,76,0
,Hospital Facilities,"1,169.25",-,-,-,-,-,76,0
Sub Total,,"4,285.72",156.75,"2,227.15",40.87,52,26,76,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",77,0
Roads and Public Works,,,,,,,,77,0
"Programme 1: General Ad-
ministration, Planning, and
Support Services",,129.14,-,81.62,-,63,-,77,0
,SP1.1: Human Resource Management,88.27,-,64.83,-,73,-,77,0
,SP1.3: Administration Services,29.11,-,16.80,-,58,-,77,0
,"SP1.4: Financial Services, Planning
and Stewardship",11.76,-,-,-,-,-,77,0
"Programme 2: Transport
Infrastructure Development
and Management",,-,"1,226.75",-,315.86,,26,77,0
,"SP2.1: Construction of Roads, Bridg-
es, and Drainage Works",-,"1,003.70",-,287.12,,29,77,0
,"SP2.3: Rehabilitation of Roads, Bridg-
es and Drainage Works RMLF",-,184.55,-,-,,-,77,0
,Pending Bill,-,38.49,-,28.74,,75,77,0
Sub Total,,129.14,"1,226.75",81.62,315.86,63,26,77,0
"Environment, Tourism and Climate Change",,,,,,,,77,0
"Programme 1: General Ad-
ministration Planning and
Support Services",,45.17,-,33.03,-,73,-,77,0
,S.P. Human Resources Management,39.86,-,32.08,-,80,-,77,0
,Sp. Planning and Support Services,5.30,-,0.95,-,18,-,77,0
"Programme 2: Protection
and Conservation of the
Environment",,-,339.10,-,207.18,,61,77,0
