Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30 June
2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,528,1
Office of the Governor,,,,,,,,528,1
"General admin-
istration, plan-
ning and support
services","Service Delivery
Coordination","72,100,000",-,"47,441,488",-,66,-,528,1
,"Governor’s press
services and admin-
istrative support","7,260,000",-,"2,799,760",-,39,-,528,1
,"Liaison and
Intergovernmental
Relations","16,740,000",-,"4,484,000",-,27,-,528,1
,"Special Programs
and Diaspora Affairs","18,500,000",-,"515,298",-,3,-,528,1
,"Public Participation
and Civic Education","5,400,000",-,"300,000",-,6,-,528,1
Sub Total,,"120,000,000",-,"55,540,546",-,46,-,528,1
"Office of the County Secretary & Head
of Public Service",,,,,,,-,528,1
"County Secre-
tary","County Adminis-
tration","47,450,000",-,"10,003,707",-,21,-,528,1
,Cabinet Affairs,"2,500,000",-,"1,962,736",-,79,-,528,1
,"Communication and
Public Relations","5,350,000",-,"2,151,109",-,40,-,528,1
,"County Records
Management","5,630,139",-,"1,591,445",-,28,-,528,1
Sub Total,,"60,930,139",-,"15,708,997",-,26,-,528,1
Office of the County Attorney,,,,,,,-,528,1
"County Attorney
Services","legal and public
affairs","26,850,000",-,"12,561,267",-,47,-,528,1
Sub Total,,"26,850,000",-,"12,561,267",-,47,-,528,1
Public Service & Devolution (Admin),,,,,,,-,528,1
"Human
Resource
Management","Payroll (Including
Compensation to
employees)","2,300,460,000",-,"1,479,160,879",-,64,-,528,1
,"Human Resource
Management
(Including employee
gratuity, pension
and medical insur-
ance)","268,610,000",-,"135,275,303",-,50,-,528,1
,,Rec,Dev,Rec,Dev,Rec,Dev,529,0
"Public
administration","Public Adminis-
tration","43,789,921",-,"5,057,600",,12,-,529,0
,"Sub-county and
ward administration","20,350,000",-,"14,574,103",-,72,-,529,0
,"Enforcement and
Compliance","16,120,000","2,000,000","4,735,027",-,29,-,529,0
Sub Total,,"2,649,329,921","2,000,000","1,638,802,912",-,62,-,529,0
County Public Service Board,,,,,,,-,529,0
"County Public
Service Board","County Public
Service Board","25,925,600",-,"17,988,982",-,69,-,529,0
Sub Total,,"25,925,600",-,"17,988,982",-,69,-,529,0
"Finance, Economic Planning & ICT",,,,,,,-,529,0
"Public Finance
Management",County Funds,"314,900,000","10,000,000","217,450,000",-,69,-,529,0
,Treasury services,"68,960,100",-,"66,117,342",-,96,-,529,0
,Financial reporting,"8,935,000",-,"8,525,760",-,95,-,529,0
,"Revenue Collection
and Administration
(Including automa-
tion)","30,090,135",-,"21,296,997",-,71,-,529,0
,"Revenue Enhance-
ment and Moni-
toring","27,400,000",-,"26,841,801",-,98,-,529,0
,"Supply Chain Man-
agement","10,984,500",-,"5,556,493",-,51,-,529,0
,"Internal Audit and
Risk Management","8,050,000",-,"6,574,921",-,82,-,529,0
,"Internal Audit
Committee","3,800,000",-,"2,531,123",-,67,-,529,0
"Economic
planning and
development","Economic Devel-
opment Planning,
including KDSP","16,350,000","100,000,000","11,461,407","95,705,457",70,96,529,0
,"County Statistics
and Data Bank","4,850,000",-,"3,098,800",-,64,-,529,0
,"Monitoring and
Evaluation","14,000,000",-,"6,647,805",-,47,-,529,0
,"Economic Model-
ling and Research","2,500,000",-,"1,900,000",-,76,-,529,0
,County Budgeting,"18,570,000",-,"13,957,214",-,75,-,529,0
,"Resource Mobil-
isation and Debt
Management","3,000,000",-,"2,352,205",-,78,-,529,0
"ICT and
E-government
Services","ICT and
E-government
Services","11,900,000","8,700,000","9,836,900","3,198,700",83,37,529,0
Sub Total,,"544,289,735","118,700,000","404,148,768","98,904,157",74,83,529,0
Health Services,,,,,,,-,529,0
"Preventive
and Promotive
Services","Preventive and Pro-
motive Services","90,420,000",-,"33,481,956",-,37,-,529,0
"Curative Ser-
vices",Curative Services,"84,650,000",-,"60,624,107",-,72,-,529,0
,"Health Improve-
ment Financing
(FIF)","250,000,000",-,,-,-,-,529,0
,"universal health care
and grants","34,397,500",-,"16,155,030",-,47,-,529,0
,,Rec,Dev,Rec,Dev,Rec,Dev,530,0
"General admin-
istration, plan-
ning and support
services","Solid Waste and
Cemeteries","25,100,000",-,"5,722,333",-,23,-,530,0
,"Infrastructure and
Equipment","217,000","239,501,090",,"130,417,595",-,54,530,0
Sub total,,"484,784,500","239,501,090","115,983,426","130,417,595",24,54,530,0
"Education, Children, Gender Affairs, Culture & Social Services",,,,,,,,530,0
"Primary edu-
cation",ECDE,"27,394,999","42,670,943","6,907,273","6,101,898",25,14,530,0
"Youth training
and develop-
ment","Revitalisation of
youth polytechnics","63,304,187","14,146,429","5,982,974","2,200,000",9,16,530,0
"Culture and
library services","development and
promotion of
culture","5,725,000","4,300,000","4,839,107",,85,-,530,0
,Library Services,"2,915,000","4,500,000","2,240,917",,77,-,530,0
"Children, Gen-
der and Social
Services",Social Services,"54,030,000",-,"13,213,850",,24,-,530,0
,"Children and Gen-
der Affairs","10,295,000",-,"2,643,400",,26,-,530,0
"General admin-
istration, plan-
ning and support
services","Alcohol Drinks
Control and Civic
Education","6,000,000",-,"5,440,201",,91,-,530,0
Sub Total,,"169,664,186","65,617,372","41,267,722","8,301,898",24,13,530,0
"Tourism, Cooperative Development, Trade & Industrialisation",,,,,,,,530,0
"Trade devel-
opment and
promotion","Financial and Trade
Services","7,700,000","11,400,000","5,533,619",,72,-,530,0
,"Nyandarua County
Trade Development
and Investment Au-
thority (NCTDIA)","5,800,000",-,"3,284,484",,57,-,530,0
"Industrial de-
velopment and
investment","Industrial and
Enterprise Devel-
opment","5,600,000","403,000,000","4,319,196","25,000,000",77,6,530,0
,Weights & Measures,"4,295,000",-,"3,380,100",,79,-,530,0
"Cooperative de-
velopment and
management","Cooperative Audit
Extension Services","2,370,053",-,"1,306,837",,55,-,530,0
,"Cooperative Devel-
opment","10,320,000",-,"5,151,542",,50,-,530,0
"Tourism de-
velopment and
promotion","Tourism infrastruc-
ture development","19,399,747","11,800,000","11,031,689",,57,-,530,0
Sub Total,,"55,484,800","426,200,000","34,007,467","25,000,000",61,6,530,0
"Youth, Sports & Arts",,,,,,,-,530,0
Sports,Sports Development,"31,855,000","13,603,933","17,004,486","4,403,933",53,32,530,0
Youth Affairs,Youth Affairs,"15,976,824",-,"3,777,563",-,24,-,530,0
Arts & Theater,Arts & Theater,"7,800,000","1,500,000","3,502,097",-,45,-,530,0
Sub Total,,"55,631,824","15,103,933","24,284,146","4,403,933",44,29,530,0
"Water, Environment, Climate Change & Natural Resources",,,,,,,,530,0
"Water Resource
Development.","water resource
conservation and
protection, infra-
structure and flood
control","19,848,400","146,443,985","17,277,036","20,520,123",87,14,530,0
,,Rec,Dev,Rec,Dev,Rec,Dev,531,0
Environment,"Environmental
support and man-
agement","4,880,000","700,000","3,538,162","651,950",73,93,531,0
,"Climate change
resilience","5,240,000","227,685,079","2,575,695","69,000,000",49,30,531,0
,natural resource,"4,870,000",-,"951,510",,20,-,531,0
"Irrigation and
Drainage Infra-
structure","promotion of
irrigation, drainage
development, and
management","500,000","4,000,000","238,000",,48,-,531,0
Sub Total,,"35,338,400","378,829,064","24,580,403","90,172,073",70,24,531,0
"Transport, Energy & Public Works",,,,,,,-,531,0
Road transport,"Transport (Includ-
ing fuel level, Gener-
al Administration &
Support Services)","28,410,000","735,411,598","15,379,285","194,239,051",54,26,531,0
,Public Works,"6,390,000","200,300,000","3,575,928","33,033,142",56,16,531,0
"Alternative ener-
gy technologies","alternative energy
technologies","29,950,000","23,240,000","28,995,894","2,088,820",97,9,531,0
"General admin-
istration, plan-
ning and support
services","Emergency Re-
sponse & Prepared-
ness","4,000,000",-,"1,456,100",,36,-,531,0
Housing,Housing,"3,025,000","2,999,213","1,942,280",,64,-,531,0
Sub Total,,"71,775,000","961,950,811","51,349,487","229,361,013",72,24,531,0
"Lands, Physical Planning & Urban Development",,,,,,,,531,0
"Land policy and
planning",Physical Planning,"7,980,000",-,"3,500,717",,44,-,531,0
,Survey and Mapping,"13,375,000",-,"6,558,548",,49,-,531,0
,"Land Administra-
tion and Manage-
ment","10,150,000","85,170,741","7,233,746","30,179,686",71,35,531,0
"Urban develop-
ment",Urban development,"2,425,834","244,462,533","454,532",,19,-,531,0
Sub Total,,"33,930,834","329,633,274","17,747,543","30,179,686",52,9,531,0
Municipalities,,,,,-,,-,531,0
Municipalities,"Ol’kalou munici-
pality","31,350,000","9,368,200","7,455,700",-,24,-,531,0
,"Engineer Munici-
pality","20,748,000","6,000,000","4,193,160","2,833,383",20,47,531,0
,"Mairo-Inya Munic-
ipality","19,038,000","6,800,000","11,601,440",-,61,-,531,0
Sub Total,,"71,136,000","22,168,200","23,250,300","2,833,383",33,13,531,0
"Agriculture, Livestock & Fisheries",,,,,,,,531,0
"Crop devel-
opment and
management","land and crop devel-
opment","48,390,000","283,144,039","26,696,050","10,000,000",55,4,531,0
"Livestock
resources man-
agement and
development","livestock production
and management","23,175,000","137,210,000","3,515,890",-,15,-,531,0
,Veterinary Services,"20,599,599","800,000","15,198,835",-,74,-,531,0
"Fisheries De-
velopment and
Management","fisheries policy,
strategy and capaci-
ty building","2,285,000","1,500,000","1,198,350",-,52,-,531,0
