Programme,Sub-Programme,"Revised Gross Approved Esti-
mates",col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,136,0
"Department of Agriculture, Livestock & Pastoral",,,,-,,,,136,0
"Programme 1: CP1:
Administration
Agriculture","CSP 1.1 Agriculture Admin-
istration & Support Services","91,576,039","233,076,923","38,528,860","13,351,028",42,6,136,0
,"CSP 1.2 Crop production
and value chains","1,200,000",,,,-,,136,0
,"CSP 1.3 Agricultural Mecha-
nisation Services",,"37,200,000",,,,-,136,0
,Sub-Total,"92,776,039","270,276,923","38,528,860","13,351,028",42,5,136,0
"CP2: Livestock Pas-
toral Economy","Sub- CSP 2.1 Livestock
Administration and Support
Service","47,180,760","177,500,000","35,400,000",,75,-,136,0
,"CSP 2.2 Livestock Produc-
tion","2,550,000",,"1,400,000",,55,,136,0
,"CSP 2.3 Livestock Value
Chains Development","500,000",,,,-,,136,0
,CSP 2.4 Veterinary Service,"3,350,000","30,000,000",,"7,447,932",-,25,136,0
,Sub-Total,"53,580,760","207,500,000","36,800,000","7,447,932",69,4,136,0
"CP3: Fish Produc-
tion",CSP 3.1 Fisheries services,"200,000",,-,,-,,136,0
CP 4: Cooperatives,"CSP 4.1 Cooperative Devel-
opment","600,000",,,,-,,136,0
,Total,"147,156,799","477,776,923","75,328,860","20,798,960",51,4,136,0
"Department Culture, Gender, Youth & Sports",,,,,,,,136,0
"CP1. Administration
and support services","CSP 1.1 Administration and
Support Services","69,700,781","107,000,000","38,000,000","33,525,000",55,31,136,0
"CP2. Gender and
social services","CSP 2.1 Social Protection,","1,025,000","76,000,000",,"4,475,000",0,6,136,0
,Total,"70,725,781","183,000,000","38,000,000","38,000,000",54,21,136,0
"Department of Roads, Transport and Public Works",,,,,,,,136,0
"CP1: Administration
and support services","CSP 1.1 Administration and
Services","81,653,420","65,000,000","40,458,116","49,404,989",50,76,136,0
"CP2.0 Road and
transport",CSP2.1 Roads Development,"1,667,200",341510083,,"151,417,947",-,44,136,0
,CSP 2.2 Transport,"1,500,000",,,,-,,136,0
,Sub-Total,"3,167,200","341,510,083",-,"151,417,947",,44,136,0
"CP3 Public works
&housing",CSP3.1 Public Works,,"44,000,000",,"11,500,000",,26,136,0
,Total,"84,820,620","406,510,083","40,458,116","200,822,936",48,49,136,0
"Department of Education, Information and ICT",,,,,,,,136,0
"CP1: General
Administration and
support services","CSP1.1 Administration and
Support Services","348,193,769",,"266,037,800",,76,,136,0
"CP2. Education
Development","CSP 2.1 Early Childhood
Education","24,234,909",157100000,"15,000,000.00","2,047,650",62,1,136,0
,CSP 2.2 Vocational Training,"3,001,200",,,,-,,136,0
,Sub-Total,"27,236,109","157,100,000","15,000,000","2,047,650",55,1,136,0
"CP3. ICT, Informa-
tion and Libraries","CSP3.1 ICT, Information
and Libraries","10,082,733",,"1,500,000",,15,,136,0
,Sub-Total,"385,512,611","157,100,000","282,537,800","2,047,650",73,1,136,0
,,Rec,Dev,Rec,Dev,Rec,Dev,137,0
"Department of Lands, Physical Planning and Urban Development",,,,,,,,137,0
"CP 1: General
Administration and
Support Services","CSP 1.1 Urban Administra-
tion & Support Services","262,967,569",,"209,341,115",,80,,137,0
,CSP 1.2 Municipalities,"83,000,000","50,000,000","40,000,000",,48,-,137,0
,Sub-Total,"345,967,569","50,000,000","249,341,115",-,72,,137,0
"CP 2: Lands & physi-
cal planning",CSP 2.1 Lands Services,"7,000,000",,,,0,,137,0
,CSP 2.2 Physical Planning,"7,450,000",,"1,000,000",,13,,137,0
,Sub-Total,"14,450,000",,"1,000,000",-,7,,137,0
"CP 3: Urban Devel-
opment","CSP 3.1 Urban development
and Infrastructure","1,500,000",,,,0,,137,0
,"CSP 3.2 Urban Disaster and
Risk Management","6,114,626","60,000,000",,,0,-,137,0
,"CSP 3.3 Urban Sanitation
Services","900,000",,,,0,,137,0
,Sub-Total,"8,514,626","60,000,000",-,-,0,0,137,0
,Total,"368,932,195","110,000,000","250,341,115",-,68,,137,0
Department of Finance & Economic Planning,,,,,,,,137,0
"P1: Governance,
Administration and
Support Services","CSP1.1 Administration
and Support Services","902,682,278","150,000,000","625,776,938","49,482,490",69,33,137,0
"P2: Disaster Risk
Management (Spe-
cial program)",CSP 2.1 special program,"304,910,000",,"140,000,000",,46,,137,0
"P3: Public Finance
Management","CSP 3.1 Accounting and
Financial Reporting","3,713,739",,,,-,,137,0
,CSP 3.2 Budgetary services,"8,890,719",,"1,100,000",,12,,137,0
,CSP 3.3 Audit Services,"5,362,600",,,,-,,137,0
,"CSP 3.4 Revenue Manage-
ment","9,305,000",,,,-,,137,0
,CSP 3.5 Supply Chain Mgt,"7,630,000",,,,-,,137,0
,Sub-Total,"34,902,058",,"1,100,000",,3,,137,0
"P4: Economic Plan-
ning Services",CSP 4.1 planning and M&E,"11,730,000",,,,-,,137,0
,"CSP4.2 Statistics and
Research","4,500,000",,,,-,,137,0
,Sub-Total,"16,230,000",,-,-,,,137,0
,Total,"1,258,724,336","150,000,000","766,876,938","49,482,490",61,33,137,0
Department of Health & Sanitation,,,,,,,,137,0
"P1: Governance,
Quality assurance
and support services","CSP 1.1 Administration
and Support Services","2,686,220,847","80,500,000","1,446,730,369","68,650,748",54,85,137,0
,"CSP 1.2 Health informa-
tion systems","5,000,000",,,,-,#DIV/0!,137,0
,"CSPS 1.3 policy Research
and planning","5,000,000",,,,-,#DIV/0!,137,0
,Sub-Total,"2,696,220,847","80,500,000","1,446,730,369","68,650,748",54,85,137,0
"P2: Curative
Services, Rehabili-
tative and Referral
Services","CSP 2.1 Health products
and technologies","208,500,000","190,000,000","69,833,145","160,000,000",33,84,137,0
,"CSP 2.2 Rehabilitative
services","10,000,000",,,,-,,137,0
,"CSP 2.3 Referral and Emer-
gency Services",,"150,000,000",,"24,242,087",,16,137,0
,Sub-Total,"218,500,000","340,000,000","69,833,145","184,242,087",32,54,137,0
,,Rec,Dev,Rec,Dev,Rec,Dev,138,0
"P3: Preventive and
promotive and RM-
NCH services","Maternal, newborn, child
health and nutrition
services","10,000,000",,,,-,,138,0
,"Preventive And Promotive
Health Services","11,000,000",,,,-,,138,0
,Sub-Total,"21,000,000",-,-,-,,,138,0
,Total,"2,935,720,847","420,500,000","1,516,563,514","252,892,835",52,60,138,0
"Department of Trade, Investment and Enterprise Development",,,,,,,,138,0
"CP1: Administra-
tion and Support
Services","CSP1.1 Administration and
Support Services","90,354,667","350,000,000","35,323,350","211,917,503",39,61,138,0
"CP 2: Trade and
Enterprise Devel-
opment","CSP 2.1 micro and small
enterprises development","1,400,000","20,000,000",,,-,-,138,0
,"CSP 2.2 Trade infrastruc-
ture and services","750,000",,,,-,,138,0
,Sub-Total,"2,150,000","20,000,000",-,-,,,138,0
"CP3. Industrialisa-
tion and investment
Programme","CSP 3.1 Industrialisation
and investment Programme","1,400,000","100,000,000",,,-,-,138,0
CP 4: Tourism,"CSP 4.1 Tourism Develop-
ment","1,402,259",,,,-,,138,0
,Total,"95,306,926","470,000,000","35,323,350","211,917,503",37,45,138,0
"Department of Water, Environment and Natural Resources",,,,,,,,138,0
"CP1: Water Ad-
ministration and
support services
- ENC","CSP1.1 Administration
and Support Services","128,307,166","310,000,000","105,700,000","137,628,677",82,44,138,0
"CP4 Environment
maanagent and
Natural resources","CSP 4.2 Climate Change
and Adaptation","12,350,000","377,000,000","10,000,000","137,117,510",81,36,138,0
,"CSP4.1 Environment and
Natural Resource Manage-
ment","37,598,025","36,000,000","25,000,000",,66,-,138,0
,Sub-Total,"49,948,025","413,000,000","35,000,000","137,117,510",70,33,138,0
"CP3: Water Infra-
structure Develop-
ment","CSP 3.1 Water Infrastruc-
ture",,"749,100,000",,"558,876,837",,75,138,0
"CP2: Irrigation
Services","CSP 2.1 Irrigation Devel-
opment","5,000,000",,"1,000,000",,20,,138,0
,Sub-Total,"183,255,191","1,472,100,000","141,700,000","833,623,024",77,57,138,0
"Department of County Affairs, Public Service and Intergovernmental
Relations",,,,,,,,138,0
"CP1.Executive
Services","CSP 1.1 Governor Oper-
ations","60,400,000","12,000,000","24,500,000","12,000,000",41,100,138,0
,"CSP 1.2 Deputy Governor
Operations","240,012,589",,"176,000,000",,73,,138,0
,CSP 1.3County Secretary,"49,656,215",,"30,000,000",,60,,138,0
,"CSP 1.4 Operations &
Sub-County Administra-
tion","50,410,000",,"18,000,000.00",,36,,138,0
,"CSP 1.5 Intergovernmental
&public participation","56,812,430",,"38,000,000",,67,,138,0
,CSP 1.6 County Attorney,"28,500,000",,"19,500,000",,68,,138,0
,"CSP1.7 Human Resource
Management","86,491,478",,"79,000,000",,91,,138,0
,"CSP 1.8 Donor coordina-
tion","17,280,548",,"12,000,000",,69,,138,0
,Total,"589,563,260","12,000,000","397,000,000","12,000,000",67,100,138,0
