Programme,Sub-Programme,"Approved Estimates 2024-25
(Kshs.)",col_3,"Actual Expenditure as of 31
March 2025 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"COUNTY HEALTH
SERVICES","SP 1: General Administrative
Services","33,329,999",-,"18,266,845",-,55,-,49,0
"P 2: PREVENTIVE
AND PROMOTIVE
HEALTH SERVICES",SP 1: Primary Health Care Services,"177,388,595","125,291,232","12,313,133","22,847,526",7,18.2%,49,0
"P 2: CURATIVE AND
REHABILITATIVE
SERVICES","SP 1: Curative and Rehabilitative
Services","358,708,459",-,"210,810,039",-,59,-,49,0
,,-,-,-,-,-,-,49,0
,Infrastructural development,,"134,000,000",,,,,49,0
"Lands and Physical
Planning","SP 1: General Administrative
Services","25,132,632",-,"5,626,666",-,22,-,49,0
"Housing and Urban
Development","SP 2: General Administrative
Services","5,160,000",-,"1,541,800",-,30,-,49,0
,,Rec,Dev,Rec,Dev,Rec,Dev,50,0
"Land use planning and
Information manage-
ment",Land Policy and Planning Services,-,"17,650,000",-,-,-,-,50,0
"Land use planning and
Information manage-
ment",Land Survey Services,-,"6,200,000",-,-,-,-,50,0
"Eldamaravine Town-
Urban Development","SP 1: General Administration
Planning and Support Services","4,544,000","15,169,093","2,671,343",-,59,-,50,0
"Kabarnet Municipality
Services",Infrastructure development,-,-,-,-,-,-,50,0
"Housing Development
and Management","SP 1: General Administrative
Services","5,160,000",-,"2,056,300",-,40,-,50,0
"Land use planning and
Information manage-
ment",Land Adjudication Services,-,-,-,-,-,-,50,0
"Land use planning and
Information manage-
ment","Land adjudication and demar-
cation",-,"15,500,000",-,"960,000",-,-,50,0
"Land use planning and
Information manage-
ment","Cabro parking Kabarnet Hospital
Road for Waenta Enterprises
Limited",-,"1,724,000",-,"4,991,973",-,-,50,0
"General Administration,
Planning and Support
Services","General Administration Planning
and Support Services",-,-,-,-,-,-,50,0
"Kabarnet Municipality
Services",Sanitation & waste management,-,-,-,-,-,-,50,0
,"Urban Safety and Disaster Con-
trol Services",-,-,-,-,-,-,50,0
,Infrastructure development,-,-,-,-,-,-,50,0
,"Urban Infrastructure development
and management",-,-,-,-,-,-,50,0
"Eldama Ravine Town
Services",Sanitation and waste management,-,"2,500,000",-,-,-,-,50,0
"Eldama Ravine Town
Services",Infrastructure development,-,"5,000,000",-,-,-,-,50,0
Agricultural Services,"SP !: General administration and
Planning","37,779,781",-,"18,757,371",-,-,-,50,0
"Livestock resources
management and devel-
opment",Livestock upgrading,-,"61,649,800",-,-,-,-,50,0
"Milk Processing
Plant-Eldama Ravine","Completion of Milk Processing
Plant",-,-,-,-,-,-,50,0
"Kabartonjo Milk Cool-
ing Plant","Construction of Ossen Milk
Cooling Plant",-,-,-,-,-,-,50,0
Livestock Saleyards,"Maintenance of Livestock Sale
Yards- Emining, Loruk and Loitip",-,-,-,-,-,-,50,0
"Slaughter houses Main-
tenance","Maintenance of slaughter houses
and slabs",-,-,-,-,-,-,50,0
"Livestock resources
management and devel-
opment","Livestock market and value
addition",-,"4,500,000",-,-,-,-,50,0
"Livestock Resources
management and devel-
opment","Livestock disease management
and control",-,"25,100,000",-,-,-,-,50,0
"Barwessa Slaughter
House",Apiculture development,-,"3,998,125",-,-,-,-,50,0
"Livestock Resources
management and devel-
opment",Pasture Development,-,"4,533,730",-,-,-,-,50,0
"Crop production and
management","Agriculture Training Centre
Koibatek",-,"36,000,000",-,-,-,-,50,0
,,Rec,Dev,Rec,Dev,Rec,Dev,51,0
"Crop production and
management",Food security initiatives,-,"326,120,842.08",-,"91,690,553",-,28.,51,0
"Crop Production &
Management",Affruitation,-,"19,250,000",-,-,-,-,51,0
"Support for ATC
Services",Support for ATC Services,-,-,-,-,-,-,51,0
Agricultural Machinery,Purchase of Tractor,-,-,-,-,-,-,51,0
"Conditional Grants for
the provision of Fertilis-
er Subsidy Programme","Conditional Grants for the
provision of Fertiliser Subsidy
Programme",-,-,-,-,-,-,51,0
"IDA World Bank
(KCSAP)",IDA World Bank (KCSAP),-,"132,111,505.92",-,-,,-,51,0
"Matching fund to IDA
World Bank (KCSAP)","Matching fund to IDA World Bank
(KCSAP)",-,-,-,-,-,-,51,0
"SWEDEN: Agricultural
Sector Development
Support Programme
(ASDSP) II","SWEDEN: Agricultural Sector
Development Support Programme
(ASDSP) II",-,"61,841,793",-,-,-,-,51,0
"World Bank Emergency
Locusts Project","World Bank Emergency Locusts
Project",,,,,,,51,0
"Certified pasture and
maise","Provision of pastures and maise
seeds",-,-,-,-,-,-,51,0
"Purchase of Mangoes,
Macadamia and Coffee
Seedlings","Purchase of Mangoes, Maca-
damia and Coffee Seedlings for
Mochongoi",-,-,-,-,-,-,51,0
"Cattle Dips and Animal
Vaccinations",Renovations of Cattle Dips,-,-,-,-,-,-,51,0
Cooperative stores,"Construction of Cooperative
stores",-,-,-,-,-,-,51,0
Motor Boats,Purchase of Motor Boats,-,-,-,-,-,-,51,0
"Fisheries development
and management","Fish breeding cages at Lake Barin-
go and Kirandich dam",-,-,-,-,-,-,51,0
"Culture, Youth and
Gender","P1: General Administration,
Planning and Support Services","20,941,000",-,"11,759,926",-,-,-,51,0
"Social Services and
Safety Nets",Affirmative Action Initiatives,-,"44,525,739",-,-,-,-,51,0
"Social Services and
Safety Nets",Infrastructure Development,-,-,-,-,-,-,51,0
"Cultural and Creative
Arts Development","Culture, Heritage and Social
Activities","4,000,000",-,"3,066,160",-,-,-,51,0
"Gender development
and management",Gender Development,"4,100,000",-,"16,128,134",-,-,-,51,0
"Youth, Sports and Gen-
der Development","SP 1: General Administrative
Services","7,310,000",-,"8,608,189",-,-,-,51,0
"Sports Development and
Management",Sports Development,"11,641,453","17,850,000","436,800",-,-,-,51,0
"Culture and Creative
Arts Development",Infrastructural development,-,"4,000,000",-,-,-,0.0,51,0
"Culture and Creative
Arts Development","Infrastructural development-social
Halls",-,-,-,-,-,-,51,0
"Gender development
and management","Gender Initiatives-Women Em-
powerment",-,"28,260,956",-,-,-,-,51,0
"Youth Development and
Management",Youth Development,"1,500,000","25,547,187",,"22,345,238.68",,,51,0
"Youth Development and
Management","Infrastructural development-Play-
ing Grounds",-,-,-,-,-,-,51,0
,,-,-,-,-,-,-,51,0
"Water and Irrigation
Department","SP 1: General Administrative
Services","29,875,512",-,"6,363,037",-,2.5,-,51,0
,,Rec,Dev,Rec,Dev,Rec,Dev,52,0
"Water resource devel-
opment and supplies
management","Water resource management and
storage","6,500,000","628,126,052","7,811,139",-,2.5,0.0,52,0
"Irrigation infrastructure
development",Irrigation Infrastructure,"300,000","29,112,511","893,360","155,669,034.50",-,535,52,0
"Environment, Tourism,
Wildlife Management,
Natural Resources and
Mining","SP 1: General Administrative
Services","8,604,819",-,"2,411,150",-,-,-,52,0
"Environmental Conser-
vation and Management","SP1: Environmental conservation
and protection","30,282,312","5,000,000","9,549,460",-,-,-,52,0
"Natural Resources Con-
servation, Exploitation
and Management","SP1: Forestry and wildlife conser-
vation, Mining and Management","700,000",-,"684,260",-,-,-,52,0
"Environmental conser-
vation and management",Solid Waste Management,-,-,-,-,-,-,52,0
"Environmental Conser-
vation and Management","County climate change fund
-Matching fund",-,"55,000,000",-,-,-,0.0,52,0
"Natural Resources Con-
servation, Exploitation
and Management","Forestry, wildlife conservation,
and Management",-,-,-,-,-,-,52,0
"Climate Change Fund
Projects","Water resource/ pasture develop-
ment and supplies management",-,"207,753,641","6,527,719","75,929,861",-,-,52,0
"P1: Kabarnet Municipal-
ity Services","SP 1: General Administration
Planning and Support Services","41,559,157",-,"2,763,056",-,6.6,-,52,0
,Infrastructure development,-,"7,500,000",-,-,-,-,52,0
,"Infrastructure development- IDA
World Bank",-,"18,190,995",-,-,-,-,52,0
"County Public Service
Board",Administration and Planning,"17,222,030",-,"4,624,203",-,27,-,52,0
,Grand Total,"5,958,498,520","3,231,513,473","3,590,172,462","591,196,510",60.,18,52,0
