Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 31
March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
"Community Cohesion
and Conflict Manage-
ment","Community Cohesion
and Conflict Manage-
ment","35,900,000",-,"22,595,600",-,63,0,374,0
,Sub-Total,"2,007,405,734",-,"1,252,592,847",-,62,0,374,0
Social Development,,,,,,0,0,374,0
"General Administra-
tion and Planning",Administration Planning,"47,454,960",-,"33,298,898",-,70,0,374,0
"Women’s Empower-
ment and Affirmative
Action","Women’s Empowerment
and Affirmative Action","6,200,000","8,000,000","1,950,000",-,31,0,374,0
"Youth Empowerment
and Sports","Youth Empowerment and
Sports","27,000,000","39,199,813","14,800,000","6,299,950",55,16,374,0
"Culture and Gender
Development Promo-
tion","Culture and Gender De-
velopment Promotion","6,450,000","10,000,000","3,300,000","10,000,000",51,100,374,0
"Disaster Preparedness
and Management","Disaster Preparedness
and Management","26,700,000","509,487,878","18,300,000","332,989,378",69,65,374,0
,Sub-Total,"113,804,960","566,687,691","71,648,898","349,289,328",63,62,374,0
"Water, Energy, Environment and Climate Change",,,,,,0,0,374,0
"General Administra-
tion and Planning",Administration Planning,"172,488,370",-,"110,180,551",-,64,0,374,0
"Water and Sewage
Management","Water and Sewage Man-
agement","150,220,000","1,275,182,562","118,137,880","876,304,871",79,69,374,0
"Energy and Natural
Resources","Energy and Natural
Resources","4,700,000","30,000,000","2,400,000","16,291,760",51,54,374,0
