Programme,"Sub Pro-
gramme",Description,"Budget
KShs","Actual
KShs","Programme Perfor-
mance (%)",page_number,table_index
102004610,,Crop Development and Management,"800,070,821","533,613,378",66.7,503,1
,102024610,Crop Productivity Improvement,"800,070,821","533,613,378",66.7,503,1
103004610,,"Livestock Resources management and
development","214,059,898","64,888,477",30.3,503,1
,103014610,"Livestock Pests & Disease Management
& Control","113,236,103","6,868,360",6.1,503,1
,103074610,Livestock Information Management,"100,823,795","58,020,117",57.5,503,1
104004610,,Fisheries development and management,"48,328,512","18,718,000",38.7,503,1
,104014610,Fish Products Production,"48,328,512","18,718,000",38.7,503,1
105004610,,Land Policy and Planning,"44,403,099","2,324,125",5.2,503,1
,105014610,Development Planning and Land Reforms,"44,403,099","2,324,125",5.2,503,1
106004610,,"Housing Development and Human
Settlement","196,692,757","51,873,720",26.4,503,1
,106014610,Housing Development,"196,692,757","51,873,720",26.4,503,1
107004610,,Urban Mobility and Transport,"293,680,395",0,0.0,503,1
,107014610,"Metropolitan Planning & Infrastructure
Development","293,680,395",,0.0,503,1
201004610,,"Roads, Transport and Public Works","1,614,361,428","1,228,608,790",76.1,503,1
,201014610,"General Administration, Planning and
Support Services","67,185,299","10,636,220",15.8,503,1
,201024610,Construction of Roads and Bridges,"1,479,389,344","1,213,112,839",82.0,503,1
,201034610,Maintenance of Roads,"67,786,785","4,859,731",7.2,503,1
202004610,,ICT Services,"441,325,223","42,000,000",9.5,503,1
,202014610,ICT Infrastructure Development,"441,325,223","42,000,000",9.5,503,1
301004610,,"General Administration and Support
Services","699,196,845","72,377,088",10.4,503,1
,301014610,Administrative Services,"9,435,168",0,0.0,504,0
,301024610,Cooperative Development & Management,"34,656,100","9,543,336",27.5,504,0
,301034610,Trade Development and Promotion,"655,105,577","62,833,752",9.6,504,0
303004610,,Tourism Development and Promotion,"450,913,688","229,942,960",51.0,504,0
,303014610,Tourism Promotion and Marketing,"450,913,688","229,942,960",51.0,504,0
306000000,,Tourism Development and Promotion,"100,249,999",0,0.0,504,0
,306039999,Tourism Infrastructure Development,"100,249,999",0,0.0,504,0
401004610,,Preventive &Promotive Health Services,"481,094,035","440,361,538",91.5,504,0
,401014610,Health Promotion,"481,094,035","440,361,538",91.5,504,0
402004610,,Curative Health Services,"488,124,894","355,235,895",72.8,504,0
,402014610,Referral Services,"488,124,894","355,235,895",72.8,504,0
403004610,,"General Administration, Planning &
Support Services","2,353,149,416","2,343,814,559",99.6,504,0
,403014610,"Health Policy, Planning and Financing","2,353,149,416","2,343,814,559",99.6,504,0
502004610,,"Manpower Development, Employment
and Productivity Management","1,730,459,500","1,443,558,985",83.4,504,0
,502014610,Early Child Development and Education,"1,730,459,500","1,443,558,985",83.4,504,0
701004610,,"General Administration, Planning and
Support Services","2,494,774,787","1,473,511,272",59.1,504,0
,701014610,Administrative Services,"772,161,124","363,626,731",47.1,504,0
,701044610,Coordination and Administrative Services,"762,391,556","337,509,986",44.3,504,0
,701054610,"Public service and Field Administrative
Services","857,878,831","690,271,602",80.5,504,0
,701084610,Board Management Services,"102,343,276","82,102,953",80.2,504,0
702004610,,Public Finance Management,"904,925,076","721,726,093",79.8,504,0
,702014610,Accounting services,"84,691,636","60,504,228",71.4,504,0
,702024610,Resource Mobilisation,"466,041,607","419,393,989",90.0,504,0
,702034610,"Budget Formulation, Coordination and
Management","51,518,543","20,170,790",39.2,504,0
,702044610,Supply Chain Management Services,"231,623,633","205,928,609",88.9,504,0
,702054610,Internal Audit Services,"71,049,657","15,728,477",22.1,504,0
703004610,,Economic Policy and County Planning,"871,784,883","553,173,407",63.5,504,0
,703014610,Economic Planning Coordination,"719,451,966","433,366,153",60.2,504,0
,703024610,Monitoring and Evaluation Services,"152,332,917","119,807,254",78.6,504,0
704004610,,Legislation and Representation,"150,000,000","91,831,562",61.2,504,0
,704024610,County Co-ordination Services,"150,000,000","91,831,562",61.2,504,0
901004610,,"Social Development and Children’s
Services","317,053,985","147,821,490",46.6,504,0
,901014610,Gender and Youth Development,"50,776,983","30,992,508",61.0,504,0
,901024610,Social Assistance to Vulnerable Groups,"21,212,256","3,696,500",17.4,504,0
,901034610,Development and Promotion of Culture,"36,332,668","7,855,100",21.6,504,0
,901044610,"Development and Management of Sports
Facilities","31,000,000",0,0.0,504,0
,901054610,Sports Services,"89,764,363","45,709,746",50.9,504,0
,901064610,Voluntary Training Services,"87,967,715","59,567,636",67.7,504,0
1002004610,,"Environment Management and Protec-
tion","987,888,840","674,831,527",68.3,504,0
,1002014610,Forests Conservation and Management,"987,888,840","674,831,527",68.3,504,0
,,Grand Total,"15,682,538,081","10,490,212,866",66.9,504,0
