Programme,Sub-Programme,"Revised Gross Approved
Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Sub Total,"438,966,219","24,200,000","251,871,750",0,57,0,515,0
Department of Health,,,,,,,,515,0
"Policy Planning and
Support Services","Administration support
services","522,776,355",0,"509,245,973",0,97,0,515,0
Medical support services,Medical support services,"158,650,000","447,500,000","37,661,292",0,24,0,515,0
,"Facility infrastructural
services","6,000,000",0,0,0,0,0,515,0
,Sub Total,"687,426,355","447,500,000","546,907,265",0,80,0,515,0
"Department of Lands, Housing and Urban Development",,,,,,,,515,0
"General administration
and support services","General administration and
support services","75,345,805",0,"59,971,860",0,80,0,515,0
,Policy and planning,"400,000",0,"318,000",0,80,0,515,0
,"Physical Planning and survey-
ing services","4,000,000","7,000,000",0,0,0,0,515,0
,"Housing and urban develop-
ment",0,"329,205,536",0,0,0,0,515,0
,,Rec,Dev,Rec,Dev,Rec,Dev,516,0
,"Land management and ad-
ministration services","1,000,000","10,000,000",0,0,0,0,516,0
,Sub Total,"80,745,805","346,205,536","60,289,860",0,75,0,516,0
"Department of Water, Sanitation and Irrigation",,,,,,,,516,0
"General Administration
Planning and Support
Services","General administration and
support services","39,297,623",0,"13,939,373",0,34,0,516,0
,Major towns’ water services,"9,000,000","31,200,000","9,000,000",0,100,0,516,0
,Sub Total,"48,297,623","31,200,000","22,939,373",0,48,0,516,0
"Department of Roads, Transport and Public Works",,,,,,,,516,0
"General Administration
Planning and Support
Services","Administration and support
services","95,821,356",0,"63,382,647",0,66,0,516,0
"Road Development &
Management","Construction of roads and
bridges","20,800,000","472,026,602","2,533,150","328,098,681",12,70,516,0
,"Infrastructural development
and fire safety","2,000,000",,0,0,0,0,516,0
,Sub Total,"118,621,356","472,026,602","65,915,797","328,098,681",56,70,516,0
"Department of Trade, Tourism, Industrialisation and Cooperatives Development",,,,,,,,516,0
"General administration
and support services","General administration and
support services","40,158,147",0,"27,815,109",0,69,0,516,0
,Policy and planning services,"2,000,000",0,0,0,0,0,516,0
"Trade, Cooperative &
Investment",Cooperative promotion,"8,250,000",0,"4,416,925",0,54,0,516,0
,Trade promotion,"14,000,000","200,472,054","4,427,625","54,131,579",32,27,516,0
"Tourism promotion and
management",Weights and Measures,"1,500,000",0,0,0,0,0,516,0
,Sub Total,"65,908,147","200,472,054","36,659,659","54,131,579",56,27,516,0
"Department of Youth, Sports, Gender, Culture and Social Services",,,,,,,,516,0
"General Administration,
Planning and","General administration sup-
port services","49,675,667",0,"36,633,237",0,74,0,516,0
,"Cultural Promotion and
Heritage",1000000,0,0,0,0,0,516,0
,"Sports Talent Development
and Promotion","14,000,000",0,0,0,0,0,516,0
,"Gender and social support
services","2,000,000",0,0,0,0,0,516,0
,"Youth affairs development and
support services","1,000,000",0,0,0,0,0,516,0
"Promotion and manage-
ment of sports",Community Development,,"12,500,000","3,053,200",0,0,0,516,0
,Sub Total,"67,675,667","12,500,000","39,686,437",0,59,0,516,0
,,,,,,,,516,0
County Public Service Board,,,,,,,,516,0
Support Services,legal services,"867,500",0,0,0,0,0,516,0
"General administration
and support services",Policy and planning,"2,971,500",0,"2,779,977",0,94,0,516,0
,"General administration and
support services","57,284,925",0,"31,146,192",0,54,0,516,0
,Sub Total,"61,123,925",0,"33,926,169",0,56,0,516,0
Department of Public Administration and Coordination of Decentralised Units,,,,,,,,516,0
"General administration
and support services",Policy and planning,"200,000",0,0,0,0,0,516,0
,"General administration and
support services","276,110,145",0,"137,788,197",0,50,0,516,0
Communication services,Communication services,"1,000,000",0,0,0,0,0,516,0
,,Rec,Dev,Rec,Dev,Rec,Dev,517,0
"community development
and special funding","community development and
special funding","22,000,000","37,500,000","30,025,450",0,136,0,517,0
,"security enforcement and
compliance support services","1,000,000",0,0,0,0,0,517,0
"Coordination, strategy &
HR Services",Human resource management,"500,000",0,"420,000",0,84,0,517,0
,"Field coordination and ad-
ministration","1,000,000",0,"381,000",0,38,0,517,0
,Strategy & advisory services,"1,000,000",0,"541,300",0,54,0,517,0
,Human resource development,"170,500,000","5,000,000","145,000,000",0,85,0,517,0
,Sub Total,"473,310,145","42,500,000","314,155,947",0,66,0,517,0
Nyamira – Municipality,,,,,,,,517,0
"General administration
and support services","General administration and
support services","51,434,230",0,"45,313,941",0,88,0,517,0
,Policy and planning,"40,441,800",0,0,0,0,0,517,0
"Infrastructural develop-
ment and fire safety","Infrastructural development
and fire safety",,"90,025,768",,0,0,0,517,0
,Sub Total,"91,876,030","90,025,768","45,313,941",0,49,0,517,0
Office of County Attorney,,,,,,,,517,0
,Internal resource mobilisation,"22,436,539",0,"12,699,382",0,57,0,517,0
,"legal governance, legal train-
ing, integrity affairs manage-
ment and support services","2,712,000","4,987,040",0,0,0,0,517,0
,Sub Total,"25,148,539","4,987,040","12,699,382",0,50,0,517,0
"Department of Economic Planning, Resources Mobilisation and ICT",,,,,,,,517,0
ICT Services,"Information and communica-
tion services",,"13,000,000",0,0,0,0,517,0
"General administration
support services","General administration sup-
port services","164,490,616",0,"58,601,488",0,36,0,517,0
"Economic Planning &
Budgeting",Monitoring and evaluation,"1,200,000",0,0,0,0,0,517,0
,"Economic planning and
coordination","64,698,400","18,546,994","30,381,974",0,47,0,517,0
,Sub Total,"230,389,016","31,546,994","88,983,462",0,39,0,517,0
Department of Livestock and Fisheries Services,,,,,,,,517,0
"General administration
and support services","General administration and
support services","97,126,827",0,"55,255,058",0,57,0,517,0
,Policy and planning,"517,690",0,"502,400",0,97,0,517,0
"Fisheries Development &
Promotion","Aquaculture Promotion
Services","1,000,000",0,"99,876",0,10,0,517,0
"Livestock Development
& Promotion","Animal Health, Disease, and
Management","1,000,000","8,000,000","487,820",0,49,0,517,0
,"Livestock Products Value
Addition and Marketing","1,000,000","3,000,000","459,000",0,46,0,517,0
,Sub Total,"100,644,517","11,000,000","56,804,154",0,56,0,517,0
Department of Primary Healthcare,,,,,,,,517,0
"General administration
and support services","General administration and
support services","1,107,780,663",0,"590,235,405",0,53,0,517,0
"Health Policy Planning
and Financing","Health Policy Planning and
Financing","1,500,000",0,"399,700",0,27,0,517,0
,"Promotive and preventive
health services","116,821,464",,"38,142,707",0,33,0,517,0
Curative Health Services,"Facility infrastructural
services",,"35,000,000",,0,0,0,517,0
,Sub Total,"1,226,102,127","35,000,000","628,777,812",0,51,0,517,0
Keroka Municipality Board,,,,,,,,517,0
