Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,385,0
"General Admin-
istration Support
Services","SP 1.1 salaries and allowances for
employees and MCAs","287,161,000",-,"208,793,212",,72.7%,,385,0
,"SP 1.2 Employer contribution to
Pension","47,460,000",-,"34,632,968",,73.0%,,385,0
,"SP 1.2 Hospitality, Catering services,
donations and gifts, boards, commit-
tees, conference and seminars","11,050,000",-,"6,918,943",,62.6%,,385,0
,"SP 2.1 Domestic and foreign ac-
commodation, air travels and daily
subsistence allowance","155,900,000",-,"96,887,460",,62.1%,,385,0
"Legislature and
Oversight","SP 2.2 ICT, Hansard and Communi-
cation equipment","6,500,000",-,"6,323,708",,97.3%,,385,0
,"SP 2.5 Staff Trainings and Develop-
ment and Tuitions","29,111,960",-,"20,177,828",,69.3%,,385,0
,"SP 3.12 Maintenance of motor
vehicle","8,500,000",,"5,993,656",,70.5%,,385,0
"County Assembly
infrastructure
improvement","SP 3.13 Purchase of furniture and
general equipment","5,138,568",,"5,138,000",,100.0%,,385,0
,"SP 3.14 Construction of County
Assembly Headquarters and modern
chambers, Construction of speakers
residence, construction and equip-
ping of ward offices",,"189,200,000",,"7,294,151",,3.9%,385,0
,"SP 3.16 Maintenance of plants,
machinery & other assets","10,310,975",,"8,993,200",,87.2%,,385,0
,"SP 3.17 Electricity, water and sew-
erage and other utility charges","9,814,764",,"6,104,000",,62.2%,,385,0
,"SP 3.18 Printing, advertisement
and information supplies and
services","20,821,371",,"15,626,172",,75.0%,,385,0
,"SP 3.19 Rental of approved assets
and hire of motor vehicles","580,000",,"580,000",,100.0%,,385,0
,"SP 3.20 Insurance cost for group
personal, building, motor vehicle
and medical cover","36,651,470",,"34,651,470",,94.5%,,385,0
,"SP 3.21 Purchase of computers,
printers and general office supplies
and accessories and sanitary cleaning
materials","33,100,000",,"10,891,682",,32.9%,,385,0
,"SP 3.22 Fuel, oil, lubricants and tyres","8,000,000",,"5,507,000",,68.8%,,385,0
,"SP 3.23 Bank service commission
and charges, legal fees, management
fees and contracted profession-
al charges and other operating
expenses","19,610,000",,"8,440,400",,43.0%,,385,0
,"SP 3.24 Current transfers to other
levels of Government","26,760,000",,"5,981,507",,22.4%,,385,0
,"SP 3.25 Uniform, Specialized mate-
rials and supplies","9,500,000",,"5,980,000",,62.9%,,385,0
,"-SP 3.26 Membership fees and dues
and subscription for international
organization","5,500,000",,"2,750,000",,50.0%,,385,0
,SP 3.28 Refurbishment of buildings,"3,000,000",,"3,000,000",,100.0%,,385,0
,SP 3.29 Gratuity/pension,"15,867,735",,"5,947,388",,37.5%,,385,0
,SP 3.30 Purchase of motor vehicle,"15,000,000",,-,,0.0%,,385,0
,,Rec,Dev,Rec,Dev,Rec,Dev,386,0
,SP 3.33 Pending Bills –Development,,"426,542,968",,"206,636,247",,48.4%,386,0
,Sub Total,"765,337,843","15,742,968","499,318,594","213,930,398",65.2%,34.7%,386,0
County Executive services,,,,,,,,386,0
"County Manage-
ment Services","Executive Infrastructure Develop-
ment",-,"108,000,000",,"29,740,883",,27.5%,386,0
,County Executive services,"503,721,828",-,"323,541,649",,64.2%,,386,0
"County Cohesion
and Integration",Public Sector Advisory services,"30,000,000",-,"27,758,508",,92.5%,,386,0
"County Information
and Communica-
tion Service","County Information and Communi-
cation Services","27,573,389",-,"22,901,407",,83.1%,,386,0
"Inter - Governmen-
tal Relations","Inter/Intra Governmental Coordi-
nation","6,148,784",-,,,0.0%,,386,0
"County Legal
Services",County Legal Services,"5,000,000",,"3,000,000",,60.0%,,386,0
,Sub Total,"572,444,001","108,000,000","377,201,564","29,740,883",65.9%,27.5%,386,0
Finance & Economic Planning,,,,,,,,386,0
"General administra-
tion planning and
Support Services",Financial Services,"511,053,480","890,042,204","336,759,419","634,470,735",65.9%,71.3%,386,0
,ICT Services,"7,000,000",-,"4,637,374",,66.2%,,386,0
ICT infrastructure,capacity building,-,-,-,-,,,386,0
"Public Financial
Management","Budget formulation, coordination &
Management","10,024,800",,"5,181,400",,51.7%,,386,0
,Resource Mobilization,"10,000,000",,"6,419,968",,64.2%,,386,0
,Internal audit services,"10,000,000",,"2,550,800",,25.5%,,386,0
,Supply chain services,"3,000,000",,"197,618",,6.6%,,386,0
,Accounting services,"19,931,980",,"7,438,906",,37.3%,,386,0
"Economic and
Financial Policy
Formulation","Fiscal Policy Formulation and
Management","4,975,200",,"3,420,000",,68.7%,,386,0
,Sub Total,"575,985,460","890,042,204","366,605,485","634,470,735",63.6%,71.3%,386,0
"Agriculture, Livestock & Fisheries",,,,,,,,386,0
"General Adminis-
tration, Planning
and Support
Services","General Administration, Planning
and Support Services","130,463,100",-,"93,030,787",-,71.3%,,386,0
"Livestock Resources
Management and
Development","Livestock Policy Development and
Capacity Building","121,652,929",-,"75,509,184",-,62.1%,,386,0
,"SP3 Livestock production and
Management",-,"32,500,000",-,-,,,386,0
,"Livestock Products Value Addition
and Marketing",-,"38,909,600",-,"3,999,200",,10.3%,386,0
,"Livestock Diseases Management and
Control",-,"4,900,000",-,-,,,386,0
"Fisheries Develop-
ment and Manage-
ment","Fisheries Policy, Strategy and Capac-
ity Building","28,993,337","4,900,000","17,806,106",-,61.4%,,386,0
"Crop Development
and Management",Lands and Crop Development,-,-,-,-,,,386,0
,Food Security Initiatives,-,"955,391,257",-,"117,931,310",,,386,0
,Sub Total,"281,109,366","1,036,600,857","186,346,077","121,930,510",66.3%,11.8%,386,0
"Energy, Lands & Urban Development",,,,,,,,386,0
"Urban Development
Services",Town Administration Services,"901,600","43,100,000",-,-,,,386,0
,,Rec,Dev,Rec,Dev,Rec,Dev,387,0
,Solid Waste Management,-,"14,500,000",-,"10,737,846",,74.1%,387,0
"Land and Physical
Planning Services","Administration and Support
services","147,789,745",-,"115,995,623",-,78.5%,,387,0
,"Land Mapping &Zoning, Survey,
adjudication and Physical planning","8,431,618",-,-,-,,,387,0
"Urban Development
Services",Administrative and support services,"30,007,947",-,-,-,,,387,0
,Solid Waste Management,"24,410,490",-,-,-,,,387,0
,Towns Facelift,"2,458,600",-,-,-,,,387,0
,Sub Total,"214,000,000","57,600,000","115,995,623","10,737,846",54.2%,18.6%,387,0
County Health Services,,,,,,,,387,0
"Preventive and
Promotive Health
Services","Communicable disease prevention
and control",-,"3,000,000",,-,,,387,0
"Curative Health
Services","Reduction of Communicable and
Non-Communicable Diseases",-,"5,000,000",-,-,,,387,0
,Referral Services,"18,000,000","11,000,000",,"1,000,000",0.0%,9.1%,387,0
,Specialized Services,"27,950,000","43,988,500",,"17,614,190",0.0%,40.0%,387,0
"Curative Health
Services",Drugs and commodities,"156,600,000",-,,-,0.0%,,387,0
"General Adminis-
tration, Planning
and Support
Services",Health Infrastructure development,-,"187,850,000",,"51,992,993",,27.7%,387,0
,Health Planning and Financing,"1,645,069,821",-,"1,347,418,805",-,81.9%,,387,0
"Maternal and child
health","Integrated MCH and Family plan-
ning services","26,271,650",-,,-,0.0%,,387,0
,Sub Total,"1,873,891,471","250,838,500","1,347,418,805","70,607,183",71.9%,28.1%,387,0
"Administration, Coordination & ICT",,,,,,,,387,0
"General administra-
tion planning and
Support Services
General",Administration services,"294,700,000","1,000,000","189,872,421",-,64.4%,0.0%,387,0
,"Peace building and conflict resolu-
tion","10,000,000",-,-,-,0.0%,,387,0
,"Disaster management and emergen-
cy response","200,000,000",-,"179,520,070",-,89.8%,,387,0
,ICT Services,-,"5,000,000",-,-,,0.0%,387,0
"Coordination of
functions of de-
volved units","Co-ordination of County Govern-
ment Departments","21,800,000",-,-,-,0.0%,,387,0
"Public Participation
and Civic Education",Public participation,"6,000,000",-,-,-,0.0%,,387,0
,Sub Total,"532,500,000","6,000,000","369,392,491",-,69.4%,0.0%,387,0
County Public Service Board,,,,,,,,387,0
"General administra-
tion planning and
Support Services",Administration services,"75,142,670",-,"39,036,564",-,51.9%,,387,0
,Board Management Service,"17,307,330","15,000,000",,"6,027,630",0.0%,40.2%,387,0
"Human Resource
Management and
Development",Human Resource Management,"5,550,000",-,-,-,,,387,0
,"Establishment, Management and
Consultancy Services","1,000,000",-,-,-,,,387,0
,Sub Total,"99,000,000","15,000,000","39,036,564","6,027,630",39.4%,40.2%,387,0
Office of the County Attorney,,,,,,,,387,0
"Legislation and
Oversight services",Legislation and Oversight services,"29,978,854",,"4,830,400",-,16.1%,,387,0
,,Rec,Dev,Rec,Dev,Rec,Dev,388,0
,Sub Total,"29,978,854",,"4,830,400",,16.1%,,388,0
Office of the County Secretary,,,,,,,,388,0
"County Information
and Communica-
tion Services","County Information and Communi-
cation Services","10,500,000",,"1,500,000",,14.3%,,388,0
,Sub Total,"10,500,000",,"1,500,000",,14.3%,,388,0
"Education, Skill Development, Youth & Sports",,,,,,,,388,0
"General Adminis-
tration, Planning
and Support
Services","General Administration, Planning
and Support Services","310,000,000",-,"235,986,839",-,76.1%,,388,0
"Skills development,
youth and sport",Youth Empowerment & Training,-,"8,700,000",-,"4,000,000",,46.0%,388,0
"Early Childhood
Development and
Education","Scholarships and educational
benefits","155,000,000",,-,-,0.0%,,388,0
"Pre – Primary
Education","Early Childhood Development and
Education","50,933,953","11,000,000","34,689,180","7,800,000",68.1%,70.9%,388,0
,ECD Teachers Training,"16,349,047",-,"2,900,000",-,17.7%,,388,0
,"ECD Infrastructure Development
and Management",-,"59,075,783",-,"17,370,700",,29.4%,388,0
Youth Development,"Youth Training and Capacity
Building","6,000,000","5,000,000","3,977,720","1,000,000",66.3%,20.0%,388,0
"Vocational Educa-
tion and Training","Technical Trainers and Instructor
Services","8,717,000",-,-,-,0.0%,,388,0
Sports,Sports Training and Competitions,"2,000,000","1,000,000",-,-,0.0%,0.0%,388,0
,Sub Total,"549,000,000","84,775,783","277,553,739","30,170,700",50.6%,35.6%,388,0
"Tourism, Culture & Social Services",,,,,,,,388,0
"General Adminis-
tration, Planning
and Support
Services",Financial Services,"123,678,080",-,"60,062,766","6,440,360",48.6%,,388,0
Culture Services,"Conservation of Culture and
Heritage",-,"23,400,000",-,-,,,388,0
,Sub Total,"123,678,080","23,400,000","60,062,766","6,440,360",48.6%,27.5%,388,0
Roads & Public Work,,,,,,,,388,0
"General administra-
tion planning and
Support Services","General administration planning and
Support Services","130,000,000",-,"53,998,244",-,41.5%,,388,0
"Road Transport
Infrastructure
Development",Roads Infrastructure Development,-,"383,820,000",-,"89,757,998",,23.4%,388,0
,Sub Total,"130,000,000","383,820,000","53,998,244","89,757,998",41.5%,23.4%,388,0
"Trade, Industry & Enterprise Development",,,,,,,,388,0
"General Adminis-
tration, Planning
and Support
Services",Financial Services,"112,121,920",-,"59,896,125",-,53.4%,,388,0
"Enterprise Devel-
opment",Develop infrastructure and facilities,-,"190,000,000",-,"95,000,000",,50.0%,388,0
,Sub Total,"112,121,920","190,000,000","59,896,125","95,000,000",53.4%,50.0%,388,0
"Water, Environment & Natural Resources",,,,,,,,388,0
"Water Resources
Management",Water Storage,-,"20,100,000",-,-,,,388,0
,"Water Supply Infrastructure Devel-
opment",-,"178,580,000",-,"34,404,593",0.0%,19.3%,388,0
