Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,SP. 5. ECDE learning materials,-,"3, 540, 000",-,-,-,-,92,0
,"SP. 6. Inclusive education for dis-
abled learners",-,"5, 000, 000",-,-,-,-,92,0
Programme 3.,,-,"72, 400, 000",-,"8, 355, 980",-,-,92,0
,"SP. 2. VTCs infrastructure devel-
opment",-,"72, 400, 000",-,"8, 355, 980",-,7,92,0
,Sub-Total,"721, 344, 017","114, 040, 000","247, 657, 157","8, 355, 980",63,7,92,0
Department of Finance and Economic Planning,,,,,,,,92,0
"Programme 1. Gen-
eral admin, support
services",,"736, 223, 114",-,"254, 690, 519",-,,-,92,0
,"SP. 1. General administration &
support service","736, 223, 114",-,"254, 690, 519",-,35,-,92,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,93,0
Programme 2.,,-,"5, 000, 000",-,-,-,-,93,0
,SP. 4. Resource mobilisation,-,"5, 000, 000",-,-,-,-,93,0
Programme 10.,,-,"4, 000, 000",-,-,-,-,93,0
,SP. 1. Statistics,-,"4, 000, 000",-,-,-,-,93,0
,Sub-Total,"736, 223, 114","9, 000, 000","254, 690, 519",-,35,-,93,0
"Department of Youth, Culture, Sports and Social Services",,,,,,,,93,0
"Programme 1. Gen-
eral admin & support
services",,"174, 222, 448",-,"75, 910, 570",-,-,-,93,0
,"SP. 1. General administration &
support service","174, 222, 448",-,"75, 910, 570",-,44,-,93,0
Programme 3.,,-,"2, 000, 000",-,-,-,,93,0
,"SP. 1. Youth enterprise and empow-
erment",-,"2, 000, 000",-,-,-,-,93,0
Programme 4.,,-,"30, 300, 000",-,"25, 304, 228",-,,93,0
,"SP. 3 Sports promotion & infra-
structure development",-,"30, 300, 000",-,"25, 304, 228",-,66,93,0
Programme 8.,,-,"5, 000, 000",-,-,-,,93,0
,"SP. 2. Tourism promotion & devel-
opment",-,"5, 000, 000",-,-,-,-,93,0
,Sub total,"174, 222, 448","38, 300, 000","63, 867, 079","25, 304, 228",44,66,93,0
"Department of Roads, transport and public works.",,,,,,,,93,0
"Programme 1. Gen-
eral admin & support
services",,"157, 697, 446",-,"11, 493, 458",-,-,-,93,0
,"SP. 1. General administration &
support services","157, 697, 446",-,"11, 493, 458",-,7,-,93,0
Programme 3.,,-,"5, 000, 000",-,-,-,-,93,0
,"SP. 3. Alternative transport devel-
opment",-,"5, 000, 000",-,-,-,-,93,0
