Programme,Sub-Programme,"Approved Budget
(Kshs.)",col_3,"Total Actual Payments
(Kshs.)",col_5,% Absorption,col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,462,1
COUNTY PUBLIC SERVICE BOARD,,,,,,,,462,1
"General Ad-
ministrative
Services","General Administration
Planning and Support
Services","76,403,886",-,"43,012,076",-,56.3,-,462,1
,,"76,403,886",-,"43,012,076",-,56.3,-,462,1
FINANCE & ECONOMIC PLANNING,,,,,,,,462,1
"Public
Financial
Management","Asset Management
Services","213,000,000",-,"17,380,654",-,8.2,-,462,1
,Accounting Services,"97,109,248","20,000,000","14,713,718",-,15.2,-,462,1
,"Debt Management
Services","684,000,000",-,"2,018,450,863","1,981,509",295.1,-,462,1
,Resource Mobilization,"225,000,000","100,000,000","42,288,659",-,18.8,-,462,1
,,Rec,Dev,Rec,Dev,Rec,Dev,463,0
,"Supply Chain Manage-
ment","153,034,372",,"74,968,563",-,49.0,-,463,0
"General Ad-
ministrative
Services","General Administration
& Support Services","1,652,273,558",-,"1,013,217,247",-,61.3,,463,0
"Economic
Policy,
Formulation
and Budget
Management","Economic Planning
Formulation and Man-
agement","134,000,000",-,"9,285,772",-,6.9,,463,0
,"Budget Formulation,
Coordination, and Man-
agement","125,000,000",-,"40,138,096",-,32.1,,463,0
,,"10,000,000",-,-,-,-,,463,0
,,"3,293,417,178","120,000,000","3,230,443,571","1,981,509",98.1,1.7,463,0
PUBLIC SERVICE MANAGEMENT,,,,,,,,463,0
"General Ad-
ministrative
Services","General Administration
& Support Services","413,211,203",-,"163,037,733",-,39.5,-,463,0
"Public
Service
Transforma-
tion","Human Resource Man-
agement","1,598,498,578",-,"527,250,686",-,33.0,-,463,0
,"Human Resource Devel-
opment","16,645,300",-,"11,425,756",-,68.6,-,463,0
,,"37,500,000",,-,-,-,-,463,0
,,"2,065,855,081",-,"701,714,175",-,34.0,-,463,0
"AGRICULTURE, LIVESTOCK DEVELOPMENT, FISHERIES & FORESTRY",,,,,,,,463,0
"General Ad-
ministration
Planning
and Support
Services","Administration, Planning
& Support Services","148,496,420",,"92,259,336",-,62.1,-,463,0
,,"162,462",-,"42,000",-,25.9,-,463,0
"Urban
Agriculture
Promotion
& Regula-
tion","Crop Development and
Management","22,665,393","20,000,000","152,000",-,0.7,-,463,0
,,"4,061,559",-,"90,000",-,2.2,-,463,0
,"Fisheries Development
and Management","1,502,779",-,"290,000",-,19.3,-,463,0
,"Livestock Resources
Management and Devel-
opment","1,543,395","20,000,000","76,000",-,4.9,-,463,0
"Animal
Health,
Safety and
Quality
Assurance","Animal Research,
Diseases, Pest Control &
Quality Assurance","1,990,168","16,754,496","200,000",-,10.0,-,463,0
Afforestation,Forestry Services,"6,934,160",-,"1,956,008",-,28.2,-,463,0
"Food
Systems and
Surveillance","Food Systems and Sur-
veillance Services","1,462,158","14,000,000","152,000",-,10.4,-,463,0
,,"188,818,494","70,754,496","95,217,344",-,50.4,-,463,0
COUNTY ASSEMBLY,,,,,,,,463,0
"Legislation,
Oversight,
and Repre-
sentation","Legislation and Represen-
tation","6,271,200",-,"841,600",-,13.4,-,463,0
,Oversight,"829,181,198",-,"829,292,213",-,100.0,-,463,0
,"General Administration
and Support Services","262,929,500",-,"23,043,200",-,8.8,-,463,0
,,"28,866,280",-,"2,547,600",-,8.8,-,463,0
,,"797,863,658","1,635,000,000","136,995,770","75,661,566",17.2,4.6,463,0
,,"1,925,111,836","1,635,000,000","992,720,382","75,661,566",51.6,4.6,463,0
,,Rec,Dev,Rec,Dev,Rec,Dev,464,0
"ENVIRONMENT, WATER, ENERGY & NATURAL RESOURCES",,,,,,,,464,0
"General Ad-
ministration
& Support
Services","General Administration
& Support","1,789,925,265",-,"1,234,026,403",-,68.9,-,464,0
"Environ-
ment Man-
agement and
Protection.","Beautification, Recreation
and Greening Services","15,230,848",-,"1,800,000",-,11.8,-,464,0
,Solid waste management,"1,580,430,946","400,000,000","1,396,357,909","102,464,100",88.4,25.6,464,0
,"Environment Planning
Management Services","2,030,780",,-,-,-,-,464,0
,"Energy & Natural Re-
sources","17,870,862","141,460,000","2,166,847",-,12.1,-,464,0
"Water
Resources
Management","Environment planning
Management","6,498,495",,"76,000",-,1.2,-,464,0
,,"3,411,987,196","541,460,000","2,634,427,159","102,464,100",77.2,18.9,464,0
WARD DEVELOPMENT PROGRAMMES,,,,,,,,464,0
"Ward Devel-
opment","Ward Development &
Administration","80,000,000","2,155,000,000","3,326,739","284,969,735",4.2,13.2,464,0
,,"80,000,000","2,155,000,000","3,326,739","284,969,735",4.2,13.2,464,0
EMERGENCY FUND,,,,,,,,464,0
"General Ad-
ministrative
Services","General Administration
& Support Services","100,000,000",-,"97,437,275",-,97.4,-,464,0
,,"100,000,000",-,"97,437,275",-,97.4,-,464,0
LIQUOR LICENSING BOARD,,,,,,,,464,0
"Licens-
ing and
Fair-Trade
Practices","Liquor Licensing &
Regulation","294,000,000","57,000,000","218,352,132",-,74.3,-,464,0
,,"294,000,000","57,000,000","218,352,132",-,74.3,-,464,0
