Programme,Sub-Programme,"Revised Approved Estimates
(Kshs)",col_3,Actual Expenditure (Kshs),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,479,0
Office of the Governor and Deputy Governor,,,,,,,,479,0
"Administration,
Planning & Support
Services",Administration & Planning,"108,072,340","20,467,176","28,897,396","5,460,350",27,27,479,0
,Personnel Services,"136,718,550",,"72,042,122",0,53,0,479,0
,Sub Total,"244,790,890","20,467,176","100,939,518","5,460,350",41,27,479,0
"Management of
County Affairs",County Executive Services,"16,477,682",0,0,0,0,0,479,0
,Policy Direction & Coordination,"84,609,245",0,0,0,0,0,479,0
,County Policing Services,"4,685,548",0,0,0,0,0,479,0
,Leadership & Governance,"3,123,698",0,0,0,0,0,479,0
,Sub Total,"108,896,173",0,0,0,0,0,479,0
"Coordination & Su-
pervisory Services",Organisation of County Business,"21,427,738",0,0,0,0,0,479,0
,Special Programmes,"7,809,246",0,0,0,0,0,479,0
,Sub Total,"29,236,984",0,0,0,0,0,479,0
Finance and Economic Planning,,,,,,,,479,0
"Administration,
Planning and Sup-
port Services",Administration Services,"867,009,727","407,597,813","415,843,956","112,734,923",48,28,479,0
,Personnel Services,"503,861,030",,"376,117,160",,75,0,479,0
,Sub Total,"1,370,870,757","407,597,813","791,961,116","112,734,923",58,28,479,0
"Public Finance
Management","Budget Formulation, Coordina-
tion, and Management","116,918,535",0,"32,967,825",0,28,0,479,0
,Resource Mobilisation,"53,599,404","13,800,000","8,521,770","2,910,000",16,21,479,0
,Internal Audit,"15,432,885",0,"1,432,045",0,9,0,479,0
,Procurement,"12,790,172",0,"1,090,700",0,9,0,479,0
,Public Finance and Accounting,"14,991,459",0,"2,058,914",0,14,0,479,0
,Debt Management,"4,243,494","278,826,873","616,100","84,351,100",15,30,479,0
,External Resource Mobilisation,"10,235,000",0,"287,500",0,3,0,479,0
,Sub Total,"228,210,949","292,626,873","46,974,854","87,261,100",21,30,479,0
"Economic and
Financial Policy
Formulation and
Management",Fiscal Planning,"30,382,188",0,"5,296,400",0,17,0,479,0
,"Monitoring & Evaluation / Statisti-
cal Data Management","5,187,600",0,"379,175",0,7,0,479,0
,KDSP Programme,,"52,455,220",,"33,263,916",0,63,479,0
,Sub Total,"35,569,788","52,455,220","5,675,575","33,263,916",16,63,479,0
County Public Service Board,,,,,,,,479,0
"Administration and
Human Resource
Planning",Administrative Services.,"19,551,841","2,000,000","6,380,203",0,33,0,479,0
,Personnel Services,"46,709,666",0,"29,939,424",0,64,0,479,0
,Financial Services,"1,900,000",0,"375,000",0,20,0,479,0
,Sub Total,"68,161,507","2,000,000","36,694,626",0,54,0,479,0
"Human Resource
Planning and Advi-
sory Services",Human Resource Planning,"4,000,000",0,"142,500",0,4,0,479,0
,"Provision of Human Resource Ad-
visory Services","1,713,000",0,"484,732",0,28,0,479,0
,Sub Total,"5,713,000",0,"627,232",0,11,0,479,0
Health Services,,,,,,,,479,0
"Administration and
Planning",Health Information System,"5,700,000",0,0,0,0,0,479,0
,Governance and Leadership,"726,360,884",0,"134,226,273",0,18,0,479,0
,Human Resource Management,"3,991,963,719",0,"2,643,829,593",0,66,0,479,0
,Research and Development,"875,000",0,0,0,0,0,479,0
,"Health Infrastructure and Devel-
opment","8,251,100",0,0,0,0,0,479,0
,Sub Total,"4,733,150,703",0,"2,778,055,867",0,59,0,479,0
"Health Preventive
and Promotive
Services",Primary Health Care,"21,673,325","54,023,166",0,"738,040",0,1,479,0
,,Rec,Dev,Rec,Dev,Rec,Dev,480,0
,"Environmental Health and Sanita-
tion","1,075,000",0,0,0,0,0,480,0
,Human Resource,"234,249,940",0,"24,723,000",0,11,0,480,0
,"Disease Surveillance and Emergen-
cy Response","1,000,000",0,0,0,0,0,480,0
,Health Promotive,"1,900,000",0,0,0,0,0,480,0
,HIV Programme,"2,300,000",0,0,0,0,0,480,0
,Nutrition,"10,000,000","17,310,236",0,"9,340,034",0,54,480,0
,Reproductive Health,"2,700,000",0,0,0,0,0,480,0
,Immunisation,"6,000,000",0,0,0,0,0,480,0
,Sub Total,"280,898,265","71,333,402","24,723,000","10,078,074",9,14,480,0
"Health Curative
and Rehabilitative
Services","Provision of Essential Health Ser-
vices in all Levels","1,548,228,243","1,407,662,838","896,923,848","77,243,015",58,5,480,0
,"Elimination of Communicable and
Non-Communicable Diseases","1,700,000",0,0,0,0,0,480,0
,Human Resource,"574,501,797",0,"353,782,125",0,62,0,480,0
,Sub Total,"2,124,430,040","1,407,662,838","1,250,705,973","77,243,015",59,5,480,0
Infrastructure,,,,,,,,480,0
"Administration,
Personnel and
Financial Services",Administration Services,"27,600,000",0,"2,800,564",0,10,0,480,0
,Personnel Services,"132,124,969",0,"86,778,677",0,66,0,480,0
,Sub Total,"159,724,969",0,"89,579,240",0,56,0,480,0
"Infrastructure
Development and
Maintenance","Construction, Rehabilitation &
Maintenance Of Roads, Drainage
& Bridges","10,382,785","2,095,570,970",0,"109,774,603",0,5,480,0
,"Rehabilitation & Maintenance of
Transport Terminus","500,000",0,0,0,0,0,480,0
,"Maintenance & Rehabilitation of
County Buildings","2,120,000","1,550,000",0,0,0,0,480,0
