Programme,Sub-Programme,"Gross Approved Estimates
FY 2024/25",col_3,"Actual Expenditure as of
31 March 2025",col_5,Absorption Rate (%),col_7,page_number,table_index
,"VTC Infrastructure
Development",-,"26,200,000",-,-,,-,107,0
,"VTC Quality Con-
trol and Support",-,-,-,-,-,-,107,0
,,"454,995,476","124,825,490","345,481,275","4,997,888",75.9,4.0,107,0
Health and Sanitation,,,,,,,,107,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","2,050,387,845",-,"1,079,257,694",-,52.6,-,107,0
,"Community and En-
vironmental Health",-,"134,660,086",-,"119,757,720",,88.9,107,0
,Health Services,,"140,501,813",,"92,024,797",,65.5,107,0
,,"2,050,387,845","275,161,899","1,079,257,694","211,782,517",52.6,77.0,107,0
"Lands, Physical Planning, Housing and Urban Development",,,,,,,,107,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","58,844,949",-,"30,577,599",-,52.0,-,107,0
,Energy,"2,312,891","20,876,532","8,263,941",-,357.3,-,107,0
,"Solid waste manage-
ment",,"200,000",-,-,,-,107,0
,"County Public Land
Management",-,"32,050,000",-,-,,-,107,0
,Physical Planning,-,-,-,-,,-,107,0
,Urban Infrastructure,-,"606,487,175",-,"104,524,192",,17.2,107,0
,,"61,157,840","659,613,707","38,841,540","104,524,192",63.5,15.8,107,0
"Roads, Public Works and Transport",,,,,,,,107,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","108,270,888",-,"90,750,634",-,83.8,-,107,0
Roads Improvement,Rural Road Works,"110,046,262","401,373,805",-,"108,571,001",-,27.0,107,0
,,Rec,Dev,Rec,Dev,Rec,Dev,108,0
Public Works,Public works,"1,550,000",-,"3,506,900",-,226.3,-,108,0
Transport Services,Transport Services,"2,644,898",-,"4,858,338",-,183.7,-,108,0
,,"222,512,048","401,373,805","99,115,872","108,571,001",44.5,27.0,108,0
"Cooperatives, Trade, Industrialisation, Tourism and Wildlife",,,,,,,,108,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","83,578,021",-,"43,995,061",-,52.6,-,108,0
,"Cooperatives Devel-
opment",-,"12,384,000",-,-,-,-,108,0
,"Tourism Develop-
ment",-,"1,440,000",-,-,-,-,108,0
,"Trade and enterprise
development","100,000","510,224,680",-,"4,317,945",-,0.8,108,0
,,"83,678,021","524,048,680","43,995,061","4,317,945",52.6,0.8,108,0
"Sports, Youth Affairs, ICT and Social Services",,,,,,,,108,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","45,810,132",-,"27,622,619",-,60.3,-,108,0
,"Sports Infrastructure
Development",-,"36,354,000",-,-,-,-,108,0
,"Sports Talent Devel-
opment","24,269,412",-,-,-,0.0,-,108,0
,"Social Empower-
ment","14,768,940",-,"490,000",-,3.3,-,108,0
,Social Protection,"2,100,000",-,-,-,-,-,108,0
,Wezesha,"15,100,000",-,-,-,-,-,108,0
,Culture Preservation,"6,978,713",-,-,-,-,,108,0
,,"109,027,197","36,354,000","28,112,619",-,25.8,-,108,0
Public Service Management and County Administration,,,,,,,,108,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","37,500,000",-,-,-,0.0,-,108,0
,ICT services,-,"11,133,127",-,-,-,-,108,0
,"County Administra-
tion and Devolution","323,304,433","300,000","237,176,247",-,73.4,-,108,0
,"Enforcement and
Compliance",-,-,-,-,-,-,108,0
,"Citizen Participation
and Civic Education",-,-,-,-,-,-,108,0
,"Human Resource
Management",-,-,-,-,-,-,108,0
,Payroll Management,-,-,-,-,-,-,108,0
,"County Commu-
nication Corporate
Affairs",-,-,-,-,-,-,108,0
,,"360,804,433","11,433,127","237,176,247",-,65.7,-,108,0
County Public Service Board,,,,,,,,108,0
"General adminis-
tration and support
services","General adminis-
tration and support
services","45,380,222",-,"31,851,162",-,70.2,-,108,0
,,"45,380,222",-,"31,851,162",-,70.2,-,108,0
TOTAL,,"4,752,778,430","3,147,090,729","2,817,268,619","733,845,121",59.3,21.4,108,0
