"Arm of County
Government","No. of Offi-
cers Travelled",Date travelled,Purpose of the travel,Destination,"Total Costs of the
Travel (Kshs.)",page_number,table_index
County Assembly,14,"7th-20th September
2024","Attend the role of the Legis-
lature in Influencing Govern-
ment Policies Program",Dubai,"14,146,860.00",327,0
County Assembly,12,11th-25th January 2025,"Attend Capacity Building
Training on Parliamentary
Practices and Procedure",Dubai,"12,002,900.00",327,0
County Assembly,9,8th-22nd March 2025,"Attend Capacity Building
Training on Legislative Practic-
es and Management Respon-
sibility",Dubai,"9,302,020.00",327,0
County Assembly,7,"4th-15th November
2024","Attend Capacity Building
Training on Public Policy
Designing and Management
Program",Dubai,"7,289,100.00",327,0
County Assembly,6,"30th Nov- 15th Dec
2024","Attend the Role of Legislation
in Audit Committee Pro-
gramme",Dubai,"6,095,180.00",327,0
County Assembly,5,"1st-14th September
2024","Attend the Governance Audit
Program",Dubai,"5,219,760.00",327,0
County Assembly,7,"7th-20th September
2024","Attend Leadership and Policy
Implementation Program",Tanzania,"4,169,480.00",327,0
County Assembly,3,19th-30th August 2024,"Attend Ethical Leadership
Program",Dubai,"3,030,170.00",327,0
County Assembly,3,"16th November -01st
December 2024","Attend the Legislative Public
Financial Management and
Budgeting programme hosted
by ESAMI",Dubai,"3,019,490.00",327,0
County Assembly,1,"26th July- 12th August
2024","Attend the Paris 2024 Olym-
pics",France,"1,209,780.00",327,0
