Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,182,1
Office of the Governor and Deputy Governor,,,,,,,,182,1
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","127,027,549",-,"55,970,574",-,44.1,0,182,1
"Coordination Devolu-
tion Service",County Executive,"39,810,000",-,"11,752,348",-,29.5,0,182,1
,"Intergovernmental
Relation","23,468,000",-,"8,689,686",-,37,0,182,1
,County Advisory,"19,465,828",-,"5,837,670",-,30,0,182,1
,Special Programs,"20,720,000",-,"6,617,410",-,31.9,0,182,1
,"Information,
Communication and
Technologies","20,711,000",,"6,459,051",,31.2,0,182,1
,Sub Total,"251,202,377",-,"95,326,739",-,37.9,0,182,1
County Public Service Board,,,,,,,,182,1
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","134,820,567",-,"49,548,119",-,36.8,0,182,1
,Sub-Total,"134,820,567",-,"49,548,119",-,368,0,182,1
Department of Medical Service and Public Health,,,,,,,,182,1
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","2,744,241,305",-,"1,458,819,366",-,53.2,0,182,1
"Curative and Rehabil-
itative",Hospital Service,"16,460,500","98,100,000","6,436,062","27,446,450",39.1,28,182,1
,"Health Products and
Technologies","200,276,176",-,"157,680,706",-,78.7,0,182,1
,"Emergency Re-
sponses","6,582,400",-,"4,317,450",-,65.6,0,182,1
,,Rec,Dev,Rec,Dev,Rec,Dev,183,0
"Public Health and
Sanitation","Reproductive Ma-
ternal","56,769,977",-,"18,145,278",-,32,0,183,0
,"Communicable and
Non-Communicable
Diseases","4,609,000",-,"845,019",-,18.3,0,183,0
,Primary Health Care,"97,823,500",-,"24,547,823",-,25.1,0,183,0
,"Disease Surveillance
and Response","3,185,400",-,"1,399,260",-,43.9,0,183,0
,"Environmental
Health","34,066,962",-,"10,563,251",,31,0,183,0
,Sub Total,"3,164,015,220","98,100,000","1,682,754,215","27,446,450",53.2,28,183,0
"Department of Water, Irrigation, Environment and Natural Resources",,,,,,,,183,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","126,821,397",-,"80,377,251",-,63.4,0,183,0
Water Service,Water Service,"26,300,000","302,011,456","11,817,163","51,192,710",44.9,17,183,0
,"Stormwater Manage-
ment","6,236,148",-,"1,696,970",-,27.2,0,183,0
,Sanitation Service,"3,400,000",-,"637,500",-,18.8,0,183,0
"Environment and
Natural Resources",Environmental,"9,280,000",-,"2,618,600",-,28.2,0,183,0
,Natural Resources,"3,900,000",-,"937,640",-,24,0,183,0
,Climate Change,"9,358,000",-,"2,851,361",-,30.5,0,183,0
,Sub Total,"185,295,545","302,011,456","100,936,485","51,192,710",54.5,17,183,0
"Department of Roads, Transport, Public Works and Energy",,,,,,,,183,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","164,352,911",-,"111,847,138",-,68.1,0,183,0
"Public Works and
Infrastructure",Roads,"12,800,000","769,076,319","3,175,798","104,858,882",24.8,13.6,183,0
,Energy,"7,586,000","25,000,000","4,109,663",-,54.2,0,183,0
,Fire Fighter,"6,200,000",-,"2,499,300",,40.3,0,183,0
,Transport,"3,273,600",-,"2,662,990",-,81.3,0,183,0
,Public Works,"4,400,000","150,000,000","1,975,980",-,44.9,0,183,0
,Sub Total,"198,612,511","944,076,319","126,270,869","104,858,882",63.7,11.1,183,0
"Department of Public Service, Administration and Citizen Participation",,,,,,,,183,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","967,005,839",-,"372,653,059",-,38.5,0,183,0
"Public Service and
Administration","County Adminis-
tration","7,952,545",-,"6,383,473",-,80.3,0,183,0
,County Inspectorate,"5,713,116",-,"4,277,458",-,74.9,0,183,0
"Human Resource
Management and
Development",Human Resource,"191,688,202",-,"87,337,537",-,45.6,0,183,0
Citizen Participation,Citizen Participation,"13,831,255",-,"4,073,700",-,29.5,0,183,0
,Social Protection,"3,087,315",-,"1,737,101",-,56.3,0,183,0
,"Disability Main-
streaming","22,079,973",-,"595,786",-,2.7,0,183,0
,"Control of Alcohol
and Substance Abuse","12,049,804",-,"10,531,100",-,87.4,0,183,0
,"County Organiza-
tion","2,329,974",-,"324,000",-,13.9,0,183,0
,Sub Total,"1,225,738,023",-,"487,913,214",-,39.8,0,183,0
Department of County Treasury,,,,,,,,183,0
,,Rec,Dev,Rec,Dev,Rec,Dev,184,0
"General Administra-
tion, Planning and
Support Service","General Administra-
tion, Planning and
Support Service","834,834,184","857,982,317","559,993,875","483,102,640",67.1,56.3,184,0
"Public Finance Man-
agement","Budget Coordina-
tion and Manage-
ment","10,300,000",-,"7,206,299",-,70,0,184,0
,Accounting Service,"8,710,000",-,"4,769,273",-,54.8,0,184,0
,"Supply Chain Man-
agement","28,200,000",-,"13,005,265",-,46.1,0,184,0
,Internal Audit,"7,750,002",-,"5,814,692",-,75,0,184,0
,"Revenue Collection/
Resource Mobili-
sation","14,533,094",-,"9,485,893",-,65.3,0,184,0
"Economy Policy
Coordination",Economic Planing,"8,500,000",-,"6,015,200",-,70.8,0,184,0
