Programme,Sub-Programme,"Revised Gross Ap-
proved Estimates",Actual Expenditure,"Absorption
Rate (%)",page_number,table_index
,,(Kshs.),(Kshs.),,584,0
"County Assembly
Headquarters",County Assembly Headquarters,"829,520,871","513,201,638",62,584,0
701003260,General Administration support services,"759,520,871","486,097,212",64,584,0
708003260,"Legislation, Oversight & Representation","70,000,000","27,104,426",39,584,0
,Headquarters,"580,952,946","386,509,467",67,584,0
701003260,General Administration support services,"580,952,946","379,028,429",65,584,0
,Taveta Sub-County Administration,"1,070,000","115,756",11,584,0
709003260,Devolved governance,"1,070,000","115,756",11,584,0
,Wundanyi Sub County Administration,"780,000","69,000",9,584,0
709003260,Devolved governance,"780,000","69,000",9,584,0
,Mwatate Sub-County Administration,"893,000","104,100",12,584,0
709003260,Devolved governance,"893,000","104,100",12,584,0
,Voi Sub-County Administration,"1,064,000","109,500",10,584,0
709003260,Devolved governance,"1,064,000","109,500",10,584,0
,Human Resource Management,"5,078,000","1,951,872",38,584,0
701003260,General Administration support services,"5,078,000","1,951,872",38,584,0
,,"15,800,000","2,551,010",16,584,0
701003260,General Administration support services,"15,800,000","2,551,010",16,584,0
709003260,Devolved governance,"755,000","107,800",14,584,0
"Kenya Devolution
Support Program",Kenya Devolution Support Program,"40,000,000","2,500,000",6,584,0
701003260,General Administration support services,"40,000,000","2,500,000",6,584,0
Headquarters,Headquarters,"264,989,988","156,139,178",59,584,0
712003260,Special programmes & Service delivery,"6,100,000","1,296,279",21,584,0
704003260,,-,-,-,584,0
701003260,General Administration support services,"256,239,988","152,076,882",59,584,0
710003260,Leadership & Coordination of county affairs,"2,650,000","2,847,017",107,584,0
"Office of the Deputy
Governor",Office of the Deputy Governor,"11,605,000","5,696,624",49,584,0
701003260,General Administration support services,"11,605,000","5,696,624",49,584,0
"Special Programmes
Unit",Special Programmes Unit,"9,550,000","5,957,007",62,584,0
712003260,Special programmes & Service delivery,"9,550,000","5,957,007",62,584,0
Service Delivery Unit,Service Delivery Unit,"750,000","385,380",51,584,0
712003260,Special programmes & Service delivery,"750,000","385,380",51,584,0
ICT,ICT,"3,650,000","1,325,350",36,584,0
701003260,General Administration support services,"3,650,000","1,311,350",36,584,0
,,"3,300,000","2,255,956",68,584,0
710003260,Leadership & Coordination of county affairs,"3,300,000","2,255,956",68,584,0
,,"2,320,000","852,162",37,584,0
710003260,Leadership & Coordination of county affairs,"2,320,000","852,162",37,584,0
,,"9,820,000","4,255,424",43,584,0
,,(Kshs.),(Kshs.),,585,0
710003260,Leadership & Coordination of county affairs,"9,820,000","4,255,424",43,585,0
Headquarters,Headquarters,"214,337,852",-,-,585,0
701003260,General Administration support services,"214,337,852",-,-,585,0
"County Emergency
Fund",County Emergency Fund,"10,000,000",-,-,585,0
701003260,General Administration support services,"10,000,000",-,-,585,0
Planning,Planning,"32,448,504","20,258,403",62,585,0
713003260,Public Finance Management,"27,426,837","15,585,337",57,585,0
714003260,Economic Policy Formulation & Management,"5,021,667","4,673,066",93,585,0
"County Executive
Administration",County Executive Administration,"10,000,000","7,450,000",75,585,0
701003260,General Administration support services,"10,000,000","7,450,000",75,585,0
Internal Audit Services,Internal Audit Services,"8,170,000","4,297,387",53,585,0
713003260,Public Finance Management,"8,170,000","4,297,387",53,585,0
Revenue Management,Revenue Management,"24,850,000","12,962,072",52,585,0
713003260,Public Finance Management,"24,850,000","12,962,072",52,585,0
Procurement,Procurement,"2,750,000","1,820,291",66,585,0
713003260,Public Finance Management,"2,750,000","1,820,291",66,585,0
Accounting Services,Accounting Services,"21,100,000","19,673,847",93,585,0
