Programme,Sub-Programme,Revised Estimates FY2024/25,col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",414,1
Department of County Executive,,,,,,,,414,1
"General ad-
ministration &
support services",General Administration,"101,065,257","140,000,000","94,429,641","56,688,211",93.4,35.8,414,1
Pending Bills,"Pending Bills -
2023/24FY","86,303,660","1,499,961","49,048,724",-,56.8,0.0,414,1
"Governance &
Administration
Services","Governor’s Statehouse
Services","16,000,000",-,"5,368,900",,33.6,0.0,414,1
,"Coordination and Super-
vision Services","14,000,000",-,"8,556,083",,61.1,0.0,414,1
,"Lake Region Economic
Bloc","5,000,000",-,"5,000,000",,100.0,0.0,414,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",415,0
,Council of Governors,"5,000,000",-,"4,999,200",,100.0,0.0,415,0
,Liaison office - Nairobi,"5,000,000",-,"5,000,000",,100.0,0.0,415,0
,Chief of Staff,"5,000,000",-,"4,999,660",,100.0,0.0,415,0
,Protocol Office,"5,000,000",-,"5,000,000",,100.0,0.0,415,0
,Security Services,"5,000,000",-,"5,000,000",,100.0,0.0,415,0
,"Communication and
Press","5,000,000",-,"4,999,249",,100.0,0.0,415,0
,Political Advisor,"5,000,000",-,"5,000,000",,100.0,0.0,415,0
,Economic Advisor,"5,000,000",-,"4,900,000",,98.0,0.0,415,0
,"Sub- Total-Office of the
Governor","262,368,917","141,499,961","202,301,457","56,688,211",77.1,35.4,415,0
"General ad-
ministration &
support services",Administrative services,"21,900,000",-,"12,795,400",,58.4,0.0,415,0
,"County Cabinet Office/
Assembly","6,000,000",-,"4,646,650",,77.4,0.0,415,0
"County secre-
tary services",County secretary service.,"13,600,000",-,"9,542,220",,70.2,0.0,415,0
,"Sub-Total- County
Secretary","41,500,000",-,"26,984,270",-,65.0,0.0,415,0
"General ad-
ministration &
support services",Administrative services,"25,000,000",-,"18,457,701",,73.8,0.0,415,0
,Security Services,"1,000,000",-,-,,0.0,0.0,415,0
"Cohesion &
peace building",Peace Building Initiatives,"6,250,000",-,"1,246,900",,20.0,0.0,415,0
,"Conflict management &
resolution","6,350,000",-,"2,580,000",,40.6,0.0,415,0
"Research &
Education","Research & Education
Services","1,000,000",-,-,,0.0,0.0,415,0
"Geospatial
information
services.","Geospatial information
services","4,000,000",-,"2,700,000",,67.5,0.0,415,0
"Performance
management
services","Performance Manage-
ment services.","3,700,000",-,"1,650,000",,44.6,0.0,415,0
,"Sub-Total- Deputy
Governor","47,300,000",-,"26,634,601",-,56.3,0.0,415,0
"General ad-
ministration &
support services","General administration
services","25,810,000",-,"15,096,931",,58.5,0.0,415,0
"ICT infrastruc-
ture","ICT infrastructure &
connectivity","2,400,000",-,"1,700,000",,70.8,0.0,415,0
"Communication
services",Communication services,"1,500,000",-,-,,0.0,0.0,415,0
E-governance,Automation services,"500,000",-,-,,0.0,0.0,415,0
E-learning,"Digital curriculum inte-
gration & development.",-,-,-,,0.0,0.0,415,0
Pending Bills,"Pending Bills -
2023/24FY","13,322,900","11,960,500","7,027,300","5,799,200",52.7,100.0,415,0
"Digital inno-
vation",Innovation services,"1,600,000",-,"1,548,500",,96.8,0.0,415,0
,Sub-Total- (ICT),"45,132,900","11,960,500","25,372,731","5,799,200",56.2,100.0,415,0
"General Ad-
ministration &
Support Services","Administrative & support
services","12,650,000",-,"8,087,571",,63.9,0.0,415,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",416,0
"Resource Mobil-
isation Services","Resource Mobilisation
services","2,550,000",-,"2,060,000",,80.8,0.0,416,0
"Cohesion &
peace building",Civic Education,-,-,-,,0.0,0.0,416,0
,Peace Building Initiatives,"1,300,000",-,"1,270,000",,97.7,0.0,416,0
Pending Bills,"Pending Bills -
2023/24FY","8,817,750",-,"8,817,750",,100.0,0.0,416,0
"External part-
nerships & affairs","External partners’ rela-
tions management","7,100,000",-,"4,690,000",,66.1,0.0,416,0
,"Intergovernmental
Relations","1,200,000",-,"500,000",,41.7,0.0,416,0
,"Linkages and partner-
ships","3,600,000",-,"2,830,000",,78.6,0.0,416,0
,"Sub-Total- (Special Pro-
grammes)","37,217,750",-,"28,255,321",-,75.9,0.0,416,0
,Sub-Total,"433,519,567","153,460,461","309,548,380","62,487,411",71.4,40.4,416,0
