Programme,Sub-Programme,Gross Approved Estimates FY 2024/25,col_3,Expenditure,col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"P15-0115004510-
Roads Network
Improvement
Housing and Urban
Development","SP1-0115014510 Road
Network Improvement",,"82,214,879.00",,"2,500,000.00",0,3,319,0
TOTAL NANYUKI MUNICIPALITY,,"37,000,000.00","82,214,879.00","1,100,000.00","2,500,000.00",3,3,319,0
DEPARTMENT: RUMURUTI MUNICIPALITY,,,,,,,,319,0
"P3-0103004510-Gen-
eral Administra-
tion and Planning
Services","SP1 0103014510 Adminis-
tration Services","2,000,000.00",-,"2,000,000.00",-,100,0,319,0
"P15-0115004510-
Roads Network
Improvement
Housing and Urban
Development","SP1-0115014510 Road
Network Improvement",,"5,000,000.00",-,"2,500,000.00",0,50,319,0
TOTAL RUMURUTI MUNICIPALITY,,"2,000,000.00","5,000,000.00","2,000,000.00","2,500,000.00",100,50,319,0
DEPARTMENT: ASSEMBLY,,,,,,,,319,0
,,,,,,,,319,0
"General administra-
tion support services","Compensation of employ-
ees/MCAs","279,598,262.00",-,"171,129,746.00",,61,,319,0
,"Other recurrent expen-
diture","58,631,379.40",,"41,876,048.77",,71,,319,0
,"County Assembly Staff
Car & Mortgage Scheme",-,,-,,,,319,0
,Training of staff,,,,,,,319,0
,Sub total,"338,229,641.40",,"213,005,794.77",,63,,319,0
