Programme,Sub-Programme,"Revised Gross Approved
Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,556,0
County Executive,,-,-,-,-,,,556,0
0,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,556,0
"Administration, Planning and Support Services",,-,-,-,-,,-,556,0
,Management of County Affairs,-,-,-,-,-,-,556,0
County Executive Services,,"441,933,950","57,500,000","273,900,392","3,295,000",62,6,556,0
,"Administration and Coordina-
tion of County Affairs",-,-,-,-,,-,556,0
,Sub-County Administration,"232,428,948","57,500,000","105,767,806","3,295,000",46,6,556,0
,"Coordination, Supervision and
Human Resource Services","152,945,448",-,"122,716,635",-,80,-,556,0
,Management of County Affairs,"56,559,554",-,"45,415,951",-,80,-,556,0
Organisation of County Business,,-,-,-,-,,-,556,0
,"Public Sector Advisory
Services",-,-,-,-,,-,556,0
"Economic, Social & Political Advisory Service",,"23,180,060",-,"14,128,595",-,61,-,556,0
,County Policing,-,-,-,-,,-,556,0
,"General Administration Plan-
ning and Support Services","23,180,060",-,"14,128,595",-,61,-,556,0
"Administration of Human Resources in County
Public Service",,"64,514,274",-,"49,191,681",-,76,-,556,0
,"General Administration Plan-
ning and Support Services","64,514,274",-,"49,191,681",-,76,-,556,0
"Administration
Services",,-,-,-,-,-,-,556,0
,Special Programs,-,-,-,-,-,-,556,0
Special Programs,,-,-,-,-,-,-,556,0
,Special Programs,-,-,-,-,-,-,556,0
,Grand Total,"529,628,284","57,500,000","337,220,669","3,295,000",64,6,556,0
"Finance, Economic
Planning & ICT",,-,-,-,-,-,-,556,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,-,-,556,0
"Administration
Services",,"389,720,320","54,500,000","209,293,506","16,868,960",54,31,556,0
,System Security,"361,966,826",-,"197,948,118",-,55,-,556,0
,Public Finance Management,"27,753,494","54,500,000","11,345,388","16,868,960",41,31,556,0
Fiscal Planning,,"345,355,767","1,000,000","203,465,022",-,59,-,556,0
,Resource Mobilisation,"42,016,782",-,"17,616,222",-,42,-,556,0
,"Budget Formulation, Coordi-
nation and Management","101,068,085","1,000,000","66,925,765",-,66,-,556,0
,"Public Finance and Account-
ing","19,274,085",-,"6,497,352",-,34,-,556,0
,Internal Audit,"51,858,058",-,"33,246,286",-,64,-,556,0
,Data Management,"21,827,424",-,"15,805,303",-,72,-,556,0
,Procurement,"35,233,332",-,"13,930,305",-,40,-,556,0
,"Monitoring & Evaluation /
Statistical","31,699,489",-,"11,260,398",-,36,,556,0
,Special Programs,"42,378,512",-,"38,183,390",-,90,,556,0
,,Rec,Dev,Rec,Dev,Rec,Dev,557,0
Special Programs,,"30,237,298",-,"19,287,358",-,64,,557,0
,"General Administration(Eco-
nomic Planning and ICT)","30,237,298",-,"19,287,358",-,64,,557,0
"General Adminis-
tration (Economic
Planning and ICT)",,"9,516,339",-,"5,013,060",-,53,,557,0
,Grand Total,"9,516,339",-,"5,013,060",-,53,,557,0
,Grand Total,"774,829,724","55,500,000","437,058,945","16,868,960",56,30,557,0
"Agriculture, Live-
stock Development,
Veterinary Services
& Fisheries",,-,-,-,-,,,557,0
,"General Administration Plan-
ning and Support Services",-,-,-,-,,,557,0
"Administration,
Planning and Sup-
port Services",,"62,172,503",-,"53,005,092",-,85,,557,0
,"Livestock Resource Manage-
ment and Development","62,172,503",-,"53,005,092",-,85,,557,0
"Promotion of Value
Addition of Live-
stock and Livestock
Products",,"78,102,168","414,950,000","55,930,939","126,659,570",72,31,557,0
,"Promotion of Dairy Produc-
tion, Breeding and Disease
Control","21,359,356","414,950,000","15,182,270","126,659,570",71,31,557,0
,"Livestock marketing and
rangeland management","25,978,625",-,"17,010,002",-,65,,557,0
,"Livestock Diseases Manage-
ment and Control","14,237,971",-,"11,378,278",-,80,,557,0
,,"16,526,216",-,"12,360,390",-,75,,557,0
"Development of
capture fisheries
resources",,"13,281,512","14,500,000","9,825,948","6,460,690",74,45,557,0
,"Crop Production and Man-
agement","13,281,512","14,500,000","9,825,948","6,460,690",74,45,557,0
"Crop Production
and Food Security",,"60,330,681","229,795,842","51,059,599","22,416,575",85,10,557,0
,"Agricultural Extension Re-
search and Training","16,730,849",-,"14,985,135",-,90,,557,0
