Programme,Sub-Programme,"Budget Estimates
(Kshs)","Actual Expenditure
(Kshs)","Absorption
Rate (%)",page_number,table_index
Low-Cost Energy Services,Low-Cost Energy Services,"27,500,000","8,140,229",30,62,0
Tourism Development,Tourism Development,"2,000,000","132,583",7,62,0
,Tourism Development and Promotion,"2,000,000","132,583",7,62,0
Trade Development,Trade Development,"25,800,000","13,206,239",51,62,0
,Domestic and International Trade Development,"25,800,000","13,206,239",51,62,0
Industrial Development,Industrial Development,"2,000,000","44,938",2,62,0
,Industrial Development and Support,"2,000,000","44,938",2,62,0
Investment Promotion,Investment Promotion,"1,500,000","725,000",48,62,0
,Promote investments in the county,"1,500,000","725,000",48,62,0
Policy and Administration,Policy and Administration,"1,648,123,854","1,197,912,345",73,62,0
,"Policy, Planning & General Administrative Services","1,463,397,433","1,108,823,197",76,62,0
,Support to health facilities(11.6M/month),"184,726,421","89,089,148",48,62,0
"Preventive and Promotive
Health Services",Preventive and Promotive Health Services,"308,100,782","1,110,000",0,62,0
,Health promotion: Nutrition interventions,"148,140,000",-,0,62,0
,Communicable disease prevention & control,"159,960,782","1,110,000",1,62,0
Curative Health Services,Curative Health Services,"256,287,510","77,817,046",30,63,0
,"Commodities, Pharmaceutical, non-pharmaceutical,
reagents, linen","247,037,510","75,129,116",30,63,0
,Emergency Response Services,"9,250,000","2,687,930",29,63,0
,Reproductive Health Services,"10,000,000","1,017,000",10,63,0
,"Immunisation, Mother and Child Services","10,000,000","1,017,000",10,63,0
,Health Infrastructure,"165,000,000","16,404,842",10,63,0
,Construction of Buildings,"145,000,000","11,855,042",8,63,0
,Medical equipment,"20,000,000","4,549,800",23,63,0
"Early Childhood Develop-
ment and Education",Early Childhood Development and Education,"371,237,070","130,970,868",35,63,0
,"Policy, Planning & General Administrative Services","206,614,159","99,960,355",48,63,0
,Furniture in ECD,"4,500,000",-,0,63,0
,Development of ECD Infrastructure/ Refurbishment,"149,000,000","31,010,513",21,63,0
,Support to ECD Centres,"11,122,911",-,0,63,0
"Technical Vocational Edu-
cational and Training",Technical Vocational Educational and Training,"108,000,000","34,531,470",32,63,0
,Early Childhood Development and Education,"108,000,000","34,531,470",32,63,0
"Youth Training and Devel-
opment",Youth Training and Development,"36,706,245","19,399,743",53,63,0
,"Policy, Planning & General Administrative Services","28,706,245","16,274,051",57,63,0
,Revitalisation of Youth Programs,"8,000,000","3,125,693",39,63,0
"Social Development and
Social Services",Social Development and Social Services,"48,651,628","16,493,873",34,63,0
,"Policy, Planning & General Administrative Services","45,651,628","13,975,634",31,63,0
,"Gender, Children’s Services and Social Protection","3,000,000","2,518,239",84,63,0
Culture and library services,Culture and library services,"3,973,556",-,0,63,0
,Cultural Development and Library Services,"3,973,556",-,0,63,0
,"PWDS, Women and Youth Empowerment",-,-,,63,0
"Economic Policy and
Planning",Economic Policy and Planning,"95,736,569","74,979,008",78,63,0
,"Policy, Planning & General Administrative Services","59,187,995","49,840,058",84,63,0
,Economic Planning and Coordination Services,"7,200,000","4,604,900",64,63,0
,Monitoring and Evaluation,"6,548,574","2,928,000",45,63,0
,Development of county statistics,"22,800,000","17,606,050",77,63,0
,Financial Management,-,-,,63,0
,Flagship Projects,"170,000,000","12,900,399",8,63,0
,Flagship Projects,"170,000,000","12,900,399",8,63,0
Finance Management,Finance Management,"234,555,173","118,119,602",50,63,0
,Administrative Services,"116,663,546","68,268,944",59,63,0
,Resource Mobilization,"500,000",-,0,63,0
,Budget Coordination and Management,"7,200,000","5,100,000",71,63,0
,Audit Services,"10,521,627","1,605,400",15,63,0
,ICT Services,"29,670,000","13,085,866",44,63,0
,ICT Infrastructure,"11,000,000",-,0,63,0
,Other Development,"59,000,000","30,059,392",51,63,0
Water and Climate Change,Water and Climate Change,"469,843,953","177,694,783",38,63,0
,"Policy, Planning & General Administrative Services","27,073,100","18,213,363",67,63,0
,"Sanitation, Water supply and Irrigation development
services","257,500,800","159,481,420",62,63,0
,Waste Management,"5,000,000",,0,63,0
,WASH Programme,"180,270,053",-,0,63,0
