Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.)",col_3,"Actual Expenditure as of 31 March 2025
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,301013060,"10,199,500","3,200,000","1,312,569.55",,,,301,0
,301043060,"3,383,929",,"1,165,635.20",,,,301,0
302003066,,"6,012,000",,"1,351,629.45",,22,,301,0
,302023060,"6,012,000",,"1,351,629.45",,,,301,0
305003066,,"86,242,061","141,400,876","53,047,785.90","62,864,771.30",62,44,301,0
,305013060,"39,847,363",,"28,368,862.20",,,,301,0
,305023060,"46,394,698","141,400,876","24,678,923.70","62,864,771.30",,,301,0
306003066,,"3,697,000","17,197,285","1,318,729.45",,36,0,301,0
,306013060,"3,697,000",0,"1,318,729.45",,,,301,0
,306023060,0,"17,197,285",0,0,,0,301,0
307003066,,"5,961,607","468,672,229","584,441.40","24,558,229.40",10,5,301,0
,307013060,"5,961,607","468,672,229","584,441.40","24,558,229.40",,,301,0
,,"115,496,097","630,470,390","58,780,790.95","87,423,000.70",51,14,301,0
3067-Kwale - Social Services,,,,,,,,301,0
903003067,,"11,220,000","2,500,000","3,788,050",,34,0,301,0
,903013060,0,0,0,,,,301,0
,903023060,"5,220,000","2,500,000","1,286,750",,,,301,0
,,Rec,Dev,Rec,Dev,Rec,Dev,302,0
,903033060,"6,000,000",,"2,501,300",,,,302,0
904003067,,"13,510,000",,"1,230,000",,9,,302,0
,904013060,"13,510,000",,"1,230,000",,,,302,0
905003067,,"9,710,000","175,000,000","1,662,628","129,693,275",17,74,302,0
,905013060,"9,710,000",,"1,662,628",,,,302,0
,905023060,0,"175,000,000",,"129,693,275",,,302,0
906003067,,"91,684,863","126,610,942","59,655,239.35","79,252,077.70",65,63,302,0
,906013060,"39,180,227",,"28,866,416.10",,,,302,0
,906023060,"52,504,636","126,610,942","30,788,823.25","79,252,077.70",,,302,0
,,"126,124,863","304,110,942","66,335,917.35","208,945,352.70",53,69,302,0
3068-Kwale - Executive,,,,,,,,302,0
702003068,,"7,044,400",,"450,000",,6,,302,0
,702013060,"7,044,400",,"450,000",,,,302,0
704003068,,"150,763,028",,"79,759,007.10",,53,,302,0
,704013060,"74,462,091",,"57,446,433.20",,,,302,0
,704043060,"76,300,937",,"22,312,573.90",,,,302,0
707003068,,"6,160,000",,"2,565,600",,42,,302,0
,707033060,"6,160,000",,"2,565,600",,,,302,0
,,"163,967,428",,"82,774,607.10",,50,,302,0
"3069-Kwale -
Education",,,,,,,,302,0
501003069,,"51,182,500","59,843,056","3,438,794",,7,0,302,0
,501013060,"51,182,500","59,843,056","3,438,794",,,,302,0
502003069,,"738,849,885","271,128,481","515,383,396.60","185,217,961.80",70,68,302,0
