Program,Sub Program,Revised Gross Approved Estimates,col_3,Actual Expenditure,col_5,Absorption rate (%),col_7,page_number,table_index
"Early Childhood
Development",,"176,920,000.00","81,890,376.00","1,270,315.00",-,0.72,-,669,0
,ECD Development,"176,920,000.00","81,890,376.00","1,270,315.00",-,0.72,-,669,0
"Administration,
Planning and
Support Service",,"1,124,479,248.00","175,722,151.00","832,103,398.80","102,005,398.60",74.00,58.05,669,0
,"Administrative
Service","1,095,838,761.00","164,222,151.00","818,083,485.80","99,005,398.60",74.65,60.29,669,0
,"County Adminis-
tration","20,800,000.00","9,500,000.00","13,823,563.00","3,000,000.00",66.46,31.58,669,0
,"County Radio Infor-
mation Services","7,840,487.00","2,000,000.00","196,350.00",-,2.50,-,669,0
"Public Finance
Management",,"65,676,806.00",-,"49,030,611.00",-,74.65,,669,0
,"Public Finance Man-
agement","9,080,002.00",-,"8,471,221.00",-,93.30,-,669,0
,Accounting Services,"5,047,000.00",-,"3,032,245.00",-,60.08,-,669,0
,Audit Services,"5,302,298.00",-,"4,499,932.00",-,84.87,-,669,0
,"Budget Formulation
Coordination","16,850,000.00",-,"13,939,710.00",-,82.73,-,669,0
,Resource Mobilisation,"22,782,653.00",-,"13,805,205.00",-,60.60,-,669,0
,"Budget Expenditure
Management","6,614,853.00",-,"5,282,298.00",-,79.86,-,669,0
"County Plan-
ning Services",,"8,646,618.00",-,"5,897,503.00",-,68.21,-,669,0
,"Monitoring and
Evaluation","4,650,000.00",-,"2,191,920.00",-,47.14,-,669,0
,"Coordination of
Policy Formulation
and Plans","3,996,618.00",-,"3,705,583.00",-,92.72,-,669,0
"Coordination
and Supervisory
Services",,"26,649,288.00",-,"21,978,270.00",-,82.47,-,669,0
,"Performance Man-
agement","8,024,644.00",-,"5,903,870.00",-,73.57,-,669,0
,"Disaster Management
and Mitigation","18,624,644.00",-,"16,074,400.00",-,86.31,-,669,0
