Programme,Sub-Programme,"Revised Gross Approved Esti-
mates(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,346,1
Office of the Governor,,,,,,,,346,1
"Coordination
and Supervisory
Services","Office of the Gover-
nor- Headquarters","385,656,506","26,852,354","251,379,707","3,707,128",65%,14%,346,1
,Transport Services,"75,477,181",-,"42,430,710",,56%,0%,346,1
,"Office of the County
Secretary","57,791,785","19,125,340","25,448,179",-,44%,0%,346,1
,"Office of the County
Advisors","47,087,201",-,"25,623,257",-,54%,0%,346,1
,"Human Resource
and Administration
Services","72,083,109",-,"30,794,333",-,43%,0%,346,1
,"Hospitality Services
Section","55,342,684",-,"15,002,768",-,27%,0%,346,1
,"Office of the Deputy
Governor","84,902,064","7,334,480","56,638,739",-,67%,0%,346,1
,Cabinet Office,"19,005,239",,"1,994,600",,10%,0%,346,1
,Sub-Total,"797,345,769","53,312,174","449,312,293","3,707,128",56%,7%,346,1
County Public Service Board,,,,,,,,346,1
"Human Resource
and Administra-
tion","Human Resource and
Administration","38,013,709","18,000,000","28,494,904",-,75%,0%,346,1
,Sub-Total,"38,013,709","18,000,000","28,494,904",-,75%,0%,346,1
"Roads, Transport and Public Works",,,,,,,,346,1
"Roads and Trans-
port","General Adminis-
tration and Support
Services","257,730,520","35,565,769","139,538,529","9,529,338",54%,27%,346,1
,"Road Development
and Maintenance","1,505,000","814,647,704","468,400","261,298,561",31%,32%,346,1
,"County Fleet Manage-
ment",,"115,719,621",,"70,584,958",,61%,347,0
Public Works,"County Government
Buildings Services","18,080,000","46,675,417","6,987,525","8,435,233",39%,18%,347,0
,Sub-Total,"277,315,520","1,012,608,511","146,994,454","349,848,090",53%,35%,347,0
Health Services & Emergency Services,,,,,,,,347,0
"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services","3,544,357,190","405,816,455","2,733,535,662","145,574,398",77%,36%,347,0
"Curative and
Rehabilitative
Health",Machakos Level 5,"246,379,350","4,000,000","213,113,852",,86%,0%,347,0
,Kangundo Level 4,"46,100,000","12,000,000","39,900,000",,87%,0%,347,0
,Matuu Level 4,"38,500,000","24,000,000","37,792,584",,98%,0%,347,0
,Kathiani Level 4,"50,500,000","10,500,000","39,500,000",,78%,0%,347,0
,Mwala Level 4,"32,500,000","10,000,000","31,500,000",,97%,0%,347,0
,Kimiti Level 4,"26,500,000","6,000,000","23,845,758",,90%,0%,347,0
,Masinga Level 4,"33,600,000","3,000,000","29,400,000",,88%,0%,347,0
,Athi River Level 4,"20,500,000","8,000,000","17,900,000",,87%,0%,347,0
,Mutituni Level 4,"20,500,000","6,000,000","17,699,950",,86%,0%,347,0
,Ndithini Level 4,"22,500,000","14,000,000","16,930,295",,75%,0%,347,0
,Kalama Level 4,"25,500,000","5,000,000","21,200,000",,83%,0%,347,0
"Preventive and
Promotive Ser-
vices",Public Health,"240,203,470","99,262,541","110,412,720","20,262,541",46%,20%,347,0
,Sub-Total,"4,347,640,010","607,578,996","3,332,730,821","165,836,939",77%,27%,347,0
"Water, Irrigation, Environment and Climate Change",,,,,,,,347,0
"Water Resources
Management","Water Resources
Management","103,689,399","201,393,207","83,919,924","28,168,402",81%,0%,347,0
"Development
and Promotion of
Irrigation","Development and Pro-
motion of Irrigation",,"9,561,724",,-,,0%,347,0
"Sewerage System
and Sanitation
Management","Sewerage System and
Sanitation Manage-
ment","5,940,000","80,757,521","4,648,758",-,78%,0%,347,0
"General Ad-
ministrative and
Support Services","General Adminis-
trative and Support
Services","2,750,000",,"2,551,091",,93%,0%,347,0
"Environment and
Natural Resources","Environment and
Natural Resources","12,736,938","22,908,000","4,076,438","7,935,000",32%,0%,347,0
Climate Change,Climate Change,"38,484,159","349,467,723","3,269,900",-,8%,0%,347,0
Sub-Total,,"163,600,496","664,088,175","98,466,111","36,103,402",60%,0%,347,0
"Agriculture, Food Security and Co-operative Development",,,,,,,,347,0
"Agriculture and
Food Security","General Adminis-
tration and support
services","246,320,763","444,695,363","203,013,816","63,219,612",82%,0%,347,0
"Co-operative
Development","Co-operative Develop-
ment and Marketing","30,915,596","10,697,849","8,712,944","2,898,000",28%,0%,347,0
Sub-Total,,"277,236,359","455,393,212","211,726,760","66,117,612",76%,0%,347,0
"Finance, Economic Planning & Revenue Management",,,,,,,,347,0
"Resource mobili-
sation",Revenue Management,"410,303,059","36,614,450","296,971,586","2,714,450",72%,7%,347,0
County Treasury,"Budget formulation,
Coordination and
Implementation","63,291,024","42,941,650","55,648,028",,88%,0%,347,0
,"Supply Chain Manage-
ment Section","10,741,192",,"7,061,873",,66%,0%,347,0
,Accounts Services,"200,174,846","554,917,949","163,621,636","542,940,113",82%,98%,347,0
,Audit Section,"15,112,288","12,923,347","12,428,471",,82%,0%,347,0
,"Human Resource
Management and
Support Services","239,802,501",,"135,604,064",-,57%,0%,348,0
"Economic Plan-
ning & External
Resource Mobili-
sation","Economic Planning
and Statistical Services","58,251,914","3,000,000","13,058,193",-,22%,0%,348,0
,"Monitoring and
Evaluation","15,760,199",,"3,300,000",-,21%,0%,348,0
,"External Resource
Mobilisation","6,216,166",,"520,000",-,8%,0%,348,0
"Directorate of
Governors Project
Delivery Unit","Directorate of Gover-
nors Project Delivery
Unit","29,141,939",,"3,099,220",-,11%,0%,348,0
ICT,"ICT General Admin-
istration and support
services","48,055,132","64,995,254","1,708,585","4,962,091",4%,8%,348,0
,ICT Infrastructure,,,,-,0%,0%,348,0
,"Closed-Circuit Tele-
vision",,,,-,0%,0%,348,0
,"Public Communi-
cation","59,980,860","8,864,841","17,133,800",-,29%,0%,348,0
Sub-Total,,"1,156,831,120","724,257,491","710,155,456","550,616,654",61%,76%,348,0
"Gender, Youth, Sports & Social Welfare",,,,,,,,348,0
Youth and Sports,"Administrative
Services",,,,-,0%,,348,0
,Stadium Management,"78,147,105","168,941,334","62,817,750","9,797,320",80%,6%,348,0
,Sports,0,,,-,0%,0%,348,0
,Youth Empowerment,,,,-,0%,0%,348,0
"Gender and Social
Welfare","Administrative
Services","59,174,560","17,752,529","28,787,976",-,49%,0%,348,0
,Special Programmes,,"95,000,000",,-,,0%,348,0
,Digital Economy,"6,650,000","25,000,000","3,712,635",-,56%,0%,348,0
Sub-Total,,"143,971,665","306,693,863","95,318,362","9,797,320",66%,3%,348,0
"Trade, Industry, Tourism & Innovation",,,,,,,,348,0
"Trade, Industry
and Innovation","Headquarters & Ad-
ministrative Services","21,462,140",,"8,524,357",-,40%,0%,348,0
,"Trade and External
Relations","689,166","19,410,715","241,980","9,366,372",0%,48%,348,0
,"Small and medi-
um-sized Enterprises","9,857,576","47,673,852","5,130,713","3,028,124",52%,6%,348,0
,"Industrialisation and
Innovation","23,919,656","191,555,385","15,650,662",-,65%,0%,348,0
,Investment Promotion,"23,019,152",,"9,007,415",-,39%,0%,348,0
"Tourism Adminis-
trative & Support
Services","Tourism Administra-
tive & Support Service","50,619,360",,"27,790,562",-,55%,0%,348,0
,Heritage & Culture,"1,700,000",,"998,410",-,59%,0%,348,0
,Liquor Management,"7,809,818",,"6,000,000",-,77%,0%,348,0
,"Tourism Development
and Marketing","8,500,000",,"8,224,340",-,97%,0%,348,0
,"Management of Recre-
ational Services","4,000,000","12,000,000","2,500,000",--,63%,0%,348,0
,Machawood,"4,000,000","1,500,000","3,595,160",-,90%,0%,348,0
,"County Image Direc-
torate","1,000,000",,"999,891",-,100%,0%,348,0
Sub-Total,,"156,576,868","272,139,952","88,663,491","12,394,497",57%,5%,348,0
Education,,,,,,,,348,0
"General Admin-
istration and
Support Service","Headquarters admin-
istrative services","634,870,229","52,163,635","413,686,746","31,564,896",65%,61%,348,0
Basic Education,Basic Education,"623,191",,"210,796",-,34%,#DIV/0!,349,0
,"Youth Development
Services",,,,-,0%,0%,349,0
,Vocational Training,"127,078,900","53,624,072","41,370,862","33,910,830",33%,63%,349,0
Sub-Total,,"762,572,320","105,787,707","455,268,404","65,475,726",60%,62%,349,0
"Lands, Urban Development, Housing & Energy",,,,,,,,349,0
"Lands and Physi-
cal Planning","Lands and Physical
Planning","63,377,057","21,169,005","30,929,362",-,49%,0%,349,0
"County Electrifi-
cation",County Electrification,"26,686,470","118,306,546","12,326,166","57,812,930",46%,49%,349,0
"Housing and Ur-
ban Development","Housing and Urban
Development","135,614,119","980,000","64,235,731",-,47%,0%,349,0
,"Machakos Munici-
pality","7,765,795","185,225,140","5,000,000",-,64%,0%,349,0
,Mavoko Municipality,"10,200,000","11,386,700","6,160,542","3,989,850",60%,35%,349,0
,"Kangundo Tala Mu-
nicipality","7,560,000","8,692,770","5,000,000",-,66%,0%,349,0
Sub-Total,,"251,203,441","345,760,161","123,651,801","61,802,780",49%,18%,349,0
Devolution,,,,,,,,349,0
"Public Service
and Performance
Management","General Adminis-
tration and support
services","616,922,720","2,400,200","507,071,599",-,82%,0%,349,0
,"Performance Manage-
ment","7,500,000",,-,-,0%,0%,349,0
,"Training, Research
and Development","54,176,614",,"16,531,077",-,31%,0%,349,0
,"Human Resource
Development","16,000,000",,"14,770,657",-,92%,0%,349,0
"County Adminis-
tration & Decen-
tralised Units","General Adminis-
tration and support
services","365,372,243","30,047,111","225,246,743","21,211,076",62%,0%,349,0
"Public partici-
pation, citizen
engagement, and
customer care",Civic Engagement,"7,500,000","11,000,000","4,891,192",-,65%,0%,349,0
,"Administration and
Co-ordination","5,850,000",,"1,050,000",-,18%,0%,349,0
,"Other capital grants
and transfers (Equali-
sation fund)",,,,-,,0%,349,0
,"Solid Waste Manage-
ment","15,020,000",,"8,519,500",-,57%,0%,349,0
"Inspectorate,
Firefighting
and Emergency
Services","Inspectorate Services
and Management","154,206,459","16,110,733","8,440,740","8,379,585",5%,52%,349,0
,Emergency Services,"9,800,000",,"7,550,000",-,77%,0%,349,0
Sub-Total,,"1,252,348,036","59,558,044","794,071,506","29,590,661",63%,50%,349,0
Office of the County Attorney,,,,,,,,349,0
,Legal Services,"86,851,773",,"48,570,180",-,56%,0%,349,0
Sub-Total,,"86,851,773",-,"48,570,180",-,56%,0%,349,0
County Assembly,,,,,,,,349,0
,"Representation, Over-
sight & Legislative","1,114,313,264","174,400,000","605,454,726","2,012,906",54%,1%,349,0
,Sub-Total,"1,114,313,264","174,400,000","605,454,726","2,012,906",54%,1%,349,0
Grand Total,,"10,825,820,350","4,799,578,286","7,188,879,268","1,353,303,716",66%,28%,349,0
