Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,271,0
"Physical Planning, Lands, Housing and Urban Development",,,,,,,,271,0
"Planning and Coor-
dination Services","Planning and Coordina-
tion Services","10,000,000",,"1,271,477",,12.7,,271,0
County Survey,County Survey,"10,000,000",,"934,400",,9.3,,271,0
"Physical Planning
Services","Physical Planning
Services","18,744,100",,"7,101,215",,37.9,,271,0
"County Housing
Management","County Housing Man-
agement","10,000,000",,"1,147,440",,11.5,,271,0
"Management of
Stations",Management of Stations,"10,000,000",,"1,899,840",,19.0,,271,0
"Urban Planning and
Development","Urban Planning and
Development","7,291,680",,"1,865,700",,25.6,,271,0
"General Administra-
tion and Planning","General Administration
and Planning","74,982,279","943,300,000","36,309,033","32,400,000",48.4,3.4,271,0
"Administrative
Services",Administrative Services,"10,000,000",,"2,001,640",,20.0,-,271,0
,Sub Total,"151,018,059","943,300,000","52,530,745","32,400,000",34.8,3.4,271,0
"Agriculture, Livestock, Food and Fisheries",,,,,,,,271,0
"Planning and Ad-
ministration","Planning and Admin-
istration","28,331,252","291,199,910","80,000","36,255,442.90",0.3,12.5,271,0
"Promotion of Mecha-
nisation","Promotion of Mecha-
nisation","352,500",,,,0.0,-,271,0
"Promotion of Soil
and Water Manage-
ment","Promotion of Soil and
Water Management","404,250",,"124,600",,30.8,-,271,0
"Promotion of Crop
Production Value
Chains","Promotion of Crop Pro-
duction Value Chains","1,185,100",,"744,000",,62.8,-,271,0
,,Rec,Dev,Rec,Dev,Rec,Dev,272,0
"Management of
Agriculture Advisory
Services","Management of
Agriculture Advisory
Services","10,516,538",,"5,564,829",,52.9,-,272,0
"Development of
Product Quality
Assurance","Development of Prod-
uct Quality Assurance","276,500",,,,0.0,-,272,0
"Agriculture Sector
Planning and Man-
agement","Agriculture Sector Plan-
ning and Management","102,725",,,,0.0,-,272,0
"Management of
Stations",Management of Stations,"31,731,412",,"9,685,665",,30.5,-,272,0
"Promotion of Live-
stock Production
Value Chains","Promotion of Livestock
Production Value
Chains","6,740,000",,"5,308,672",,78.8,-,272,0
"Agriculture input
Access","Agriculture input
Access","54,350",,,,0.0,-,272,0
"Agriculture Credit
Access","Agriculture Credit
Access","396,550",,,,0.0,-,272,0
"Promotion of Value
Addition","Promotion of Value
Addition","318,750",,"91,000",,28.5,-,272,0
"Promotion of Agri-
business","Promotion of Agribusi-
ness","133,000",,,,0.0,-,272,0
"Human Resource De-
velopment Services","Human Resource De-
velopment Services","1,314,600",,"157,000",,11.9,-,272,0
,Sub Total,"81,857,527","291,199,910","21,755,766","36,255,443",26.6,12.5,272,0
County of Kisumu,,,,,,,,272,0
