Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
March 2025",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",596,0
Office of the Governor,,,,,,,,596,0
Executive Services,"County leadership &
coordination of CDAs","58,000,000",-,"31,471,361",-,68,-,596,0
,"County Government
Advisory Service","53,000,000",-,"35,928,704",-,73,-,596,0
,"Coordination of peace
and cohesion","37,500,000",-,"31,493,465",-,107,-,596,0
,Sub Total,"148,500,000",-,"98,893,530",-,-,-,596,0
"General Admin-
istration, Plan-
ning and support
services","General Adminis-
tration, Planning and
support services","410,467,389",-,"354,034,016",-,108,-,596,0
,Sub Total,"410,467,389",-,"354,034,016",-,,-,596,0
,Grand Total,"558,967,389",-,"452,927,546",,100,,596,0
Finance and Economic Planning,,,,,,,,596,0
"Public Finance
Management",PFM Enhancement,"5,789,349",,"4,230,400",-,73,-,596,0
,"Economic Planning and
Budgeting","33,625,694",,"31,062,678",-,92,-,596,0
,"Monitoring and Eval-
uation","17,980,523",,"16,953,300",-,94,-,596,0
,"Supply chain manage-
ment services","20,700,000",,"19,765,300",-,95,-,596,0
,"Own Source revenue
collection","21,620,000",,"16,655,215",-,77,-,596,0
,Accounting & Finance,"25,700,000",,"20,324,106",-,46,-,596,0
,Internal Audit,"12,782,110",,"10,893,200",-,85,-,596,0
"General admin,
planning, &
Support services",General Administration,"307,713,554","673,476,870","612,211,335","514,735,606",199,-,596,0
,Grand Total,"445,911,230","673,476,870","732,095,534","514,735,606",158,,596,0
County Public Service Board,,,,,,,,596,0
"General Adminis-
tration, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","68,378,300",-,"59,749,285",-,87,-,596,0
"Ethics, Governance
and Compliance","Ethics, Governance and
Compliance","2,506,960",,"1,790,670",-,-,-,596,0
"Skills and compe-
tency development","Skills and competency
development","2,253,824",-,"1,330,600",-,59,-,596,0
"Human Resource
management and
development","Human Resource man-
agement and develop-
ment","4,162,316",-,"3,530,700",-,85,-,596,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",597,0
,Grand Total,"77,301,400",-,"66,401,255",-,86,,597,0
"Trade, Tourism and Cooperative Development",,,,,,,,597,0
"Promotion of trade
and tourism","Trade, weights and
measures","22,199,849","18,000,000","17,695,114",-,66,0%,597,0
,Tourism promotion,"12,399,849","7,000,000","8,013,577",-,50,-,597,0
,Industrial development,"6,000,000","100,000,000",,"36,524,897",-,-,597,0
,"Cooperative Develop-
ment","10,000,000","5,000,000","6,699,778",-,45,-,597,0
,Grand Total,"50,599,698","130,000,000","32,408,469","36,524,897",56,0%,597,0
Agriculture and Rural Development,,,,,,,,597,0
"Agricultural Devel-
opment",Crop Husbandry,"76,184,008","31,400,000","4,510,663",-,65,-,597,0
,Plant Disease Control,"1,600,000",,"879,011",-,55,-,597,0
,"Agricultural Mechani-
sation Services (AMS)","25,614,500",,"22,041,632",-,49,-,597,0
,NAVCDP,"5,000,000","173,076,923","20,000,000",-,25,-,597,0
,FSRP,"5,000,000","151,515,152",,-,,-,597,0
,KABDP,"10,000,000",-,"5,000,000",-,100,-,597,0
,FAO,"914,500","11,918,909","1,000,000",-,80,-,597,0
,"General Administra-
tion, Planning and
Support Services","13,082,788","7,000,000","18,567,800",-,0,-,597,0
,Sub Total,"137,395,796","374,910,984",,,,,597,0
"Fisheries Develop-
ment","Empowerment of
women and youth on
fish safety and quality
assurance","1,420,000",-,"1,230,000",-,0,-,597,0
,"Construction of an ice
plant and cold storage","1,475,000",-,"15,487,895.20",-,77,-,597,0
,Development,-,-,,-,-,-,597,0
,"General Administra-
tion, Planning and
Support Services","1,687,000",-,"2,197,555",-,8,-,597,0
,Sub-total,"4,582,000",-,,,,,597,0
Veterinary services,Extension services,"1,118,500",-,"35,266,533",-,93,0%,597,0
,"Breed improvement
and artificial insemi-
nation","685,000",-,"1,423,082",-,58,-,597,0
,"Veterinary Public
Health/Abattoirs","1,182,846",-,"395,700",-,35,-,597,0
,"Leather Development
Services","382,000",-,"25,170,300",-,96,-,597,0
,"Control Tsetse fly and
Laboratory Services","2,468,872",-,"2,340,000",-,0,-,597,0
,"Conduct disease sur-
veillance and carry out
timely vaccination","6,404,100",-,"15,000,000",-,65,-,597,0
,"General Administra-
tion, Planning and
Support Services","2,407,500","7,000,000","7,500,000",-,0,-,597,0
,Sub-total,"14,648,818","7,000,000",,,,,597,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",598,0
,"General adm. planning
& support","7,189,975",,,-,-,-,598,0
Livestock services,"Livestock Extension
Services","1,192,500",0,"382,250",-,21,-,598,0
,Animal Husbandry,"1,688,695",0,"558,900",-,43,-,598,0
,Sub-Total,"10,071,170",-,"8,441,150",-,9,-,598,0
,Grand Total,"166,697,784","381,910,984","8,441,150",-,64,-,598,0
"Gender, Social Service and Youth Development",,,,,,,,598,0
Child Protection.,"Baseline Survey for
OVC","3,700,000",-,"593,000",-,12,-,598,0
,"Community Aware-
ness creation on Child
Rights and Child
Protection","2,000,000",-,,-,0,-,598,0
,"Enhanced Child Partic-
ipation","2,700,000",-,"300,000",-,70,-,598,0
"Social Develop-
ment and Protec-
tion.",Women empowerment,"12,950,000",-,"181,800",-,39,-,598,0
,Gender and Leadership,"14,050,000","1,500,000","7,539,808",-,59,-,598,0
"Sports Training and
Competitions",County sports leagues,"17,125,430",-,"2,248,130",-,29,-,598,0
,"Sports equipment and
support","8,000,000",-,,-,0,-,598,0
,Sub-Total,"60,525,430",-,"10,862,738",-,37,-,598,0
,"General admin.&sup-
port services","7,000,000",-,-,-,-,-,598,0
PWDS,"Development of disabil-
ity Act regulations","6,000,000",-,-,-,-,-,598,0
,"National celebration for
disabilities","2,000,000",-,-,-,-,-,598,0
,Sub-total,"15,000,000",-,-,-,-,-,598,0
"Culture and art
development","Culture Promotion and
Development","19,550,000",-,"1,976,520",-,15,-,598,0
,"Empowerment/Capac-
ity building of cultural
practitioners","8,500,000","2,000,000","1,031,600",-,21,-,598,0
,Sub-Total,"28,050,000",-,"3,008,120",-,16,,598,0
"General admin-
istration, support
and planning","General administration,
support and planning","3,440,000",-,"2,689,200",-,38,-,598,0
,Sub-Total,"3,440,000",-,"2,689,200",-,38,-,598,0
,Grand Total,"107,015,430","3,500,000","16,560,058",-,30,,598,0
"Education, Vocational training and ECDE",,,,,,,,598,0
"Early Child Care
Services","ECDE quality educa-
tion standards service","30,300,000","86,800,000","484,000",-,48,-,598,0
,"ECDE Access and
Retention Services","11,156,327","4,000,000","2,993,000",-,6,-,598,0
,Sub Total,"41,456,327","90,800,000","3,477,000",-,7,-,598,0
,"Free VTC education
and training","3,580,342",,"12,156,327",-,80,-,598,0
,Sub Total,"3,580,342",-,"14,448,327",-,59,0%,598,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",599,0
"General Admin-
istration, Plan-
ning and support
services","General Administra-
tion, Planning and
support services","12,230,000","176,000,000","152,972,273","88,000,000",81,-,599,0
,Sub-Total,"12,230,000","176,000,000","152,972,273","88,000,000",81,,599,0
"VTC access and re-
tention of training",Development,-,"1,000,000",-,-,-,-,599,0
,Sub Total,-,"1,000,000",-,-,-,-,599,0
,Grand Total,"57,266,669","267,800,000","156,449,273","88,000,000",66,,599,0
Health and Sanitation,,,,,,,,599,0
"Curative and Reha-
bilitative",Medical Supplies,"167,650,000","158,200,000","150,515,259",-,94,-,599,0
,Medical Services,"30,200,000","35,500,000","24,110,495",-,75,-,599,0
,Ambulance services,"10,700,000",-,"7,022,890",-,60,-,599,0
"Preventive and
Promotive","Preventive and Pro-
motive","22,850,041",-,"13,789,657",-,81,-,599,0
,"Licensing and control
of an undertaking","9,000,000",-,"8,409,902",-,93,-,599,0
,Sub Total,"240,400,041","193,700,000","203,848,203",-,88,-,599,0
"General Admin-
istration, Plan-
ning and support
services","Health policy, planning
and development","3,432,532",,,-,-,-,599,0
,"General Administra-
tion, Planning and
support services","1,292,167,263","3,000,000","1,045,109,087",-,97,-,599,0
,Sub Total,"1,295,599,795","3,000,000","1,045,109,087",-,97,0%,599,0
,Grand Total,"1,535,999,836","196,700,000","1,248,957,290",,185,0%,599,0
Special Programme,,,,,,,,599,0
"Drought manage-
ment (Prepared-
ness, Response,
Mitigation and
Recovery",Drought contingency,"2,000,000",-,"2,789,000",-,93,-,599,0
,"Disaster Risk Manage-
ment Fund","141,282,547",-,"148,863,823",-,96,-,599,0
"Social protection
and response to
other disasters","Food distribution and
rations","3,032,392",-,"2,838,020",-,94,-,599,0
,Sub-Total,"146,314,939",-,"154,490,843",-,96,-,599,0
"General Adminis-
tration, Planning
and Support
Services","General Administra-
tion, Planning and
Support Services","8,080,304","14,257,827","16,844,480",-,96,-,599,0
,Sub-Total,"8,080,304","14,257,827","16,844,480",-,96,-,599,0
,Grand Total,"154,395,243","14,257,827","171,335,323",-,96,,599,0
Roads and public works,,,,,,,,599,0
"County Roads
Development",Routine maintenance,"3,628,330","192,087,922","3,573,263",-,90,-,599,0
,Opening of new roads,"1,877,733","90,600,000","1,504,500",,89,-,599,0
,"Grading, Murruming
and tarmacking","1,545,000",-,"593,710",-,44,-,599,0
,"Monitoring and Eval-
uation","1,849,134",-,"580,000",,31,-,599,0
,Sub-Total,"8,900,197","282,687,922","6,251,473",-,71,-,599,0
,,Recurrent,"Develop-
ment",Recurrent,"Develop-
ment","Recur-
rent","Devel-
opment",600,0
"County Housing
and urbanisation",Housing Development,"7,482,780",-,-,-,,-,600,0
,Urbanisation,"2,402,000","78,000,000",-,-,,-,600,0
,Sub Total,,"78,000,000",-,-,,-,600,0
"Public works and
services","Public works and
services","14,652,000","524,420,705","6,858,734",-,38,-,600,0
,Sub Total,"24,536,780","524,420,705","6,858,734",-,38,-,600,0
"General Adminis-
tration and Support
Services","General Administration
and Support Services","36,711,000",,"40,646,117",-,79,-,600,0
,Sub-Total,"36,711,000",-,"40,646,117",-,79,-,600,0
,Grand Total,"70,147,977","885,108,627","53,756,324",,69,-,600,0
"Water, Environment and Natural Resources",,,,,,,,600,0
"General adminis-
tration, planning
support","General administration,
planning support","23,056,582","34,000,000","20,295,911","15,000,000",86,-,600,0
,Sub-Total,"23,635,380","34,000,000","20,295,911","15,000,000",86,-,600,0
