Programme,Sub-Programme,Revised Gross Approved Estimates,col_3,Actual Expenditure,col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,(Kshs.),,(Kshs.),,,,544,0
,,Rec,Dev,Rec,Dev,Rec,Dev,544,0
Executive Office of the Governor and the Deputy Governor,,,,,,,,544,0
"Management and
Coordination of
county affairs","Administration,
planning and sup-
port services","119,634,516.00","45,000,000.00","75,596,518.00","40,117,790.00",63.19,89.15,544,0
,"Management of
county affairs","4,654,565.00",,"3,688,712.00",,79.25,0.00,544,0
Sub-Total,,"124,289,081.00","45,000,000.00","79,285,230.00","40,117,790.00",63.79,89.15,544,0
Office of the County Secretary,,,,,,,,544,0
"Coordination of
County Functions
and Public Service
Management","Administration,
planning and sup-
port services","322,224,758.00","6,500,000.00","149,446,699.00","4,698,710.00",46.38,72.29,544,0
,"County publicity
campaign","2,121,733.00",,"1,129,270.00",,53.22,0.00,544,0
Sub-Total,,"324,346,491.00","6,500,000.00","150,575,969.00","4,698,710.00",46.42,72.29,544,0
"Finance, Economic Planning and ICT",,,,,,,,544,0
"Economic Planning
and Policy Formu-
lation","Economic Planning
and Policy Formu-
lation","10,190,400.00",,"6,976,410.00",,68.46,0.00,544,0
,"Monitoring and
Evaluation","3,700,000.00",,"2,738,900.00",,74.02,0.00,544,0
Executive Services,"Administration and
personnel services","451,409,170.00","10,049,590.00","340,012,100.00","2,820,848.00",75.32,28.07,544,0
"Public Finance
Management","Financial Account-
ing","8,901,000.00",,"7,220,526.00",,81.12,0.00,544,0
,Internal Audit,"5,859,800.00",,"5,270,760.00",,89.95,0.00,544,0
,"Procurement
Compliance and
Reporting","8,102,000.00",,"6,121,046.00",,75.55,0.00,544,0
"Revenue Mobili-
sation","Revenue Mobili-
sation","42,583,436.00",,"22,652,470.00",,53.20,0.00,544,0
ICT Development,"ICT Infrastructure
Development","4,967,575.00",,"3,232,300.00",,65.07,0.00,544,0
Sub-Total,,"535,713,381.00","10,049,590.00","394,224,512.00","2,820,848.00",73.59,28.07,544,0
"Lands, Physical Planning and Urban Development Total",,,,,,,,544,0
"Land Policy and
Planning","Land Policy Formu-
lation","5,117,943.00",,"2,341,100.00",,45.74,0.00,544,0
"Housing Develop-
ment and Human
Settlement","Government
Building","2,695,000.00",,"589,427.00",,21.87,0.00,544,0
"Physical planning
services","Administration and
personnel services","73,658,236.00","368,403,076.00","58,256,147.00","1,615,000.00",79.09,0.44,544,0
Sub-Total,,"81,471,179.00","368,403,076.00","61,186,674.00","1,615,000.00",75.10,0.44,544,0
Health Services and Public Health,,,,,,,,544,0
"Administration,
Planning and
General Support
Services","Administration,
Planning and Gener-
al Support Services","2,609,091,990.00","416,300,000.00","1,971,564,102.00","119,380,521.00",75.57,28.68,544,0
,Health Services,"17,570,350.00",,-,,0.00,0.00,544,0
Health Services,Community health,"550,000.00",,"271,600.00",,49.38,0.00,544,0
Sub-Total,,"2,627,212,340.00","416,300,000.00","1,971,835,702.00","119,380,521.00",75.05,28.68,544,0
"Gender, Youth, Social Services and Sports",,,,,,,,544,0
"Library Services and
Disaster Manage-
ment","Administration and
planning services","14,247,698.00",,"9,455,299.00",,66.36,0.00,544,0
,,(Kshs.),,(Kshs.),,,,545,0
,,Rec,Dev,Rec,Dev,Rec,Dev,545,0
,"County children’s
home management","3,622,000.00",,"1,204,743.00",,33.26,0.00,545,0
"Sports and Talent
Development","Recreation and
Sporting Services","4,557,500.00","25,200,000.00","3,579,298.00","490,030.00",78.54,1.94,545,0
"General Adminis-
tration and Planning
Services","Administration and
personnel services","71,690,628.00",,"35,428,566.00",,49.42,0.00,545,0
,"Administration and
planning services",,"76,100,000.00",,"23,749,285.00",0.00,31.21,545,0
Sub-Total,,"94,117,826.00","101,300,000.00","49,667,906.00","24,239,315.00",52.77,23.93,545,0
County Public Service and Solid Waste Management,,,,,,,,545,0
"Human Resources
Management","Administration,
Planning, and Sup-
port Services","139,073,817.00","9,750,000.00","77,610,620.00",-,55.81,0.00,545,0
"Sanitation Manage-
ment","Administrative
Support Services","8,088,154.00","43,250,000.00","3,662,104.00","16,500,000.00",45.28,38.15,545,0
Sub-Total,,"147,161,971.00","53,000,000.00","81,272,724.00","16,500,000.00",55.23,31.13,545,0
"Agriculture, Livestock and Aquaculture Development",,,,,,,,545,0
"Livestock Produc-
tion Management","Provision of Ex-
tension Services to
Livestock Farmers","1,219,940.00","14,000,000.00","695,000.00","7,999,860.00",56.97,57.14,545,0
Crop Management,"County Agriculture
Extension Program","1,597,437.00","23,000,000.00","1,005,152.00","4,998,925.00",62.92,21.73,545,0
,Farm Development,"6,630,000.00",,"6,630,000.00",,100.00,0.00,545,0
AMS Naromoru,"Development Of Ag-
ricultural Land For
Crop Production","1,226,000.00","6,500,000.00","1,226,000.00","2,139,800.00",100.00,32.92,545,0
"Agricultural Man-
agement","Administration and
planning services","224,986,066.00","202,749,217.00","223,066,576.00","1,918,600.00",99.15,0.95,545,0
"County Extension
Services and Aqua-
culture Develop-
ment","Administrative
Support Services","2,537,734.00","23,900,000.00","1,033,670.00","17,903,800.00",40.73,74.91,545,0
Sub-Total,,"238,197,177.00","270,149,217.00","233,656,398.00","34,960,985.00",98.09,12.94,545,0
"Trade, Cooperatives, Culture and Tourism",,,,,,,,545,0
Trade Development,Trade Promotion,"49,308,501.00","371,400,000.00","23,577,003.00","58,462,269.00",47.82,15.74,545,0
"Tourism Develop-
ment","Cultural Manage-
ment",,"1,000,000.00",,-,0.00,0.00,545,0
,"Promotion of
Tourism","3,850,000.00","5,000,000.00","1,417,590.00",-,36.82,0.00,545,0
"Cooperatives Man-
agement","Cooperative
Development And
Management","3,439,389.00","2,500,000.00","1,383,610.00",-,40.23,0.00,545,0
Sub-Total,,"56,597,890.00","379,900,000.00","26,378,203.00","58,462,269.00",46.61,15.39,545,0
"Education, Training and Devolution",,,,,,,,545,0
"Youth Training and
Development","Youth Training and
Development","3,563,714.00","39,000,000.00","1,513,161.00","24,809,342.00",42.46,63.61,545,0
"Kenya Devolution
Support Program","Promote Effec-
tive Result-Based
Management &
Administration","42,500,000.00",,"3,507,620.00",,8.25,0.00,545,0
"General adminis-
tration and policy
Development and
implementation","Administrative
Support Services","501,992,447.00","46,100,000.00","482,065,219.00","24,805,438.00",96.03,53.81,545,0
,ECDE Management,"5,487,252.00",,"3,382,069.00",,61.64,0.00,545,0
Sub-Total,,"553,543,413.00","85,100,000.00","490,468,069.00","49,614,780.00",88.61,58.30,545,0
