Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Sub-Total,"47,417,750","341,995,842","20,109,128","22,000,000",42.4,6.4,168,0
"Livestock Pro-
duction","General Administration
Planning & Support
Services","95,640,763",-,"45,771,392",,47.9,∞,168,0
,"Marketing & Value
Addition",0,"12,576,148",,-,∞,-,168,0
,"Breeds Improvement
& Livestock Risk Man-
agement",0,-,,-,∞,∞,168,0
,"Livelihood Diversifi-
cation",0,-,,-,∞,∞,168,0
,Sub-Total,"95,640,763","12,576,148","45,771,392",-,47.9,-,168,0
,,Rec,Dev,Rec,Dev,Rec,Dev,169,0
Value Addition,"Livestock Diseases &
Pests Control","19,800,000",-,"8,000,000",,40.4,∞,169,0
,"Diagnostics & Labora-
tory Services","3,025,000",-,"500,000",,16.5,∞,169,0
,"Veterinary Public
Health Services","900,000","2,000,000",0,-,-,-,169,0
,Sub-Total,"23,725,000","2,000,000","8,500,000",-,35.8,-,169,0
"Fisheries Devel-
opment","General Administration
& Support Services","8,299,764",-,"2,309,933",-,27.8,∞,169,0
,"Aquaculture Technol-
ogy Development &
Innovation Transfer",0,"2,500,000",0,-,∞,-,169,0
,"Fish Safety Assurance
Value Addition &
Marketing",0,"4,500,000",0,-,∞,∞,169,0
,Sub-Total,"8,299,764","7,000,000","2,309,933",,27.8,-,169,0
"Agriculture, Livestock, …. Total",,"175,083,277","363,571,990","76,690,453","22,000,000",43.8,6.1,169,0
"Education, Youth, Sports, and Gender, Culture and Social Services",,,,,,,,169,0
"Provision of
education and
training services","General Administration
& Support Services","176,651,285","38,338,443","160,111,672","1,899,992",90.6,5.0,169,0
,ECDE Retention,"26,000,000",-,"9,000,000",,34.6,∞,169,0
,"Education Support
Services","70,000,000",-,"35,000,000",-,50.0,∞,169,0
,Quality ECDE Services,"1,376,000",-,0,-,-,∞,169,0
,ECDE Access,0,-,,-,∞,∞,169,0
,Sub-Total,"274,027,285","38,338,443","204,111,672","1,899,992",74.5,5.0,169,0
"Youth, Sports
and Gender","Sports Performance &
Management","18,462,451","29,590,000","3,370,900",-,18.3,-,169,0
,"General Administration
Planning & Support",0,-,0,,∞,∞,169,0
,Youth Development,"7,295,165",-,"2,784,000",-,38.2,∞,169,0
,"Sports Facilities Devel-
opment",0,-,,-,∞,∞,169,0
,Sub-Total,"25,757,616","29,590,000","6,154,900",-,23.9,-,169,0
"Culture and
social services","Administration &
Support Services","23,879,199","12,000,000","2,103,000",-,8.8,-,169,0
,"Arts & Culture Devel-
opment","570,000","1,093,567","250,000",-,43.9,∞,169,0
,Sub-Total,"24,449,199","13,093,567","2,353,000",-,9.6,-,169,0
"Gender Main-
streaming","Gender-Based Violence
& Harmful Practices","1,532,784",-,0,,-,∞,169,0
,Women Empowerment,0,-,0,-,∞,∞,169,0
,Child Protection,0,"19,000,000",0,"2,000,000",∞,10.5,169,0
,Sub-Total,"1,532,784","19,000,000",0,"2,000,000",-,10.5,169,0
"Disability Em-
powerment","PWDs Social-Econom-
ic Empowerment","4,900,000",-,"1,571,000",-,32.1,∞,169,0
,Sub-Total,"4,900,000",0,"1,571,000",-,32.1,∞,169,0
"Cultural and
Arts Empower-
ment","TVET Access & Re-
tention","9,220,957","6,000,000",0,-,-,-,169,0
,"VTC Quality Devel-
opment","1,719,843","4,500,000","100,000","4,350,000",5.8,96.7,169,0
,"Secondary & Tertiary
Education Support",0,-,,-,∞,∞,169,0
,Sub-Total,"10,940,800","10,500,000","100,000","4,350,000",0.9,41.4,169,0
"Education, Youth, Sports ,… Total",,"341,607,684","110,522,010","214,290,572","8,249,992",62.7,7.5,169,0
,,Rec,Dev,Rec,Dev,Rec,Dev,170,0
"Tourism, Culture and Trade, including PSM",,,,,,,,170,0
"Tourism Promo-
tion","Tourism Promotion
and Marketing","103,920,882",,"67,895,638",,65.3,∞,170,0
,Tourism Development,0,"5,000,000",0,-,∞,-,170,0
,Wildlife Protection,0,"3,500,000",0,-,∞,-,170,0
,Sub-Total,"103,920,882","8,500,000","67,895,638",-,65.3,-,170,0
"Trade devel-
opment and
promotion","Entrepreneurship and
business management
training",0,"6,500,000",0,-,∞,-,170,0
,"General Administration
& Support Services","8,970,876",,"3,199,174",,35.7,∞,170,0
,"Co-operative Develop-
ment & Management","5,040,705",,"1,271,035",,25.2,∞,170,0
,"Development of new
market stalls",0,-,0,-,∞,∞,170,0
,Sub-Total,"14,011,581","6,500,000","4,470,209",-,31.9,-,170,0
"Peace and Unity
Building Initia-
tives","General Administration
Planning & Support
Services","500,759,650",,"384,714,042",,76.8,∞,170,0
,County Administration,0,,0,,∞,∞,170,0
,"Public Service Produc-
tivity & Reforms","2,787,000",,"965,000",,34.6,∞,170,0
,"Performance Manage-
ment Framework",0,"4,000,000",0,-,∞,∞,170,0
,Devolved Units,"71,500,800","157,500,000","23,380,340",-,32.7,∞,170,0
,Sub-Total,"575,047,450","161,500,000","409,059,382",-,71.1,-,170,0
"Civic Education
& Public Partici-
pation","General Administration
Planning & Support
Services","5,118,000",-,"2,500,000",,48.8,∞,170,0
,Civic Education,"3,230,000",,"1,270,900",,39.3,∞,170,0
,Public Participation,"1,410,000",-,0,,-,∞,170,0
,Customer Service,"595,000",,"60,000",,10.1,∞,170,0
,Sub-Total,"10,353,000",0,"3,830,900",-,37.0,∞,170,0
"Tourism, Culture and Trade …. Total",,"703,332,913","176,500,000","485,256,129",-,69.0,-,170,0
"Water, Energy, Environment and Natural Resources Management",,,,,,,,170,0
"Water Supply
and Storage
Services","Procurement of survey
equipment & acces-
sories","39,708,596",,"12,699,976",,32.0,∞,170,0
,"Rural Water Supply &
Storage Services",0,"117,440,000",0,"5,729,240",∞,4.9,170,0
,"Rural Water Services
Governance","1,050,000",-,0,-,-,∞,170,0
,"Adaptive Capacity to
Natural Disaster","7,218,919",-,0,-,-,∞,170,0
,Sub-Total,"47,977,515","117,440,000","12,699,976","5,729,240",26.5,4.9,170,0
"Climate Change
Mitigation &
Adaptation","General Administration
& Support Services","27,489,836",-,"8,963,831",,32.6,∞,170,0
,"Enabling Legal &
Implementation Frame-
works",0,-,0,,∞,∞,170,0
,"Inclusive Climate
Resilience","600,000",-,"183,200",,30.5,∞,170,0
,Climate Smart Practices,0,"180,000,000",0,"56,238,526",∞,31.2,170,0
,Sub-Total,"28,089,836","180,000,000","9,147,031","56,238,526",32.6,31.2,170,0
,,Rec,Dev,Rec,Dev,Rec,Dev,171,0
"Conservation
of Environment
& Natural Re-
sources","Administration and
Support Services",0,-,0,,∞,∞,171,0
,"Sustainable Natural
Resources Exploitation","3,600,000","2,000,000","1,171,500",-,32.5,-,171,0
,"Environmental Conser-
vation",0,-,0,,∞,∞,171,0
,Sub-Total,"3,600,000","2,000,000","1,171,500",-,32.5,-,171,0
Energy services,"General Administration
& Support Services","4,000,000",-,"741,100",,18.5,∞,171,0
