Program,Sub-Programme,"Budget Estimates
(Kshs)","Actual Expenditure
(Kshs)","Absorption
Rate (%)",page_number,table_index
County Assembly,County Assembly,"1,324,303,578",-,0.0,196,0
,County Assembly Services,"1,324,303,578",-,0.0,196,0
"Agriculture, Livestock,
Fisheries and Coop-
eratives",Crop Production,"926,151,832","711,053,997",76.8,196,0
,Crop Production and Management Services,"926,151,832","711,053,997",76.8,196,0
,Livestock,"131,464,705","33,260,475",25.3,196,0
,Livestock development,"131,464,705","33,260,475",25.3,196,0
,Fisheries,"40,298,125","6,067,445",15.1,196,0
,Irrigation and Drainage Development,"1,965,000","1,719,923",87.5,196,0
,Fish Farming Productivity Programme,"38,333,125","4,347,522",11.3,196,0
"Agriculture, Livestock,
Fisheries and Coop-
eratives",Veterinary,"3,759,200","2,175,004",57.9,196,0
,Livestock development,"3,759,200","2,175,004",57.9,196,0
,Cooperative Development and Marketing,"6,754,646","2,329,777",34.5,196,0
,Agricultural Extension and Research,"4,000,000",-,0.0,196,0
,Cooperative Development,"2,754,646","2,329,777",84.6,196,0
,Agricultural Training Centres (ATC),"8,102,800","5,000,000",61.7,196,0
,Agricultural Extension and Research,"8,102,800","5,000,000",61.7,196,0
,Irrigation,"32,872,036","6,565,804",20.0,196,0
,Irrigation and Drainage Development,"2,679,836","4,852,364",181.1,196,0
,"Administration, Planning and Support Services","30,192,200","1,713,440",5.7,196,0
Health Services,Health Services,"1,057,163,334","329,509,384",31.2,196,0
,Promotion of Curative health services,"1,051,063,334","329,060,874",31.3,196,0
,Preventive and promotive services,"6,100,000","448,510",7.4,196,0
,Public Health,"289,884,000","4,173,218",1.4,196,0
,Preventive and promotive services,"283,100,000","295,800",0.1,196,0
,General Administrative and Support Services,"6,784,000","3,877,418",57.2,196,0
,Dispensaries,"136,716,745","20,769,167",15.2,196,0
,Promotion of Curative health services,"136,716,745","20,769,167",15.2,196,0
,Health centres,"242,324,499","46,346,809",19.1,196,0
,Promotion of Curative health services,"242,324,499","46,346,809",19.1,196,0
,County Medical Service Operations,"33,602,445","21,977,058",65.4,196,0
,General Administrative and Support Services,"33,602,445","21,977,058",65.4,196,0
"Education, Science &
Technology",E.C.D. E,"252,816,930","61,454,547",24.3,196,0
,Vocational Education and Training development,"212,203,180","55,772,657",26.3,196,0
,Early Childhood Development Education (ECDE),"40,613,750","5,681,890",14.0,196,0
,County Polytechnics,"120,244,471","15,989,670",13.3,196,0
,Vocational Education and Training development,"120,244,471","15,989,670",13.3,196,0
