Programme,"Final Budget
Kshs","Expenditure
Kshs","Absorption
%",page_number,table_index
,"1,696,670,545","1,004,321,006.50",59.2,493,1
Administration and Support Services,"1,696,670,545","1,004,321,006.50",59.2,493,1
,"148,601,296",-,-,493,1
Land and Crops Development,"148,601,296",-,-,493,1
,"53,600,000",-,-,493,1
Livestock Production and Management,"53,600,000",-,-,493,1
,"1,347,702,827","495,390,205.15",36.8,493,1
General Administration and Support Services,"1,347,702,827","495,390,205.15",36.8,493,1
,"865,981,808","374,873,097.40",43.3,493,1
Road-Works,"865,981,808","374,873,097.40",43.3,493,1
,"80,281,839","57,390,619",71.5,493,1
General Administration & Support Services,"80,281,839","57,390,619",71.5,493,1
,"387,956,849","94,416,937",24.3,493,1
Trade Development & Promotion,"387,956,849","94,416,937",24.3,493,1
,"53,954,554","3,258,814",6.0,493,1
Development and Promotion of Culture,"53,954,554","3,258,814",6.0,493,1
,"3,107,985,491","2,130,423,960.75",68.5,493,1
Health Service Delivery Administration Services,"3,107,985,491","2,130,423,960.75",68.5,493,1
,"386,646,567","186,398,741",48.2,493,1
General Administration & Support Services,"386,646,567","186,398,741",48.2,493,1
,"1,291,201,825","1,039,606,825.90",80.5,493,1
General Administration and Support Services,"1,291,201,825","1,039,606,825.90",80.5,493,1
,"16,000,000","30,940,760",193.4,493,1
Revenue Collection and Management Phase 1,"16,000,000","30,940,760",193.4,493,1
,"141,343,075","68,961,817",48.8,493,1
Administrative Support Services,"141,343,075","68,961,817",48.8,493,1
,"82,987,995","7,850,000",9.5,493,1
