Programme,Sub-Programme,Budget Estimates (Kshs),col_3,Actual Expenditure (Kshs),col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,209,1
"County Coordination
Services","County Coordination
Services","161,256,392",-,"106,394,81",2 -,66,0,209,1
,,"161,256,392",-,"106,394,81",2 -,66,0,209,1
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,,,209,1
"Administration,
Planning and Support
Services.","Administration
Services.","288,833,239",-,"212,862,54",6 -,74,0,209,1
"Administration,
Planning and Support
Services.","Monitoring Budget
Implementation and
Reporting","29,200,000","36,984,012","17,519,44","8 11,026,888",60,30,209,1
"Public Finance Man-
agement","Budget Formulation
Coordination and
Management","25,750,000","234,000,000","17,606,14","8 49,982,334",68,21,209,1
Audit Services,County Audit,"6,350,000",-,"4,682,45",2 -,74,0,209,1
,,"350,133,239","270,984,012","252,670,59","4 61,009,222",72,23,209,1
,,Rec,Dev,Rec,Dev,Rec,Dev,210,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,210,0
"Policy, Strategy and
Management of Agri-
culture","Development of
Agricultural Policy,
Legal & Regulatory
framework.","72,128,418",-,"42,179,729",-,58,0,210,0
"Crop Development
and Management","Agriculture Extension
Services","60,708,413","358,664,149","48,489,682","84,327,959",80,24,210,0
"Livestock Resource
Management and
Development","Livestock Disease
Management and
Control.",-,"83,692,389",-,"24,987,583",0,30,210,0
"Livestock Resource
Management and
Development","Livestock Produc-
tion and Extension
Services","37,919,501",-,"24,375,192",-,64,0,210,0
Fisheries development,"Management and De-
velopment of Capture
Fisheries","7,400,131","8,650,000","975,250","4,138,170",13,48,210,0
"Cooperative develop-
ment and manage-
ment","Cooperative Advisory
& Extension Services.","11,713,870","52,258,171","1,895,313","18,742,229",16,0,210,0
,,"189,870,333","503,264,709","117,915,167","132,195,941",62,26,210,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,,,210,0
"Environment policy
development and
coordination","Planning Coordina-
tion Policy and Ad-
ministrative Services","161,738,287","25,000,000","99,061,992","20,894,220",61,84,210,0
Water supply services,Rural Water Supply,"13,256,328","568,482,722","8,802,648","244,008,646",66,43,210,0
,,"174,994,615","593,482,722","107,864,641","264,902,865",62,45,210,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,,,210,0
"General Adminis-
tration & planning
services.","Policy Development
and Administration","607,931,470","17,363,468","403,120,583","4,941,500",66,28,210,0
Basic Education,"Early Childhood De-
velopment Education","5,000,000","113,618,858","3,436,749","25,594,785",69,23,210,0
"Gender and Social
Development","Social Welfare
Services/Social Infra-
structure Develop-
ment","3,100,000","15,500,000","2,584,490","748,100",83,5,210,0
"Youth development
and empowerment
services","Youth Development
(YP) Training",-,"95,000,000",-,"7,593,325",0,8,210,0
,,"616,031,470","241,482,326","409,141,822","38,877,710",66,16,210,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,210,0
Curative Health,"Administration and
Planning","1,586,148,035","131,735,203","800,442,711","83,116,369",5,63,210,0
Curative Health,"Hospital(curative)
Services",-,-,-,-,,,210,0
"Preventive and Pro-
motive Health","Preventive Medicine
and Promotive Health","1,318,012,715","110,308,672","612,111,199","65,369,562",46,59,210,0
,,"2,904,160,750","242,043,875","1,412,553,910","148,485,931",49,61,210,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,,,,210,0
"Administration and
support services","General Administra-
tion and Planning","123,284,985","133,050,249","55,265,917","41,143,020",45,31,210,0
"Housing Develop-
ment and Human
Resources","Housing Develop-
ment","9,879,309","23,106,250","7,532,273","10,100,080",76,44,210,0
"Land policy and
planning","Development
Planning and Land
Reforms","27,145,730","21,001,700","14,504,912","4,974,800",53,24,210,0
"Land policy and
planning",Land Use Planning,"5,652,443","39,855,800","2,967,011","2,987,603",52,7,210,0
,,"165,962,467","217,013,999","80,270,113","59,205,503",48,27,210,0
