Programme,Sub- Programme,"Approved Bud-
get (Kshs.)","Actual Pay-
ments (Kshs.)","Va r i a n c e
(Kshs.)","Absorption
(%)",page_number,table_index
"Cp 35: General Admin-
istration And Support
Services",Csp 35.1: Administrative Support Service,"91,461,632","76,816,327","14,645,305",84.0,66,0
"Cp 36:Developmen And
Maintenance Of Roads",Csp 36.1: Routine Maintenance Of Roads,"352,373,049","97,635,663","254,737,386",27.7,66,0
,Csp 36.2: Development Of Roads,-,,-,-,66,0
"Cp 37:Building Infra-
structure Development",Csp 37.1: Infrastructure Development,"1,000,000",-,"1,000,000",0.0,66,0
"Cp 38: Energy Develop-
ment",Csp 38.1 Energy Services,-,-,-,-,66,0
,Csp 38.2: Solar Energy Exploration,"15,298,640","2,448,910","12,849,730",16.0,66,0
,Csp 38.3: Renewable Energy,-,-,-,-,66,0
"Cp 39: Alternative Trans-
port Infrastructure De-
velopment",Csp 39.1: Road Safety Campaign,-,-,-,-,66,0
"Cp 40: Other Develop-
ment Projects",Csp 40.1: Other Development Projects,"545,678,623","349,034,321","196,644,302",64.0,66,0
Sub Totals,,"1,005,811,944","525,935,221","479,876,723",52.3,67,0
Department Of Public Service Management,,,,,,67,0
"Cp 41: General Admin-
istration And Support
Services",Csp 41.1: Administrative Support Services,"395,327,943","184,527,426","210,800,517",29.6,67,0
Sub Totals,,"395,327,943","184,527,426","210,800,517",29.6,67,0
Department Of Lands And Urban Development,,,,,,67,0
"Cp 42: General Admin-
istration And Support
Services",Csp 42.1: Administrative Support Services,"121,611,833","75,266,317","46,345,516",61.9,67,0
"Cp 43: County Land
Administration And
Planning",Csp 43.1: Land Use Planning,"3,504,229",-,"3,504,229",0.0,67,0
"Cp 44: Housing Devel-
opment And Manage-
ment",Csp 44.1: Housing Development,"1,000,000",-,"1,000,000",0.0,67,0
"Cp 45: County Urban
Management And De-
velopment",Csp 45.1: Urban Management,"245,464,079","102,962,798","142,501,281",41.9,67,0
,Csp 45.2: Urban Development,,-,-,-,67,0
"Cp 46: Other Develop-
ment Projects",Csp 46.1:Other Development Projects,"41,431,992","8,419,954","33,012,038",20.3,67,0
Sub Totals,,"413,012,133","186,649,069","226,363,064",45.2,67,0
"Department Of Water, Environment And Natural Resources",,,,,,67,0
"Cp 47: General Admin-
istration And Support
Services",Csp 47.1: Administrative Support Services,"118,709,400","117,844,066","865,334",99.3,67,0
"Cp 48: Water Supply
Services","Csp 48.1: Urban Water Supply And Sew-
erage","113,322,061","84,428,570","28,893,491",74.5,67,0
,Csp 48.2: Rural Water Supply,-,-,-,-,67,0
"Cp 49: Environment
Management And Pro-
tection",Csp 49.1 Environmental Management,"121,000,000","67,180,112","53,819,888",55.5,67,0
"Cp 50:Small Holder Ir-
rigation And Drainage","Csp 50.1: Irrigation Infrastructure Devel-
opment","2,000,000","630,672","1,369,328",31.5,67,0
"Cp 51: Forest Develop-
ment And Management","Csp 51.1: Rehabilitation And Restoration
Degraded Landscape","9,984,500",-,"9,984,500",0.0,67,0
"Cp 52: Water Tower
Protection And Climate
Change Mitigation","Csp 52.1: Water Tower Protection And Cli-
mate Change Mitigation",-,-,-,-,67,0
"Cp53: Other Develop-
ment Projects",Csp 53.1 Other Development Projects,"310,516,576","82,824,033","227,692,543",26.7,67,0
Sub Totals,,"675,532,537","352,907,452","322,625,085",52.2,67,0
Department Of Health And Sanitation,,,,,,67,0
"Cp 54: General Admin-
istration And Support
Services",Csp 54.1: Administrative Support Service,"1,818,232,118","1,806,315,916","11,916,202",99.3,67,0
"Cp 55: Curative Health
Services",Csp 55.1: Infrastructure Development,"406,622,903","188,120,174","218,502,729",46.3,67,0
,Csp 55.2: Hospital Equipment,"25,957,238","8,815,517","17,141,721",34.0,67,0
