Description of Programmes and Sub-Programmes,"Sum of Net Ap-
proved Estimates
(Kshs.)","Sum of Total
Payment and
Commitments
(Kshs.)","Sum of Bal-
ance
(Kshs.)","Sum of Im-
plementation
Status
(%)",page_number,table_index
P: Cooperative Development and Management,"444,211","413,300","30,911",93.0,364,0
SP: Cooperative Development,"444,211","413,300","30,911",93.0,364,0
Agriculture and Cooperatives,"444,211","413,300","30,911",93.0,364,0
P: County Government Advisory Services,"10,710,016","10,600,721","109,295",99.0,364,0
SP: Communication and Strategy,"9,319,875","9,211,690","108,185",98.8,364,0
Office of Governor and Deputy Governor,"9,319,875","9,211,690","108,185",98.8,364,0
SP: Disaster Management and Coordination,"1,390,141","1,389,031","1,110",99.9,364,0
"Public Service, Urban Development and Disaster Manage-
ment","1,390,141","1,389,031","1,110",99.9,364,0
P: County Leadership and Coordination of MDAs,"5,442,140","5,315,290","126,850",97.7,364,0
"SP: Public Sector Advisory Services (Legal, Political, and Eco-
nomic Affairs)","5,442,140","5,315,290","126,850",97.7,364,0
Office of Governor and Deputy Governor,"5,442,140","5,315,290","126,850",97.7,364,0
P: Crop Development and Management,"817,009","817,010",(1),100,364,0
"SP: Crops Development, Agribusiness and Market Develop-
ment","817,009","817,010",(1),100,364,0
Agriculture and Cooperatives,"817,009","817,010",(1),100,364,0
"P: Culture, Arts and Social Services","3,070,442","3,070,442",-,100,364,0
SP: Culture and Arts Promotion,"2,847,942","2,847,942",-,100,364,0
"Youth, Sports, Culture and Tourism","2,847,942","2,847,942",-,100,364,0
"SP: Gender, PWDs and Social Services","222,500","222,500",-,100,364,0
"Youth, Sports, Culture and Tourism","222,500","222,500",-,100,364,0
P: Curative and Rehabilitative Services,"200,408,990","197,930,866","2,478,124",98.8,364,0
SP: Laboratory Services,"32,886,858","32,548,261","338,597",99.0,364,0
Medical Services,"32,886,858","32,548,261","338,597",99.0,364,0
SP: Medical Supplies,"167,522,132","165,382,605","2,139,527",98.7,364,0
Medical Services,"167,522,132","165,382,605","2,139,527",98.7,364,0
P: Economic Policy and County Planning,"8,936,229","8,658,478","277,751",96.9,364,0
SP: County Statistics Services,"2,140,173","1,944,440","195,733",90.9,364,0
Finance and Economic Planning,"2,140,173","1,944,440","195,733",90.9,364,0
"SP: Economic Development, Planning and Coordination Ser-
vices","2,072,864","2,067,610","5,254",99.7,364,0
Finance and Economic Planning,"2,072,864","2,067,610","5,254",99.7,364,0
SP: Economic Planning Coordination Services,"706,500","643,800","62,700",91.1,364,0
County Public Service Board,"706,500","643,800","62,700",91.1,364,0
SP: Monitoring and Evaluation Services,"4,016,692","4,002,628","14,064",99.6,364,0
County Public Service Board,"1,250,000","1,236,340","13,660",98.9,364,0
Finance and Economic Planning,"2,766,692","2,766,288",404,100,364,0
P: Education and Youth Training,"54,229,452","54,225,586","3,866",100,365,0
SP: Promotion of Basic Education (ECDE),"35,440,981","35,437,115","3,866",100,365,0
"Education, Gender, Culture and Social Services","35,440,981","35,437,115","3,866",100,365,0
SP: Youth Training and Capacity Building,"18,788,471","18,788,471",-,100,365,0
"Education, Gender, Culture and Social Services","18,788,471","18,788,471",-,100,365,0
P: Energy Resource Development & Management,"22,720,941","4,925,022","17,795,919",21.7,365,0
SP: Energy Resource Development & Management,"22,720,941","4,925,022","17,795,919",21.7,365,0
Energy and ICT,"22,720,941","4,925,022","17,795,919",21.7,365,0
P: Environment and Natural Resources Management,"3,241,900","2,923,110","318,790",90.2,365,0
SP: Environment and Natural Resource,"3,241,900","2,923,110","318,790",90.2,365,0
"Lands, Physical Planning, Urban Development, Natural
Resources","3,241,900","2,923,110","318,790",90.2,365,0
P: Financial Management Services,"13,097,523","13,086,053","11,470",99.9,365,0
SP: Accounting Services,"3,369,151","3,368,390",761,100,365,0
Finance and Economic Planning,"3,369,151","3,368,390",761,100,365,0
SP: Audit Services,"2,461,703","2,461,695",8,100,365,0
Finance and Economic Planning,"2,461,703","2,461,695",8,100,365,0
SP: Budget Formulation and Coordination,"4,777,598","4,777,598",-,100,365,0
Finance and Economic Planning,"4,777,598","4,777,598",-,100,365,0
SP: Monitoring and Evaluation Services,"704,140","693,900","10,240",98.5,365,0
County Public Service Board,"704,140","693,900","10,240",98.5,365,0
SP: Supply Chain Management Services,"1,784,931","1,784,470",461,100,365,0
Finance and Economic Planning,"1,784,931","1,784,470",461,100,365,0
P: General Administration Planning and Support Services,"2,306,000,615","1,998,215,707","307,784,908",86.7,365,0
SP: Administration Planning and Support Services,"187,090,587","164,781,052","22,309,535",88.1,365,0
"Education, Gender, Culture and Social Services","187,090,587","164,781,052","22,309,535",88.1,365,0
"SP: Administration, Policy, Strategy and Management of Ag-
riculture","86,677,659","69,203,337","17,474,322",79.8,365,0
Agriculture and Cooperatives,"86,677,659","69,203,337","17,474,322",79.8,365,0
SP: General Administration Services,"681,135,968","453,614,600","227,521,368",66.6,365,0
Agriculture and Cooperatives,"226,382,448","193,936,933","32,445,515",85.7,365,0
Energy and ICT,"31,292,155","6,180,049","25,112,106",19.7,365,0
"Lands, Physical Planning, Urban Development, Natural
Resources","5,688,165","2,045,465","3,642,700",36.0,365,0
"Livestock, Veterinary and Fisheries Development","36,000,000","18,655,707","17,344,293",51.8,365,0
Medical Services,"356,724,915","220,097,141","136,627,774",61.7,365,0
"Roads, Infrastructure, Public Works and Industry","25,048,285","12,699,305","12,348,980",50.7,365,0
SP: HMIS Monitoring and Evaluation,"652,920","152,250","500,670",23.3,365,0
Medical Services,"652,920","152,250","500,670",23.3,365,0
SP: Human resource management,"1,350,367,021","1,310,464,468","39,902,553",97.0,365,0
Medical Services,"1,350,367,021","1,310,464,468","39,902,553",97.0,365,0
SP: Research and Development,"76,460",-,"76,460",0.0,365,0
Medical Services,"76,460",-,"76,460",0.0,365,0
"P: General Administration, Planning and Support Services","715,642,172","568,097,972","147,544,200",79.4,365,0
"SP: Coordination and Supervisory Services (Deputy Gover-
nor's Office)","13,614,453","13,393,754","220,699",98.4,365,0
Office of Governor and Deputy Governor,"13,614,453","13,393,754","220,699",98.4,365,0
SP: General Administration and Support Services,"312,694,411","223,946,216","88,748,195",71.6,365,0
County Public Service Board,"17,611,964","9,729,351","7,882,613",55.2,366,0
Finance and Economic Planning,"81,881,906","34,500,016","47,381,890",42.1,366,0
"Public Service, Urban Development and Disaster Manage-
ment","120,271,915","107,265,334","13,006,581",89.2,366,0
Trade and Revenue,"92,928,626","72,451,515","20,477,111",78.0,366,0
SP: Human Resource Management Services,"258,199,258","226,215,048","31,984,210",87.6,366,0
County Public Service Board,"24,000",-,"24,000",0.0,366,0
Finance and Economic Planning,"257,519,528","225,612,318","31,907,210",87.6,366,0
"Public Service, Urban Development and Disaster Manage-
ment","655,730","602,730","53,000",91.9,366,0
SP: Management of County Affairs (Office of Governor),"129,522,170","102,931,074","26,591,096",79.5,366,0
Office of Governor and Deputy Governor,"129,522,170","102,931,074","26,591,096",79.5,366,0
