Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"Legislation and
Oversight",Legislation and Oversight,"690,254,050","570,763,949","119,490,101",82.7,158,1
Sub Total,,"690,254,050","570,763,949","119,490,101",82.7,158,1
"Office of the Gov-
ernor and Deputy
Governor",070601 County Executive Services,"307,762,053","236,348,644","71,413,409",76.8,158,1
"County Executive
Administration",County Executive Services,"285,308,732","182,693,562","102,615,170",64.0,158,1
"Management of
County Affairs","070801 Coordination of County
Functions","187,608,830","109,027,683","78,581,147",58.1,158,1
"County Executive
Committee Af-
fairs","070901 Organization of County
Business","5,600,000","3,991,455","1,608,545",71.3,158,1
"County Public
Service Board","071001 Human Resource Manage-
ment","17,311,040","13,267,151","4,043,889",76.6,158,1
"Administrative
Support Services","020202 Administrative Support Ser-
vices","10,280,000","9,149,644","1,130,356",89.0,158,1
,070411 Audit Committee,"2,600,000","2,532,672","67,328",97.4,158,1
,"070412 County Enforcement Activ-
ities","3,950,000","2,717,185","1,232,815",68.8,158,1
,"070413 ICT Infrastructure Develop-
ment Management","4,184,000","3,807,635","376,365",91.0,158,1
,"070414 ICT Systems Development
Management","1,940,000","903,618","1,036,382",46.6,158,1
Sub Total,,"826,544,655","564,439,249","262,105,406",68.3,158,1
"Public Finance
Management",070401 Finance Services,"368,851,532","294,261,152","74,590,380",79.8,158,1
,070402 Revenue Services,"46,390,000","36,743,889","9,646,111",79.2,158,1
,"070404 Procurement and Supply
Services","8,126,500","6,838,897","1,287,603",84.2,158,1
,070405 Internal Audit Services,"2,363,200","1,980,480","382,720",83.8,158,1
,"070408 Budget Formulation, Coor-
dination and Management","8,060,000","4,669,037","3,390,963",57.9,158,1
,070409 Accounting Services,"6,255,000","5,176,205","1,078,795",82.8,158,1
"County Planning
and Economic
Policy Manage-
ment","070501 Economic Planning Ser-
vices","7,428,000","5,212,508","2,215,492",70.2,158,1
Sub Total,,"447,474,232.00","354,882,168.00","92,592,064.00",79.3,159,0
"Curative and Re-
habilitative Ser-
vices","040301 Curative and Rehabilitative
Services","2,423,221,282","2,070,053,217","353,168,065",85.4,159,0
Sub Total,,"2,423,221,282","2,070,053,217","353,168,065",85.4,159,0
Basic Education,050101 General Administration,"164,174,229","142,822,935","21,351,294",87.0,159,0
,"050102 Free Pre- Primary Educa-
tion","7,980,000","7,696,790","283,210",96.5,159,0
"State Education
Function Support",050203 Tertiary Education,"47,294,748","34,503,298","12,791,450",73.0,159,0
"Technical and Vo-
cational Training",050301 Village Polytechnics,"815,000","711,870","103,130",87.3,159,0
Sub Total,,"220,263,977","185,734,893","34,529,084",84.3,159,0
"Livestock Re-
source Manage-
ment and Devel-
opment","010102 Livestock Extension and
Capacity Building Services","305,000","55,000","250,000",18.0,159,0
,"010105 Livestock Production Man-
agement","2,780,000","2,480,234","299,766",89.2,159,0
,"010106 Livestock Disease Manage-
ment & Control","1,300,000","1,050,470","249,530",80.8,159,0
"Crop Develop-
ment and Man-
agement","010202 Agricultural Extension Ser-
vices","2,000,000","1,488,976","511,024",74.4,159,0
