Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"0401004210 P1 Preventive
And Promotive Health Ser-
vices","0401044210 SP2 Envi-
ronmental & Health Pro-
motion","121,441,604","92,707,192","28,734,412",76.3,335,0
,"0402014210 SP1 Nutri-
tion","14,039,518","14,025,207","14,311",99.9,335,0
,"0401054210 SP3 Com-
municable Disease Con-
trol","82,983,434","82,548,946","434,488",99.5,335,0
,"0401064210 SP4
Non-communicable Dis-
ease Prevention & Control","38,795,768","37,420,343","1,375,425",96.5,335,0
,"0401074210 SP5 Repro-
ductive, Maternal, Neona-
tal, child and Adolescent
Health","60,775,090","58,268,827","2,506,263",95.9,335,0
,Sub total,"318,035,414","284,970,515","33,064,899",89.6,335,0
"0402004210 P2 Curative
Health","0402044210 SP1 County
Hospital and Referral Ser-
vices","409,645,320","339,455,234","70,190,086",82.9,335,0
,"0402054210 SP2 Free Pri-
mary Health Services","158,200,280","131,933,815","26,266,465",83.4,335,0
,Sub total,"567,845,600","471,389,049","96,456,551",83,335,0
"0403004210 P3 General Ad-
ministration Planning And
Support Services","0403014210 SP1 Health
Infrastructure Develop-
ment","296,466,715","70,409,002","226,057,713",23.8,335,0
,"0403034210 SP2 Human
Resource Management
and Development","79,393,225","71,716,535","7,676,690",90.3,335,0
,"0403044210 SP3 Moni-
toring and Evaluation, Re-
search and Development","4,825,018","4,207,007","618,011",87.2,335,0
,"0403054210 SP4 Health
Policy, Planning & Fi-
nancing","44,911,541","36,542,323","8,369,218",81.4,335,0
,"0403064210 SP5 Health
Standards and Quality As-
surance Services","57,090,371","57,090,371",-,100,335,0
,Sub total,"482,686,870","239,965,238","242,721,632",49.7,335,0
"Lands, Housing, Physical Planning & Urban Development",,,,,,335,0
"0101004210 P1 General Ad-
ministration Planning And
Support Services","0101014210 SP1 Admin-
istration, Planning and
Support Services","48,956,649","27,601,350","21,355,299",56.4,335,0
,Sub total,"48,956,649","27,601,350","21,355,299",56.4,335,0
"0102004210 P2 Land Policy
Planning And Housing","0102014210 SP1 Land
Use Planning","27,210,778","10,128,165","17,082,613",37.2,335,0
,"0102034210 SP2 Land
Survey and Mapping","10,829,070","6,778,295","4,050,775",62.6,335,0
,"0102044210 SP3 Housing
Management Services","867,536","453,593","413,943",52.3,335,0
,Sub total,"38,907,384","17,360,053","21,547,331",44.6,335,0
"0106004210 P3 Urban Cen-
tres Administration","0106014210 SP1 Urban
Centre Management","195,470,733","124,709,416","70,761,317",63.8,335,0
,Sub total,"195,470,733","124,709,416","70,761,317",63.8,335,0
"Roads, Transport & Public Works",,,,,,335,0
"0201004210 P1 General Ad-
ministration Planning And
Support Services","0201014210 SP1 General
Administration Planning
and Support Services","86,296,721","25,470,640","60,826,081",29.5,335,0
,"0201034210 SP2 Fire-
fighting Services","385,786",-,"385,786",-,335,0
,"0201044210 SP3 Design,
Implementation and Su-
pervision of Public Build-
ings","19,796,380","18,017,958","1,778,422",91,335,0
,Sub total,"106,478,887","43,488,598","62,990,289",40.8,335,0
"0202004210 P2 Roads And
Public Infrastructure Devel-
opment","0202014210 SP1 Con-
struction, Rehabilitation
and Maintenance of Roads
and Bridges","482,298,807","361,223,703","121,075,104",74.9,336,0
,"0202024210 SP2 Design,
Supervision and Rehabili-
tation of County Buildings","10,904,542",-,"10,904,542",0,336,0
,"0202034210 SP3 Street
Lights Management","23,956,658","7,931,548","16,025,110",33.1,336,0
,"0202044210 SP4 Public
Road transport and Park-
ing","8,650,189","3,666,035","4,984,154",42.4,336,0
,Sub total,"525,810,196","372,821,286","152,988,910",70.9,336,0
"Tourism, Trade, Enterprise Development & Cooperatives",,,,,,336,0
"0301004210 P1 General Ad-
ministration Planning And
Support Services","0301014210 SP1 General
Administration Planning
and Support Services","49,762,894","30,332,651","19,430,243",61,336,0
,Sub total,"49,762,894","30,332,651","19,430,243",61,336,0
"0302004210 P2 Cooperatives
Development And Manage-
ment","0302014210 SP1 Gover-
nance and Accountability","19,496,148","11,191,644","8,304,504",57.4,336,0
,Sub total,"19,496,148","11,191,644","8,304,504",57.4,336,0
"0304004210 P4 Tourism De-
velopment And Promotion","0304014210 SP1 Tourism
Promotion and Marketing","207,789,402","157,398,128","50,391,274",75.8,336,0
,Sub total,"207,789,402","157,398,128","50,391,274",75.8,336,0
"0305004210 P5 Trade Devel-
opment And Promotion","0305014210 SP1 Domes-
tic Trade Development","49,540,959","29,186,691","20,354,268",58.9,336,0
,Sub total,"49,540,959","29,186,691","20,354,268",58.9,336,0
"0306004210 P6 P1 General
Administration Planning
And Support Services","0306014210 SP6 SP1
General Administration
Planning and Support Ser-
vices","20,216,256","15,219,350","4,996,906",75.3,336,0
,Sub total,"20,216,256","15,219,350","4,996,906",75.3,336,0
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,336,0
"0901004210 P1 General Ad-
ministration Planning And
Support Services","0901014210 SP1 General
Administration Planning
and Support Services","50,198,696","38,511,597","11,687,099",76.7,336,0
,Sub total,"50,198,696","38,511,597","11,687,099",76.7,336,0
"0902004210 P2 Culture And
Social Services Development","0902014210 SP1 Conser-
vation of Heritage","9,321,500","1,813,680","7,507,820",19.5,336,0
,"0902024210 SP2 Devel-
opment and Promotion of
Culture","11,559,858","7,643,647","3,916,211",66.1,336,0
,"0902034210 SP3 Social
Welfare and Gender","47,050,000","19,234,580","27,815,420",40.9,336,0
,"0902044210 SP4 Com-
munity Mobilization and
Development","12,227,810","4,865,643","7,362,167",39.8,336,0
,Sub total,"80,159,168","33,557,550","46,601,618",41.9,336,0
"0903004210 P3 Promotion
Of Other Sports Activities","0903014210 SP1 Devel-
opment and Management
of Sports Facilities","5,334,500","2,958,350","2,376,150",55.5,336,0
,Sub total,"5,334,500","2,958,350","2,376,150",55.5,336,0
"0503004210 P3 Sports De-
velopment","0503034210 SP3 Sports
Development, Training
and Competition","51,506,444","15,022,420","36,484,024",29.2,336,0
,Sub total,"51,506,444","15,022,420","36,484,024",29.2,336,0
"0904014210 P1 General Ad-
ministration Planning And
Support Services","0904004210 SP1 General
Administration Planning
and Support Services","14,894,102","12,167,650","2,726,452",81.7,336,0
,Sub total,"14,894,102","12,167,650","2,726,452",81.7,336,0
County Assembly,,,,,,336,0
"0707004210 P1 County As-
sembly Administration","0707014210 SP1 Legisla-
tive and Oversight","54,761,166","54,518,718","242,448",99.6,337,0
,"0707024210 SP2 County
Assembly Administration","281,730,088","216,642,762","65,087,326",76.9,337,0
,"0707034210 SP3 Repre-
sentation","218,805,780","218,771,137","34,643",99.9,337,0
,Sub total,"555,297,034","489,932,617","65,364,417",88.2,337,0
Grand Total,,"6,968,608,323","5,064,078,464","1,904,529,859",72.7,337,0
