Programme,"Sub- Pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,402093510,"Preventive and Promo-
tive Services","218,422,141","145,017,492","73,404,649",66.4,109,0
403003000,,,"93,774,226","72,810,147","20,964,079",77.6,109,0
,403013510,"Curative and Rehabil-
itative Health Services","86,411,350","66,124,073","20,287,277",76.5,109,0
,403023510,"Health Information
System",-,-,-,-,109,0
,403033510,"Leadership/Gover-
nance",-,-,-,-,109,0
,403043510,"Human Resources for
health",-,-,-,-,109,0
,403053510,"Curative Infrastructure
Support","7,362,876","6,686,074","676,802",90.8,109,0
404003000,,,-,-,-,0.0,110,0
,404013510,"World Bank Loan for
Transforming Health
System for Universal
Car",-,-,-,-,110,0
501003000,,,"183,846,531","181,465,606","2,380,926",98.7,110,0
,501013510,Administration,"148,846,531","146,465,606","2,380,926",98.4,110,0
,501023510,Personnel services,-,-,-,-,110,0
,501033510,Contracted Services,"35,000,000","35,000,000",-,100.0,110,0
502003000,,,"40,815,568","25,545,211","15,270,358",62.6,110,0
,502013510,"ECDE Classroom In-
frastructure","30,815,568","11,561,211","19,254,358",37.5,110,0
,502023510,Vocational Training,-,-,-,0.0,110,0
,502033510,Youth Polytechnics,"10,000,000","13,984,000","(3,984,000)",139.8,110,0
,502043510,"Promotion of Quality
Youth empowerment",-,-,-,-,110,0
,502063510,"Child Rescue Centre In
Isiolo",-,-,-,-,110,0
503003000,,,"10,833,297","10,832,811",486,100.0,110,0
,503013510,"Promotion of culture,
arts and talents",-,-,-,-,110,0
,503023510,"Education and Voca-
tional Training Support",-,-,-,-,110,0
,503033510,"Sports Youth and Gen-
der",-,-,-,-,110,0
,503053510,,"10,833,297","10,832,811",486,100.0,110,0
,503103510,"Construction of Youth
Polytechnic",-,-,-,-,110,0
504003000,,,"76,191,996","73,485,621","2,706,375",96.4,110,0
,504013510,Sports Academy Centre,"58,742,170","58,742,170",-,100.0,110,0
,504023510,"Youth and Women Em-
powerment","17,449,826","14,743,451","2,706,375",84.5,110,0
505003000,,,"30,799,877","25,879,057","4,920,820",84.0,110,0
,505013510,Culture Development,"30,799,877","25,879,057","4,920,820",84.0,110,0
701003000,,,"10,899,703","8,964,758","1,934,945",82.2,110,0
,701023510,"Administration and Co-
ordination of County
Affairs",-,-,-,-,110,0
,701033510,"County Executive Ser-
vices","10,899,703","8,964,758","1,934,945",82.2,110,0
702003000,,,-,-,-,-,110,0
,702033510,"Capacity building in-
duction programs",-,-,-,-,110,0
705003000,,,-,-,-,-,110,0
,705013510,Internet Connectivity,-,-,-,-,110,0
,705023510,E-data Storage,-,-,-,-,110,0
,705033510,ICT Training,-,-,-,-,110,0
708003000,,,"11,254,000","6,154,692","5,099,308",54.7,110,0
,708013510,"Governors Delivery
Unit","11,254,000","6,154,692","5,099,308",54.7,110,0
709003000,,,"949,196,550","818,686,138","130,510,412",86.3,110,0
,709013510,Personnel Services,"78,309,950","77,854,399","455,551",99.4,110,0
,709023510,Support Services,-,"200,000","(200,000)",-,110,0
,709043510,"Purchase of Pool Trans-
port",-,-,-,-,110,0
,709053510,Other Support Services,-,-,-,-,110,0
,709073510,"ICT Infrastructure Sup-
port",-,-,-,-,111,0
,709083510,"Administrative Infra-
structure support","870,886,600","740,631,739","130,254,861",85.0,111,0
,709093510,"Peace Dividend Proj-
ects",-,-,-,-,111,0
,709123510,Civic Education,-,-,-,-,111,0
,709143510,"Economic Planning
Services",-,-,-,-,111,0
,709153510,"County Pensions and
Retirement Services",-,-,-,-,111,0
710003000,,,"79,614,025","75,867,015","3,747,010",95.3,111,0
,710013510,"Administrative Ser-
vices","79,614,025","75,138,015","4,476,010",94.4,111,0
,710033510,"County Debt Manage-
ment",-,-,-,-,111,0
,710063510,Accounting Services,-,"729,000","(729,000)",-,111,0
711003000,,,"52,872,119","51,262,452","1,609,667",97.0,111,0
,711013510,"Monitoring and Evalu-
ation","29,954,388","28,470,842","1,483,546",95.0,111,0
,711023510,"Economic Policy and
County Development
Plans","7,017,731","6,968,300","49,431",99.3,111,0
,711043510,"County Development
Stakeholders Forums","6,900,000","6,863,660","36,340",99.5,111,0
,711053510,"County Baseline Sur-
veys on County Devel-
opment Indicators","9,000,000","8,959,650","40,350",99.6,111,0
,711073510,"Capacity building and
Support to Departments",-,-,-,-,111,0
,711093510,"County Strategic Plan
and Performance Man-
agement Plan",-,-,-,-,111,0
712003000,,,"64,168,618","62,855,413","1,313,205",98.0,111,0
,712013510,"Administrative and
Civic Education Ser-
vices","64,168,618","62,855,413","1,313,205",98.0,111,0
,712023510,"Conflict Management
and Resolution",-,-,-,-,111,0
713003000,,,"337,114,900","309,991,460","27,123,440",92.0,111,0
,713013510,County Governance,"337,114,900","309,628,960","27,485,940",91.8,111,0
,713023510,Coordination Affairs,-,"362,500","(362,500)",-,111,0
,713033510,"Intergovernmental Ser-
vices (Deputy Gover-
nor Services)",-,-,-,-,111,0
714003000,,,-,-,-,-,111,0
716003000,,,"23,598,051","17,457,246","6,140,805",74.0,111,0
,716013510,"Devolved Administra-
tive Affairs","23,598,051","17,457,246","6,140,805",74.0,111,0
719003000,,,"123,033,895","116,695,410","6,338,485",94.8,111,0
,719013510,Personnel Services,-,-,-,-,111,0
,719023510,"General Administration
Support Services","123,033,895","116,695,410","6,338,485",94.8,111,0
,719043510,"Town Infrastructure
Support Services",-,-,-,-,111,0
723003000,,,"51,767,465","50,211,683","1,555,782",97.0,111,0
,723013510,Personnel Services,-,-,-,-,111,0
,723023510,"Administration Support
Services","51,767,465","50,211,683","1,555,782",97.0,111,0
724003000,,,-,-,-,0.0,112,0
,724013510,Personnel Services,-,-,-,-,112,0
,724023510,"Administration Support
Services",-,-,-,-,112,0
,724033510,"Fencing and Rehabili-
tation of Payroll Office",-,-,-,-,112,0
725003000,,,"285,254,182","282,837,182","2,417,000",99.2,112,0
,725013510,"Administration & Plan-
ning","23,755,802","21,396,302","2,359,500",90.1,112,0
,725023510,Disaster management,"261,498,380","261,440,880","57,500",100.0,112,0
726003000,,,"30,000,000","17,100,000","12,900,000",57.0,112,0
,726013510,"Kenya Devolution Sup-
port","30,000,000","17,100,000","12,900,000",57.0,112,0
728003000,,,-,-,-,-,112,0
,728013510,Fire Control Services,-,-,-,-,112,0
,728023510,Fire Engines,-,-,-,-,112,0
901003000,,,-,-,-,-,112,0
,901013510,"Planning and Support
Services",-,-,-,-,112,0
,901023510,"Cultural Tourism Pro-
motion",-,-,-,-,112,0
902003000,,,"27,000,000","25,000,000","2,000,000",92.6,112,0
,902013510,"Youth and Women
Empowerment support
Services","13,000,000","11,000,000","2,000,000",84.6,112,0
