Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
,Road maintenance,"414,616,685","281,493,196","133,123,489",67.9,99,0
,Sub total,"756,892,281","481,728,934","275,163,347",63.6,99,0
Transport Services,"Bus Park Improvement Ser-
vices","141,455,900","26,348,905","115,106,995",18.6,99,0
,Sub total,"141,455,900","26,348,905","113,651,095",18.6,99,0
Department of Energy and Mining,,,,,,99,0
Energy Services,Electrical Power Services,"11,200,000","9,887,675","1,312,325",88.3,99,0
,Solar Power Services,"43,658,987","29,625,067","14,033,920",67.9,99,0
,"Low Cost energy Technolo-
gies promotion Services","13,697,949","1,745,122","11,952,827",12.7,99,0
,Sub total,"68,556,936","41,257,864","27,299,072",60.2,99,0
"Mineral Resource Devel-
opment and Marketing
Services","Construction mineral de-
velopment and marketing
services","2,000,000",-,"2,000,000",0.0,99,0
,Sub total,"2,000,000",,"2,000,000",0.0,99,0
"General Administration,
Planning and Support
Services","Administrative Support
Services","35,088,406","26,027,331","9,061,075",74.2,99,0
,"Development of Policies,
Plans, Regulations and Leg-
islations","694,149",,"694,149",0.0,99,0
,Sub total,"35,782,555","26,027,331","9,755,224",72.7,99,0
Department of Education and ICT,,,,,,99,0
"General Administration
and Quality Assurance
Service","General Administration
Services","37,500,535","8,400,000","29,100,535",22.4,99,0
,Quality Assurance Services,"522,729,773","406,605,743","116,124,030",77.8,99,0
,Sub total,"560,230,308","415,005,743","145,224,565",74.1,99,0
"ECDE and Vocational
Training Services",ECDE Services,"55,275,957","50,253,788","5,022,169",90.9,99,0
,"Vocational Training Ser-
vices","56,458,942","54,000,000","2,458,942",95.6,99,0
,Sub total,"111,734,899","104,253,788","7,481,111",93.3,99,0
ICT Services,Information Services,"1,030,700",-,"1,030,700",0.0,99,0
,"ICT Infrastructure Devel-
opment","32,644,300","21,567,786","11,076,514",66.1,99,0
,Sub total,"33,675,000","21,567,786","12,107,214",64.0,99,0
Department of Health Services,,,,,,99,0
"Policy planning and
administrative support
service","Policy, Planning and Moni-
toring Services","13,473,807",-,"13,473,807",0.0,99,0
,"Administrative Support
Services","1,990,830,200","1,982,832,314","7,997,886",99.6,99,0
,Sub total,"2,004,304,007","1,982,832,314","25,721,693",98.7,99,0
"Preventive and promotive
health services",Community health services,"77,400,000","68,000,000","9,400,000",87.9,99,0
,Disease control services,"47,500,000","40,500,000","7,000,000",85.3,99,0
,Sub total,"124,900,000","108,500,000","16,400,000",86.9,99,0
"Curative and rehabilitative
health services","Routine medical health ser-
vices","268,017,729","240,395,531","27,622,198",89.7,99,0
,"Medical emergency re-
sponse services","12,000,000","12,000,000",-,100.0,99,0
,"Facility infrastructure im-
provement services","167,046,785","119,913,500","47,133,285",71.8,99,0
,Sub total,"447,064,514","372,309,031","74,755,483",83.3,99,0
"Research and development
service","Research and surveillance
services","26,999,567","24,312,662","2,686,905",90.0,99,0
,Sub total,"26,999,567","24,312,662","2,686,905",90.0,99,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,99,0
"General Administration
Services","General administrative
support services","32,318,070","32,173,291","144,779",99.6,99,0
,Policy development,"1,534,779","1,534,779",-,100.0,99,0
,General office operations,"18,310,550","18,043,176","267,374",98.5,99,0
,Sub total,"52,163,399","51,751,246","412,153",99.2,99,0
"Lands and Physical plan-
ning",County Spatial planning,"39,399,418","26,196,919","13,202,499",66.5,100,0
,"Survey, Demarcation and
upgrading of markets","18,000,000","10,457,396","7,542,604",58.1,100,0
,Sub total,"57,399,418","36,654,315","20,745,103",63.9,100,0
,"Kenya Urban Support Pro-
gramme (KUSP)","49,000,000",-,"49,000,000",0.0,100,0
,Sub total,"49,000,000",-,"49,000,000",0.0,100,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,100,0
"Planning and Administra-
tive services","Administrative and Support
Services","171,826,059","171,669,971","156,088",99.9,100,0
,"Policy Development and
Implementation Services","26,123,140","24,791,519","1,331,621",94.9,100,0
,Sub total,"197,949,199","196,461,490","1,487,709",99.2,100,0
,"Enterprise Development
and Promotion Services","7,889,893",-,"7,889,893",0.0,100,0
,"Trade Infrastructure Devel-
opment Services","167,310,107","146,668,407","20,641,700",87.7,100,0
,Sub total,"175,200,000","146,668,407","28,531,593",83.7,100,0
"Industrial Development
and Investment Services","Value Chain Development
Services","71,557,711","58,557,711","13,000,000",81.8,100,0
,Sub total,"71,557,711","58,557,711","13,000,000",81.8,100,0
"Department of Water, Environment and Natural Resources",,,,,,100,0
"General Administrative
Services","Administrative Support
Services","126,158,105","125,331,458","826,647",99.3,100,0
,"Policy and Planning Ser-
vices","1,200,000","581,013","618,987",48.4,100,0
,Sub total,"127,358,105","125,912,471","1,445,634",98.9,100,0
"Water Supply and Man-
agement Services","Urban Water Supply Ser-
vices","51,845,920",-,"51,845,920",0.0,100,0
,"Rural Water Supply Ser-
vices","260,500,000","231,735,849","28,764,151",89.0,100,0
,Sub total,"312,345,920","231,735,849","80,610,071",74.2,100,0
"Environmental Protection
and Management Services","Pollution and Waste Man-
agement services","34,100,000",-,"34,100,000",0.0,100,0
,"Forestry Development Ser-
vices","11,200,000",-,"11,200,000",0.0,100,0
,Land Reclamation Services,"5,000,000",-,"5,000,000",0.0,100,0
,Sub total,"50,300,000",-,"50,300,000",0.0,100,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,100,0
"General administration
and support services","Staff Remuneration and
Welfare Support Services","184,871,580","183,891,524","980,056",99.5,100,0
,"General Logistics, Coordi-
nation and Asset Manage-
ment Services","8,735,098","8,735,098",-,100.0,100,0
,"Devolution and Service De-
livery Support Services","41,216,648","41,216,648",-,100.0,100,0
,Sub total,"234,823,326","233,843,270","980,056",99.6,100,0
"Planning, budgeting and
development coordination
services","Economic planning and de-
velopment services","108,600,200","69,874,912","38,725,288",64.3,100,0
,"Resource Allocation Ser-
vices","12,129,714","11,129,730","999,984",91.8,100,0
,"Community Development
Participation Services","30,146,160","26,833,260","3,312,900",89.0,100,0
,Sub total,"150,876,074","107,837,902","43,038,172",71.5,100,0
"Strategy and service deliv-
ery management services","Monitoring and evaluation
services","21,986,764","17,191,658","4,795,106",78.2,100,0
,"Strategy and service deliv-
ery improvement services","3,970,000","3,600,000","370,000",90.7,100,0
,Sub total,"25,956,764","20,791,658","5,165,106",80.1,100,0
"Resource mobilization
services","External Resources Mobi-
lization Services","8,448,248","8,300,250","147,998",98.2,101,0
,"Internal Revenue Genera-
tion Services","53,721,280","21,630,125","32,091,155",40.3,101,0
,Sub total,"62,169,528","29,930,375","32,239,153",48.1,101,0
"Financial Management
Services","Accounting and Financial
Reporting Services","12,554,530","12,400,230","154,300",98.8,101,0
,"Audit and Advisory Ser-
vices","8,318,740","6,324,000","1,994,740",76.0,101,0
,"Emergency Management
Services","70,000,000","69,000,000","1,000,000",98.6,101,0
,Sub total,"90,873,270","87,724,230","3,149,040",96.5,101,0
Executive Services(Office of the Governor),,,,,,101,0
"Public service administra-
tion support services","Human resource manage-
ment and development ser-
vices","335,167,019","332,794,160","2,372,859",99.3,101,0
,"Supply chain management
services","5,559,541","392,430","5,167,111",7.1,101,0
,Legal Services,"16,000,000","12,690,400","3,309,600",79.3,101,0
,"Logistics, security and as-
set management services","23,239,948","20,963,921","2,276,027",90.2,101,0
,"Performance contracting
and appraisal services","7,500,000","4,200,000","3,300,000",56.0,101,0
,Sub total,"387,466,508","371,040,911","16,425,597",95.8,101,0
"Governance and coordina-
tion services","Executive management
and liaison services","94,565,410","91,565,410","3,000,000",96.8,101,0
,"Field coordination and ad-
ministration services","130,266,000","129,400,000","866,000",99.3,101,0
,Sub total,"224,831,410","220,965,410","3,866,000",98.3,101,0
"Strategy and service deliv-
ery improvement services","Strategy and advisory ser-
vices","19,739,640","19,739,640",-,100.0,101,0
,"Efficiency monitoring ser-
vices","20,949,760","20,949,760",-,100.0,101,0
,"Information and communi-
cation services","5,950,000","5,950,000",-,100.0,101,0
,"Disaster management ser-
vices","8,360,600","8,360,600",-,100.0,101,0
,Sub total,"55,000,000","55,000,000",-,100.0,101,0
County Public Service Board,,,,,,101,0
"Policy, Planning and Ad-
ministration Services","Policy and Planning Ser-
vices","2,124,900",-,"2,124,900",0.0,101,0
,"Administrative Support
Services","51,444,305","45,614,437","5,829,868",88.7,101,0
,"Facility Improvement &
Capacity Strengthening
Services","6,000,000","4,860,362","1,139,638",81.0,101,0
,Sub total,"59,569,205","50,474,799","9,094,406",84.7,101,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and
Deployment Services","4,817,000",,"4,817,000",-,101,0
,"Human Resource Advisory
Services","8,230,000",-,"8,230,000",-,101,0
,"Capacity Development Ser-
vices","3,295,500",-,"3,295,500",-,101,0
,Sub total,"16,342,500",-,"16,342,500",-,101,0
"Performance Management
Services","Performance Contracting
and Appraisal Services","783,000",-,"783,000",-,101,0
,Sub total,"783,000",-,"783,000",-,101,0
County Assembly Service Board,,,,,,101,0
Legislative Services,"Members welfare Support
services","323,630,788",-,"323,630,788",-,101,0
,"Legislative development
and approval services","53,176,569",-,"53,176,569",-,101,0
,Sub total,"376,807,357",-,"376,807,357",-,101,0
