Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Implementation
Status
(%)",page_number,table_index
County Assembly,,,,,,206,1
,"General Administration and
Planning","201,811,120","140,724,953","61,086,167",69.7,206,1
,"Legislation. Representation and
Oversight","398,188,880","148,482,418","249,706,462",37.3,206,1
,Sub total,"600,000,000","289,207,371","310,792,629",48.2,206,1
County Executive,,,,,,206,1
,Headquarters,"406,997,394","249,627,143","157,370,251",61.3,206,1
,"Office of the Governor and Dep-
uty Governor","240,474,344","127,314,135","113,160,209",52.9,206,1
,Public Service Management,"7,175,008","4,018,360","3,156,648",56.0,206,1
,County Public Service,"19,730,232","13,301,255","6,428,977",67.4,206,1
,Sub total,"674,376,978","394,260,893","280,116,085",58.5,206,1
"Finance, Economy and Strategic Planning",,,,,,206,1
Finance,Headquarters,"105,467,686","81,950,432","23,517,254",77.7,206,1
,Sub total,"105,467,686","81,950,432","23,517,254",77.7,206,1
Agriculture & Irrigation,,,,,,206,1
,"Directorate of Agriculture and
Extension Services","68,009,607","57,997,005","10,012,602",85.3,206,1
,Crop Management,"22,936,915","21,502,364","1,434,551",93.7,206,1
,Crop Husbandry,"1,967,844","1,252,000","715,844",63.6,206,1
,"Agriculture Training Cen-
tres(ATC)","5,000,000",-,"5,000,000",0.0,206,1
,Plant Dieses Control,"189,143,122","80,065,203","109,077,919",42.3,206,1
,Sub total,"287,057,488","160,816,572","126,240,916",56.0,206,1
"Land, Physical Planning",,,,,,206,1
,Headquarters,"24,151,163","20,718,362","3,432,801",85.8,206,1
,"Housing, Urban Dev and Infra-
structure","250,000","15,150","234,850",6.1,206,1
,Survey & Planning,"150,746,644","81,480,270","69,266,374",54.1,206,1
,Sub total,"175,147,807","102,213,782","72,934,025",58.4,206,1
Education and Vocational Training,,,,,,206,1
,Headquarters,"30,120,409","24,457,385","5,663,024",81.2,207,0
,Village Polytechnics,"83,598,297","12,090,100","71,508,197",14.5,207,0
,Early Childhood Development,"323,345,121","289,551,490","33,793,631",89.5,207,0
,Sub total,"437,063,827","326,098,975","110,964,852",74.6,207,0
Medical Services,,,,,,207,0
,Headquarters,"719,778,305","702,874,795","16,903,510",97.7,207,0
,"Curative and Rehabilitative
Health Dept","137,180,020","122,096,645","15,083,375",89.0,207,0
,"Preventive and Promotive Health
Dept","393,615,548","201,931,654","191,683,894",51.3,207,0
,Sub total,"1,250,573,873","1,026,903,094","223,670,779",82.1,207,0
"Trade, Tourism & Investment Development",,,,,,207,0
,Headquarters,"10,244,893","8,520,772","1,724,121",83.2,207,0
,Tourism,"3,096,382","2,222,299","874,083",71.8,207,0
,Culture,"9,000,000","7,977,690","1,022,310",88.6,207,0
,Trade and Investment,"31,554,341","26,187,732","5,366,609",83.0,207,0
,Sub total,"53,895,616","44,908,493","8,987,123",83.3,207,0
"Livestock, Veterinary & Cooperative Development",,,,,,207,0
,Headquarters,"10,999,193","10,144,975","854,218",92.2,207,0
,Livestock Production,"35,812,436","12,709,327","23,103,109",35.5,207,0
,Veterinary Services,"32,178,134","19,433,646","12,744,488",60.4,207,0
,Cooperative Development,"2,011,734","1,582,287","429,447",78.7,207,0
,Sub total,"81,001,497","43,870,235","37,131,262",54.2,207,0
Public Service Board,,,,,,207,0
,"Trade Development and Regula-
tion","45,217,320","38,096,096","7,121,224",84.3,207,0
,Sub total,"45,217,320","38,096,096","7,121,224",84.3,207,0
Water Management & Conservation,,,,,,207,0
,Headquarters,"199,426,925","50,912,636","148,514,289",25.5,207,0
,Headquarters,"10,286,597","8,773,767","1,512,830",85.3,207,0
,Sub total,"209,713,522","59,686,403","150,027,119",28.5,207,0
"Gender, Youth, Culture, Sports & Social Services",,,,,,207,0
,Headquarters,"85,713,732","40,906,776","44,806,956",47.7,207,0
,Headquarters,"7,254,200","5,034,201","2,219,999",69.4,207,0
,Social Services,"56,848,040","16,432,490","40,415,550",28.9,207,0
,Sub total,"149,815,972","62,373,467","87,442,505",41.6,207,0
Public Health Sanitation and Environment,,,,,,207,0
,Headquarters,"117,855,850","80,708,882","37,146,968",68.5,207,0
,Sub total,"117,855,850","80,708,882","37,146,968",68.5,207,0
Fisheries Development,,,,,,207,0
,Headquarters,"70,950,222","38,581,590","32,368,632",54.4,207,0
,Sub total,"70,950,222","38,581,590","32,368,632",54.4,207,0
Budget & Economic Planning,,,,,,207,0
,"Economic Planning and Budget-
ing","19,949,480","15,404,134","4,545,346",77.2,207,0
,Sub total,"19,949,480","15,404,134","4,545,346",77.2,207,0
Infrastructure and Energy,,,,,,207,0
,Headquarters,"306,192,493","183,400,136","122,792,357",59.9,207,0
,Sub total,"306,192,493","183,400,136","122,792,357",59.9,207,0
