Department,Programme/ Sub Programme,"Budget Estimates
FY 2019/20
(Kshs.)","Expenditure
(Kshs.)","Variance
(Kshs.)","Implementa-
tion status
(%)",page_number,table_index
"The Department of
Agriculture, Irrigation,
Livestock & Fisheries
Development","Programme 1: General adminis-
tration & planning",,,,,220,1
,"SP1. 1 General administration &
planning","385,381,271","307,573,758","77,807,513",80.0,220,1
,"Programme 2: Land, Crop devel-
opment & productivity",,,-,,220,1
,"SP2. 1Land, Crop development &
productivity","525,251,617","306,583,350","218,668,267",58.0,220,1
,"P3;Agribusiness and information
management",,,-,,220,1
,"SP3. 1 Agribusiness and informa-
tion management","98,807,134","76,616,248","22,190,885",78.0,220,1
,"Programme 4: Livestock Produc-
tion, Management and Develop-
ment",,,-,,220,1
,"SP4. 1Livestock Production, Man-
agement and Development","86,527,888","56,249,570","30,278,319",65.0,220,1
,Total Budget,"1,095,967,910","747,022,926","348,944,984",68.0,220,1
"The Department of
Transport and Infra-
structure","Programme 1: General adminis-
tration & planning",,,-,,221,0
,"SP1. 1 General administration &
planning","167,859,838","115,353,300","52,506,539",69.0,221,0
,Programme 2: Road transport,,,-,,221,0
,SP2. 1Road transport,"771,645,808","653,016,839","118,628,969",85.0,221,0
,P3;Infrastructure development,,,-,,221,0
,SP3. 1Infrastructure development,"70,709,671","57,027,597","13,682,074",81.0,221,0
,"Programme 2: Energy Infra-
structure & development",,,-,,221,0
,"SP4. 1Energy Infrastructure & de-
velopment","19,732,926","10,462,651","9,270,275",53.0,221,0
,Total Budget,"1,029,948,244","835,860,388","194,087,856",81.0,221,0
"The Department of
Trade, Industry, Tour-
ism & Cooperatives","Programme 1: General adminis-
tration & planning",,,-,,221,0
,"SP1. 1 General administration &
planning","46,679,021","45,238,660","1,440,361",97.0,221,0
,"Programme 2: Trade develop-
ment & promotion",,,-,,221,0
,"SP2.4; Trade marketing & promo-
tion","33,243,041","11,944,165","21,298,875",36.0,221,0
,"P3; Industrial development and
promotion",,,-,,221,0
,"SP3. 1 Industrial development and
promotion","1,664,973","1,450,000","214,973",87.0,221,0
,"Programme 4: Tourism develop-
ment & promotion",,,-,,221,0
,"SP4. 1Tourism development & pro-
motion","8,371,693","5,923,620","2,448,074",71.0,221,0
,"Programme 5: Cooperative de-
velopment and management",,,-,,221,0
,"SP4. 1Cooperative development
and management","16,341,200","9,809,675","6,531,525",60.0,221,0
,Total Budget,"106,299,928","74,366,120","31,933,808",70.0,221,0
"The Department of
Lands, Mining and Ur-
ban Development","Programme 1: General adminis-
tration & planning",,,-,,221,0
,"SP1. 1 General administration &
planning","40,996,175","39,903,028","1,093,147",97.0,221,0
,"Programme 2: : Land Survey &
Mapping",,,-,,221,0
,SP2. 1: Land Survey & Mapping,"28,626,900","27,111,427","1,515,473",95.0,221,0
,P3;Urban planning,,,-,,221,0
,SP3. 1Urban planning,"278,527,939","77,233,982","201,293,957",28.0,221,0
,"Programme 2: Mining mapping
& development",,,-,,221,0
,"SP4. 1Mining mapping & develop-
ment","2,621,971","1,899,100","722,871",72.0,221,0
,Total Budget,"350,772,985","146,147,536","204,625,448",42.0,221,0
"The Department of
Water, Environment &
Climate Change","Programme 1: General adminis-
tration & planning",,,-,,222,0
,"SP1. 1 General administration &
planning","170,935,950","135,062,429","35,873,521",79.0,222,0
,"Programme 2: Water infrastruc-
ture Development",,,-,,222,0
,"SP 2.1 Water harvesting and stor-
age","264,165,661","103,202,720","160,962,941",39.0,222,0
,"SP 2.2.Piped water supply infra-
structure","467,240,419","130,885,619","336,354,800",28.0,222,0
,SP2.3 Ground water development,"293,957,196","159,043,209","134,913,987",54.0,222,0
,"SP4. 1Environment management
and protection","129,063,331","115,989,853","13,073,478",90.0,222,0
,Total Budget,"1,325,362,556","644,183,829","681,178,727",49.0,222,0
"The Department of Ed-
ucation and ICT","Programme 1: General adminis-
tration & planning",,,-,,222,0
,"SP1. 1 General administration &
planning","271,399,606","264,962,997","6,436,608",98.0,222,0
,"Programme 2: Early childhood
education",,,-,,222,0
,SP1. 1 Early childhood education,"151,071,270","76,500,227","74,571,043",51.0,222,0
,"Programme 3: Technical training
& non formal education",,,-,,222,0
,"SP1. 1 Technical training & non
formal education","120,384,615","71,522,052","48,862,563",59.0,222,0
,"Programme 4: Support to educa-
tion",,,-,,222,0
,SP1. 1 Support to education,"63,794,604","54,699,973","9,094,631",86.0,222,0
,"Programme 5;ICT Infrastruc-
ture & Systems Development",,,-,,222,0
,"SP3. 1ICT Infrastructure & Sys-
tems Development","38,021,963","20,502,335","17,519,628",54.0,222,0
,"Programme 6; Youth Develop-
ment support& Empowerment",,,-,,222,0
,SP6. 1 Youth Development,"3,686,395","2,290,541","1,395,854",62.0,222,0
,"Programme 7: Sports Develop-
ment",,,-,,222,0
,SP7. 1Sports Development,"96,172,241","68,340,997","27,831,243",71.0,222,0
,Total Budget,"744,530,693","558,819,123","185,711,571",75.0,222,0
"The Department of
Health Services","Programme 1: General adminis-
tration & planning",,,-,,222,0
,"SP1. 1 General administration &
planning","3,062,358,890","2,757,965,296","304,393,594",90.0,222,0
,"Programme 2: Curative health
care services",,,-,,222,0
,"SP2. 1:Curative health care ser-
vices","310,833,333","259,651,194","51,182,139",84.0,222,0
,"Programme 3; Preventive and
promotive health care services",,,-,,222,0
,"SP3. 1Preventive and promotive
health care services","70,662,182","31,729,836","38,932,346",45.0,222,0
,Total Expenditure of Vote,"3,443,854,405","3,049,346,327","394,508,079",89.0,222,0
"The Department of
Gender and Social
Services","Programme 1: General adminis-
tration & planning",,,-,,223,0
,"SP1. 1 General administration &
planning","63,890,049","61,953,499","1,936,550",97.0,223,0
,"Programme 2: Gender & Social
Development",,,-,,223,0
,"SP2. 1Gender & Social Develop-
ment","114,407,864","88,966,226","25,441,638",78.0,223,0
,Total Budget,"178,297,913","150,919,726","27,378,188",85.0,223,0
"County Attorney's Of-
fice","Programme 1: Legal & advisory
services",,,-,,223,0
,SP1. 1 Legal & advisory services,"24,836,716","23,938,486","898,231",96.0,223,0
,Total Budget,"24,836,716","23,938,486","898,231",96.0,223,0
"County Secretary Of-
fice","Programme 1: Leadership and
coordination of departments.",,,-,,223,0
,"SP1. 1 Leadership and coordination
of departments.","405,694,406","401,047,672","4,646,734",99.0,223,0
,Total Budget,"405,694,406","401,047,672","4,646,734",99.0,223,0
Governship,"Programme 1: General adminis-
tration & planning",,,-,,223,0
,"SP1. 1 General administration &
planning","212,027,578","209,534,119","2,493,459",99.0,223,0
,Total Budget,"212,027,578","209,534,119","2,493,459",99.0,223,0
"Department of Devo-
lution, Administration,
Participatory Develop-
ment, Youth & Public
Service","Programme 1: General adminis-
tration & planning",,,-,,223,0
,"SP1. 1 General administration &
planning","227,759,152","226,405,680","1,353,473",99.0,223,0
,"Programme 2: :Public Participa-
tion & Civic Education",,,-,,223,0
,"SP2. 1:Public Participation & Civic
Education","32,381,902","26,378,258","6,003,644",81.0,223,0
,"Programme 3;Information and
communication",,,-,,223,0
,"SP3. 1Information and communi-
cation","2,900,000","2,262,472","637,528",78.0,223,0
,"Programme 4:Enforcement and
compliance",,,-,,223,0
,"SP4. 1Enforcement and compli-
ance","35,545,449","17,671,647","17,873,802",50.0,223,0
,"Programme 5:Volunteerism &
mentorship",,,-,,223,0
,SP5. 1Volunteerism & mentorship,"14,000,000","13,911,982","88,018",99.0,223,0
,"Programme 6; Youth Develop-
ment support& Empowerment",,,-,,223,0
,SP6. 1 Youth Development,"61,428,709","54,565,572","6,863,137",89.0,223,0
,Total Budget,"374,015,212","341,195,610","32,819,602",91.0,223,0
"County Public Service
Board","Programme 1: General Adminis-
tration and Planning",,,-,,223,0
,"SP1.1 : General Administration and
Planning","56,348,175","46,439,200","9,908,975",82.0,223,0
,Total Budget,"56,348,175","46,439,200","9,908,975",82.0,223,0
