Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"FY 2019/20 Ap-
proved Budget
(Kshs.)","Actual Pay-
ments in FY
2019/20 (Kshs.)","Absorption
rate in FY
2019/20 (%)"
"0707004210 P1 County As-
sembly Administration","0707014210 SP1 Legisla-
tive and Oversight","54,761,166","54,518,718","242,448",99.6,337,0,,,
,"0707024210 SP2 County
Assembly Administration","281,730,088","216,642,762","65,087,326",76.9,337,0,,,
,"0707034210 SP3 Repre-
sentation","218,805,780","218,771,137","34,643",99.9,337,0,,,
,Sub total,"555,297,034","489,932,617","65,364,417",88.2,337,0,,,
Grand Total,,"6,968,608,323","5,064,078,464","1,904,529,859",72.7,337,0,,,
COUNTY ASSEMBLY,,,,,,342,0,,,
Legislative and Representation,"Legislative and Representa-
tion",,,"4,247,380",,342,0,"290,112,839","285,865,459",98.5
,Sub total,,,"4,247,380",,342,0,"290,112,839","285,865,459",98.5
Legislative Oversight,Legislative Oversight,,,"342,857",,342,0,"81,493,460","81,150,603",99.6
,Sub total,,,"342,857",,342,0,"81,493,460","81,150,603",99.6
"General administration and
planning support services","General administration and
planning support services",,,"472,415,117",,342,0,"963,343,340","490,928,223",51
,Sub total,,,"472,415,117",,342,0,"963,343,340","490,928,223",51
"GOVERNANCE AND AD-
MINSTRATION",,,,,,342,0,,,
"General administration and
planning support services","General administration and
planning support services",,,-,,342,0,-,-,-
,Sub total,,,-,,342,0,-,-,-
"Coordination of devolved ser-
vices","Coordination of devolved ser-
vices",,,"832,399",,342,0,"77,955,508","77,123,109",98.9
,Sub total,,,"832,399",,342,0,"77,955,508","77,123,109",98.9
County Governance,County Governance,,,"9,722,100",,342,0,"154,432,034","144,709,934",93.7
,Sub total,,,"9,722,100",,342,0,"154,432,034","144,709,934",93.7
"County Executive Administra-
tion","County Executive Adminis-
tration",,,"5,298,154",,342,0,"262,652,287","257,354,133",98
,Sub total,,,"5,298,154",,342,0,"262,652,287","257,354,133",98
Human Capital Management,Human Capital Management,,,"1,118,889",,342,0,"39,826,447","38,707,558",97.2
,Sub total,,,"1,118,889",,342,0,"39,826,447","38,707,558",97.2
"Information Communication
Services","Information Communication
Services",,,"6,891,600",,342,0,"6,891,600",-,-
,Sub total,,,"6,891,600",,342,0,"6,891,600",-,-
Monitoring and Evaluation,Monitoring and Evaluation,,,"446,501",,342,0,"5,568,010","5,121,509",92
,Sub total,,,"446,501",,342,0,"5,568,010","5,121,509",92
County Attorney,County Attorney,,,"848,100",,342,0,"19,901,000","19,052,900",95.7
