Programme,"Sub- Pro-
gramme","Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Implementation
Status (%)",page_number,table_index
Vote 3711 ‑ Office of the Governor,,,,,,181,1
General Administration and Planning,701013710,"1,174,275,797","835,429,849","338,845,948",71.1,181,1
,702013710,"117,395,032","113,989,153","3,405,879",97.1,181,1
,704023710,"8,460,281","7,863,868","596,413",93.0,181,1
,705013710,"49,829,731","49,525,486","304,245",99.4,181,1
Procurement,704023710,"35,928,979","36,067,158","(138,179)",100.4,181,1
Sub-total Vote 3711,,"1,385,889,820","1,042,875,514","343,014,306",75.2,181,1
Vote 3712 - Administration and Coordination of County Affairs,,,,,,181,1
"Coordination And Administrative Ser-
vices",705013710,"121,424,471","117,620,727","3,803,745",96.9,181,1
,706013710,"147,566,517","145,253,813","2,312,704",98.4,181,1
"Coordination And Programmes
Tracking",706013710,"1,225,000","1,225,000",-,100.0,181,1
General Administration And Planning,701013710,"141,917,282","137,505,888","4,411,394",96.9,181,1
Sub-total Vote 3712,,"412,133,270","401,605,428","10,527,843",97.4,181,1
Vote 3713 - Agriculture Water and Livestock Development,,,,,,181,1
Agriculture,101029999,"34,075,464","28,695,812","5,379,652",84.2,181,1
,102013710,"427,731,407","347,963,548","79,767,859",81.4,181,1
,103013710,"115,640,395","64,398,355","51,242,040",55.7,181,1
,103023710,"39,570,555","25,999,607","13,570,948",65.7,181,1
,104013710,"7,567,447","6,975,378","592,069",92.2,181,1
Fisheries,105013710,"1,464,888","1,025,113","439,775",70.0,181,1
General Administration and Planning,101013710,"281,648,115","280,489,274","1,158,841",99.6,181,1
Livestock Production,106013710,"22,281,516","9,144,083","13,137,433",41.0,181,1
,106023710,"24,061,894","15,438,531","8,623,363",64.2,181,1
Water,111013710,"498,003,167","405,714,070","92,289,097",81.5,181,1
,111023710,"151,445,278","135,460,763","15,984,515",89.4,181,1
,111033710,"68,765,702","68,331,085","434,617",99.4,181,1
Sub-total Vote 3713,,"1,672,255,828","1,389,635,619","282,620,209",83.1,181,1
"Vote 3714 - Basic Education, ICT, and Youth Development",,,,,,182,0
Basic Education,501013710,"273,736,761","272,744,782","991,979",99.6,182,0
,502013710,"23,976,261","21,252,775","2,723,486",88.6,182,0
General Administration And Planning,501013710,"95,710,181","89,110,834","6,599,347",93.1,182,0
Training And Skills Development,503013710,"166,587,981","59,805,998","106,781,983",35.9,182,0
,506013710,"109,313,923","44,302,964","65,010,959",40.5,182,0
(blank),505013710,"24,776,500","24,216,033","560,467",97.7,182,0
Sub-total Vote 3714,,"694,101,607","511,433,386","182,668,221",73.7,182,0
"Vote 3715 - Lands, Infrastructure, Housing and Urban Development",,,,,,182,0
General Administration and Planning,101013710,"114,636,127","108,990,992","5,645,135",95.1,182,0
Housing,107013710,"25,430,196","24,578,082","852,114",96.6,182,0
,109013710,"22,860,135","22,266,935","593,200",97.4,182,0
Land Adjudication and Settlement,108023710,"11,492,650","10,730,447","762,203",93.4,182,0
Physical Planning,108013710,"18,984,774","16,035,945","2,948,829",84.5,182,0
Public Works,109013710,"2,500,000","1,774,350","725,650",71.0,182,0
"Roads, Transport and Mechanical Ser-
vices",110013710,"618,345,270","493,937,925","124,407,345",79.9,182,0
,203013710,"38,316,659","38,262,468","54,191",99.9,182,0
Survey and Mapping,108023710,"11,338,040","10,797,896","540,144",95.2,182,0
Sub-total Vote 3715,,"863,903,851","727,375,040","136,528,811",84.2,182,0
Vote 3716 - Health and Sanitation,,,,,,182,0
"General Administration and Planning
Headquarters",401013710,"561,001,655","476,903,097","84,098,558",85.0,182,0
,401023710,"54,483,207","54,272,747","210,460",99.6,182,0
,401033710,-,"764,013","(764,013)",∞,182,0
"Health Promotion and Disease Con-
trol",404013710,"1,586,148","1,432,628","153,520",90.3,182,0
Medical Services,402013710,"2,118,882,429","1,945,233,606","173,648,823",91.8,182,0
,402023710,"11,204,218","10,157,895","1,046,323",90.7,182,0
,403023710,"446,896,946","446,793,974","102,972",100.0,182,0
,404033710,"26,062,500","25,588,472","474,028",98.2,182,0
Public Health,403013710,"32,224,927","38,108,674","(5,883,747)",118.3,182,0
,403023710,"1,799,113","1,724,756","74,357",95.9,182,0
,403033710,"4,716,833","4,696,304","20,529",99.6,182,0
Rural Health Services,402033710,"295,960,939","294,535,452","1,425,487",99.5,182,0
,404023710,"146,059,341","136,079,388","9,979,953",93.2,182,0
,404043710,"22,499,906","17,750,137","4,749,769",78.9,182,0
Sub-total Vote 3716,,"3,723,378,162","3,454,041,143","269,337,019",92.8,182,0
"Vote 3717 - Trade, Cooperatives and Investments",,,,,,182,0
Cooperatives,304013710,"285,522,995","189,505,199","96,017,796",66.4,182,0
,304023710,"77,754,378","78,211,987","(457,609)",100.6,182,0
General Administration and Planning,301013710,"147,278,087","125,887,976","21,390,111",85.5,182,0
Trade and Markets,301013710,"29,825,440","31,344,598","(1,519,158)",105.1,182,0
,303013710,"2,128,400","2,127,781",619,100.0,182,0
,303023710,"77,297,436","75,526,443","1,770,993",97.7,182,0
Sub-total Vote 3717,,"619,806,736","502,603,984","117,202,752",81.1,182,0
Vote 3719 - Environment and Natural Resources,,,,,,182,0
Energy,1005013710,"3,236,170","1,920,349","1,315,821",59.3,183,0
,1006013710,"96,311,551","43,256,826","53,054,725",44.9,183,0
Environment,1002013710,"18,558,967","13,846,306","4,712,661",74.6,183,0
,1003013710,"7,719,037","6,210,967","1,508,070",80.5,183,0
,1004013710,"5,749,822","3,747,970","2,001,852",65.2,183,0
General Administration And Planning,1001013710,"46,243,819","43,117,387","3,126,432",93.2,183,0
Mineral Resources Headquarters,1003013710,"18,234,322","13,058,822","5,175,500",71.6,183,0
,1003023710,"10,575,554","10,125,060","450,494",95.7,183,0
,1003043710,"7,639,792","7,724,690","(84,898)",101.1,183,0
,1007013710,"15,188,293","9,469,333","5,718,960",62.3,183,0
,1008013710,"1,835,509","1,835,440",69,100.0,183,0
Sub-total Vote 3719,,"231,292,836","154,313,150","76,979,686",66.7,183,0
"Vote 3720 - Tourism, Sports and Culture",,,,,,183,0
"Gender, Culture and Social Services",307013710,"12,468,338","7,842,673","4,625,665",62.9,183,0
,307023710,"11,613,142","10,781,842","831,300",92.8,183,0
,308013710,"5,751,076","2,890,490","2,860,586",50.3,183,0
,308023710,"1,376,100","1,343,676","32,424",97.6,183,0
General Administration And Planning,301013710,"39,122,236","39,406,015","(283,779)",100.7,183,0
Tourism,305013710,"7,084,321","8,122,042","(1,037,721)",114.6,183,0
,305033710,"27,578,196","15,151,166","12,427,030",54.9,183,0
,1003023710,"30,248,043","26,872,366","3,375,677",88.8,183,0
,306013710,"20,775,006","15,339,326","5,435,680",73.8,183,0
,306023710,"58,822,482","38,162,251","20,660,231",64.9,183,0
Sub-total Vote 3720,,"214,838,940","165,911,847","48,927,093",77.2,183,0
Vote 3721 - County Treasury,,,,,,183,0
Accounts,704013710,"55,867,600","55,561,419","306,181",99.5,183,0
,712053710,"12,392,500","11,884,973","507,527",95.9,183,0
Budgetary Supplies,712013710,"127,575,457","120,962,341","6,613,116",94.8,183,0
,712023710,"7,219,709","7,001,191","218,518",97.0,183,0
Economic Affairs,710013710,"104,067,902","76,937,808","27,130,094",73.9,183,0
,710023710,"12,823,480","12,839,240","(15,760)",100.1,183,0
,712023710,0,"613,000","(613,000)",-,183,0
General Administration and Planning,701013710,"89,906,700","88,873,754","1,032,946",98.9,183,0
Internal Audit,712033710,"6,630,590","6,624,919","5,671",99.9,183,0
Procurement,704013710,0,"58,250","(58,250)",-,183,0
Sub-total Vote 3721,,"416,483,938","381,356,895","35,127,043",91.6,183,0
Vote 3722 - County Public Service Board,,,,,,183,0
General Administration and Planning,701013710,"10,809,617","8,789,452","2,020,165",81.3,183,0
,713013710,"6,200,276","6,003,194","197,082",96.8,183,0
,713023710,"6,931,219","6,308,984","622,235",91.0,183,0
,714013710,"5,757,965","5,538,226","219,739",96.2,183,0
Sub-total Vote 3722,,"29,699,077","26,639,856","3,059,221",89.7,183,0
Vote 3723 - County Assembly,,,,,,183,0
General Administration and Planning,701013710,"295,039,872","262,221,792","32,818,080",88.9,183,0
Legislative Department,715013710,"654,199,888","614,169,860","40,030,028",93.9,183,0
Sub-total Vote 3723,,"949,239,760","876,391,652","72,848,108",92.3,183,0
