Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Sub Total,,"43,392,716","42,760,795","631,921",98.5,320,0
Public administration,Public Administration,"6,504,450","6,493,470","10,980",99.8,320,0
,"sub-county and ward adminis-
tration","28,964,394","27,568,124","1,396,270",95.2,320,0
,Enforcement and Compliance,"5,349,000","5,253,643","95,357",98.2,320,0
"ICT and E-government
Services","ICT and E-government Ser-
vices","6,980,600","5,480,340","1,500,260",78.5,320,0
Sub Total,,"47,798,444","44,795,577","3,002,867",93.7,320,0
County Public Service Board,County Public Service Board,"14,750,000","14,749,457",543,100,320,0
Sub Total,,"14,750,000","14,749,457",543,100,320,0
Public Finance Management,County Funds,"228,400,000","216,400,000","12,000,000",94.7,320,0
,County Pending Bills,,-,-,-,320,0
,treasury services,"629,332,254","507,659,697","121,672,557",80.7,320,0
,Financial reporting,"3,725,000","3,712,260","12,740",99.7,320,0
,"Revenue Collection and Ad-
ministration (Including auto-
mation)","34,048,600","32,409,850","1,638,750",95.2,320,0
,"Revenue Enhancement and
Monitoring","15,653,825","15,650,828","2,997",100,320,0
,Supply Chain Management,"7,150,000","7,150,000",-,100,320,0
,"Internal Audit and Risk Man-
agement","15,020,000","14,460,407","559,593",96.3,320,0
"Economic planning and devel-
opment",County Budgeting,"12,500,000","12,500,000",-,100,320,0
,"County Statistics and Data
Bank","10,701,122","10,701,100",22,100,320,0
,Monitoring and Evaluation,"9,993,589","9,991,153","2,436",100,320,0
,"Economic Modelling and Re-
search","10,900,000","10,900,000",-,100,320,0
,"Economic Development Plan-
ning (Including CEKEB)","14,547,812","13,887,644","660,168",95.5,320,0
Sub Total,,"991,972,202","855,422,939","136,549,263",86.2,320,0
"Preventive and Promotive
Services","Preventive and Promotive Ser-
vices","12,150,000","11,791,467","358,533",97,320,0
Curative Services,"Curative Services (includ-
ing universal health care and
grants)","627,247,365","395,144,792","232,102,573",63,320,0
"General administration, plan-
ning and support services",Solid Waste and Cemeteries,"10,253,000","8,204,630","2,048,370",80,320,0
,Infrastructure and Equipment,"158,513,556","102,728,590","55,784,966",64.8,320,0
Sub total,,"808,163,921","517,869,479","290,294,442",64.1,320,0
Primary education,ECDE,"146,260,626","79,280,639","66,979,987",54.2,320,0
"Youth training and develop-
ment","revitization of youth polytech-
nics","61,446,786","37,023,947","24,422,839",60.3,320,0
"Gender Affairs and Social
Services & youth empower-
ment","Gender Affairs and Social Ser-
vices","69,299,613","53,179,715","16,119,898",76.7,320,0
"General administration, plan-
ning and support services","Alcohol Drinks Control and
Civic Education","2,736,306","2,331,410","404,896",85.2,320,0
Culture,"development and promotion of
culture","3,130,000","1,859,248","1,270,752",59.4,320,0
Sub Total,,"282,873,331","173,674,959","109,198,372",61.4,320,0
"Trade development and
promotion","Financial and Trade Services
(excluding CEKEB, county
corporation &Micro-Finance
fund)","68,522,339","37,763,062","30,759,277",55.1,320,0
"Industrial development and
investment","Industrial and Enterprise De-
velopment (Inclusive of KDSP
)","6,180,000","6,163,883","16,117",99.7,320,0
,Weights & Measures,"1,820,000","1,806,350","13,650",99.3,320,0
"Cooperative development and
management",Cooperative advisory services,"31,895,175","31,729,500","165,675",99.5,320,0
Sub Total,,"108,417,514","77,462,795","30,954,719",71.4,320,0
Sports,Sports Development,"98,177,807","69,516,915","28,660,892",70.8,320,0
