Department,Program,Sub Program,col_3,"Approved
Budget
(Kshs.)","Actual Pay-
ments (Kshs.)","Variance
(Kshs.)","Implementation
Status (%)",page_number,table_index
,,"General administration
and support services",,"33,992,393","33,283,926","708,467",97.9,76,0
,"Tourism Develop-
ment",Tourism Development,,"9,307,248","5,522,337","3,784,911",59.3,76,0
,,Tourism Development,,"9,307,248","5,522,337","3,784,911",59.3,76,0
,"Trade and Enter-
prise Development","Trade and Enterprise De-
velopment",,"8,135,859","5,972,568","2,163,291",73.4,76,0
,,"Trade and enterprise de-
velopment",,"8,135,859","5,972,568","2,163,291",73.4,76,0
,"Culture and Heri-
tage Preservation","Culture and Heritage Pres-
ervation",,"1,703,000","2,873,434","-1,170,434",168.7,76,0
,,"Culture and Heritage Pres-
ervation",,"1,703,000","2,873,434","-1,170,434",168.7,76,0
,,Sub-Total,,"53,138,500","47,652,265","5,486,235",89.7,76,0
"Youth Affairs, Sports, ICT & Social Services",,,,,,,,76,0
,"Sports Develop-
ment",Sports Development,,"12,383,640","7,849,859","4,533,781",63.4,76,0
,,"Sports Infrastructure De-
velopment",,"12,383,640","7,849,859","4,533,781",63.4,76,0
,"Social Empower-
ment",Social Empowerment,,"94,241,267","57,545,320","36,695,947",61.1,76,0
,,Social Empowerment,,"94,241,267","57,545,320","36,695,947",61.1,76,0
,Social Protection.,Social Protection.,,"12,780,000","12,399,500","380,500",97.0,76,0
,,Social Protection,,"12,780,000","12,399,500","380,500",97.0,76,0
,ICT Services,ICT Services,,"4,120,000","1,395,050","2,724,950",33.9,76,0
,,ICT Services,,"4,120,000","1,395,050","2,724,950",33.9,76,0
,"General adminis-
tration and support
services","General administration
and support services",,"39,495,075","33,486,037","6,009,038",84.8,76,0
,,"General administration
and support services",,"39,495,075","33,486,038","6,067,056",84.8,76,0
,,Sub-Total,,"163,019,982","112,675,766","50,344,216",69.1,76,0
Public Service Management and County Administration,,,,,,,,76,0
,"General adminis-
tration and support
services","General administration
and support services",,"135,963,799","132,013,615","3,950,184",97.1,76,0
,,"General administration
and support services",,"135,963,799","132,013,615","3,950,184",97.1,76,0
,"Public Service
Management","Public Service Manage-
ment",,"37,673,259","25,640,220","12,033,039",68.1,76,0
,,"Coordination of govern-
ment functions",,"35,074,749","23,663,770","11,410,979",67.5,76,0
,,"Citizen participation and
Civic Education",,"2,598,510","1,976,450","622,060",76.1,76,0
,,Sub-Total,,"173,637,058","157,653,834","15,983,224",90.8,76,0
County Public Service Board,,,,,,,,76,0
,"General adminis-
tration and support
services","General administration
and support services",,"39,878,421","38,865,536","1,012,885",97.5,76,0
,,"General administration
and support services",,"39,878,421","38,865,536","1,012,885",97.5,76,0
,,Sub-Total,,"39,878,421","38,865,536","1,012,885",97.5,76,0
"Livestock Production, Fisheries & Cooperative Development",,,,,,,,76,0
,"General adminis-
tration and support
services","General admin-
istration and sup-
port services","101,141,946",,"96,350,717","4,791,229",95.3,76,0
,,"General admin-
istration and sup-
port services","101,141,946",,"96,350,717","4,791,229",95.3,76,0
