Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Assembly,Office of The Speaker,"32,549,787","24,229,124","8,320,663",74.4,166,0
,"Representation, Legisla-
tive And Oversight Ser-
vices","525,543,330","484,803,570","40,739,760",92.2,166,0
,"County Assembly Ser-
vice Board","552,412,270","380,203,736","172,208,534",68.8,166,0
,Sub Total,"1,110,505,387","889,236,430","221,268,957",80.1,166,0
County Executive,"Administration, Planning
And Support Services","430,965,354","331,430,725","99,534,629",76.9,166,0
,"Office Of The County
Secretary","36,260,000","25,207,385","11,052,615",69.5,166,0
,Legal Services,"21,600,000","18,301,517","3,298,483",84.7,166,0
,Communication Services,"43,094,924","6,391,484","36,703,440",14.8,166,0
,Special Programmes,"4,900,000","4,346,700","553,300",88.7,166,0
,"Public Private Partner-
ship","2,300,000","2,000,070","299,930",87.0,166,0
,Advisory Services,"3,650,000",,"3,650,000",0.0,166,0
,"County Public Service
Board","30,342,000","22,426,096","7,915,904",73.9,166,0
,Sub Total,"573,112,278","410,103,977","163,008,301",71.6,166,0
"Administration, cooperate
services and Stakeholder
management","Administration, Planning
And Support Services","590,950,804","505,634,755","85,316,049",85.6,166,0
,Devolved Units Services,"62,645,650","31,460,625","31,185,025",50.2,166,0
,"Human Resource Devel-
opment","7,500,000","5,732,926","1,767,074",76.4,166,0
,Enforcement Services,"11,640,000",,"11,640,000",0.0,166,0
,"Stakeholder Manage-
ment","19,108,809","7,174,277","11,934,532",37.5,166,0
,"Public Participation And
Civic Education","13,420,000","11,245,643","2,174,357",83.8,166,0
,Disaster Management,"14,980,000","6,655,135","8,324,865",44.4,166,0
,Sub Total,"720,245,263","567,903,361","152,341,902",78.8,166,0
"Finance & Economic plan-
ning","Administration, Coordi-
nation And Support Ser-
vices","1,257,941,209","912,591,149","345,350,060",72.5,166,0
,"Pblic Financial Manage-
ment Services","117,427,850","68,393,051","49,034,799",58.2,166,0
,"County Planning Ser-
vices","220,896,852","169,704,054","51,192,798",76.8,166,0
,Sub Total,"1,596,265,911","1,150,688,254","445,577,657",72.1,166,0
"Agriculture, Livestock,
Veterinary & Fisheries","Administrative And Sup-
port Services","545,385,178","483,440,850","61,944,328",88.6,166,0
,"Crop Development And
Value Addition","133,383,337","62,867,274","70,516,063",47.1,166,0
,Livestock Development,"22,000,000","15,868,753","6,131,247",72.1,166,0
,Veterinary Services,"242,025,000","234,447,465","7,577,535",96.9,166,0
,"Co-Operative Develop-
ment And Management","2,250,000","1,125,000","1,125,000",50.0,166,0
,Fisheries Development,"48,000,000","25,921,443","22,078,557",54.0,166,0
,"Kisii Agricultural Train-
ing Center","12,227,550","4,741,740","7,485,810",38.8,166,0
,Sub Total,"1,005,271,065","828,412,525","176,858,540",82.4,166,0
