Programme,Sub-Programme,col_2,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Implementation
Status (%)",page_number,table_index
Monitoring and Evaluation,"Monitoring and Evaluation Of
Projects",,"19,531,789","11,373,736","8,158,053",58.2,83,0
Research and Statistics,County Database and Profile,,"16,276,491","9,478,113","6,798,378",58.2,83,0
"Kenya Devolution Support
Programme","Kenya Devolution Support Pro-
gramme",,"49,130,823","28,609,821","20,521,002",58.2,83,0
Sub Total,,,"196,923,669","114,672,432","82,251,237",58.2,83,0
"Lands, Physical Planning and Urban Development",,,,,,,83,0
Land Policy and Planning,"Spatial Planning and Urban
Planning",,"72,400,289","14,703,600","57,696,689",20.3,83,0
,Survey and Land Planning,,"77,202,725","15,678,915","61,523,810",20.3,83,0
"Environment Management
& Natural Resources Con-
servation","Environment Management and
Natural Resources Conservation",,"92,643,270","18,814,698","73,828,572",20.3,83,0
"General Administration,
Planning & Support Ser-
vices","General Administration and
Support Services",,"61,762,180","12,543,132","49,219,048",20.3,83,0
Sub Total,,,"304,008,464","61,740,346","242,268,118",20.3,83,0
"Investment, Industrialization, Trade and Tourism",,,,,,,83,0
"Administrative Support
Services",Administrative Support Services,,"8,773,631","7,271,936","1,501,694",82.8,83,0
"Trade Development and
Promotion","Trade Development and Promo-
tion",,"35,780,126","29,656,001","6,124,125",82.8,83,0
"Industrial Development and
Investment","Industrial Development and In-
vestment",,"16,336,377","13,540,244","2,796,134",82.8,83,0
Tourism Development,Tourism Development,,"13,366,127","11,078,381","2,287,746",82.8,83,0
Sub Total,,,"74,256,261","61,546,562","12,709,699",82.8,83,0
"Agriculture, Livestock, Fisheries and Co-Operative Development",,,,,,,83,0
"Administrative Support
Services",Administrative Support Services,,"85,058,321","32,474,606","52,583,715",38.1,83,0
"Crop Development and
Management","Crop Development and Manage-
ment",,"317,090,654","121,062,747","196,027,906",38.1,83,0
"Agribusiness and Informa-
tion Management","Agribusiness and Information
Management",,"87,819,589","33,528,837","54,290,753",38.1,83,0
"Livestock Resources Man-
agement & Development","Livestock Resources Manage-
ment and Development",,"118,013,209","45,056,526","72,956,683",38.1,83,0
Fisheries Development,Fisheries Development,,"67,553,530","25,791,413","41,762,117",38.1,83,0
Sub Total,,,"675,535,303","257,914,129","417,621,174",38.1,83,0
"Water, Environment and Natural Resources",,,,,,,83,0
"Water Supply and Sewerage
Services",Domestic Water Supply,,"49,942,725","30,704,925","19,237,800",61.4,83,0
Irrigation,Provision Of Irrigation Water,,"47,445,589","29,169,678","18,275,910",61.4,83,0
"General Administration,
Planning & Support Ser-
vices","General Administration and
Support Services",,"27,468,499","16,887,709","10,580,790",61.4,83,0
Sub Total,,,"124,856,812","76,762,311","48,094,501",61.4,83,0
Health,,,,,,,83,0
Curative Health Services,Primary Health Care,,"1,303,684,649","1,147,976,656","155,707,993",88.0,83,0
"Preventive and Promotive
Health Services","Health Promotion & Disease
Control",,"481,432,902","423,932,071","57,500,831",88.0,83,0
"General Administration
Planning & Support Ser-
vices",General Administration Services,,"373,501,928","328,892,033","44,609,895",88.0,83,0
Sub Total,,,"2,158,619,480","1,900,800,761","257,818,719",88.0,83,0
Embu Level 5 Hospital,,,,,,,83,0
Curative Health Services,Primary Health Care,"401,625,407",,"313,181,286","88,444,120",77.9,83,0
"Preventive and Promotive
Health Services","Health Promotion & Disease
Control","82,489,271",,"64,323,859","18,165,412",77.9,83,0
