Programme,Sub Programmes,Approved Budget,Actual Expenditure,Variance,Variance %,page_number,table_index
"Agriculture, Live-
stock and Fisher-
ies Development","Administration, planning sup-
port services",(Kshs.),(Kshs.),(Kshs.),,355,1
,,"235,242,433","184,416,713","50,825,720",78,355,1
,"Administration, planning support
services","235,242,433","184,416,713","50,825,720",78,355,1
,"Agricultural Development
project","343,709,094","251,987,793","91,721,301",73,355,1
,"Dissemination of Extension mes-
sages",-,-,-,,355,1
,"Agricultural Mechanization Ser-
vices (AMS Garsen station)","22,362,414","8,878,811","13,483,603",40,355,1
,,"56,770,768","24,744,480","32,026,288",44,355,1
,,"3,199,468","420,750","2,778,718",13,355,1
,,"203,000,000","174,150,257","28,849,743",86,355,1
,"Agriculture Sector Development
Support Project (ASDSP)","55,885,044","42,593,495","13,291,549",76,355,1
,"Food and Agriculture Organiza-
tion","2,491,400","1,200,000","1,291,400",48,355,1
,Veterinary Development,"45,155,260","11,743,220","33,412,040",26,355,1
,"Artificial insemination (Pilot
scheme)","5,069,000","1,270,800","3,798,200",25,355,1
,"Buy Tsetse fly traps/Targets (Kip-
ini, Tarasaa)","6,477,379","3,002,900","3,474,479",46,355,1
,Conduct Disease Surveillance,"16,431,615","5,336,320","11,095,295",33,355,1
,,"2,637,096","323,400","2,313,696",12,355,1
,Leather Development Service,"1,254,000","281,400","972,600",22,355,1
,Livestock Development,"11,351,500","3,131,825","8,219,675",28,355,1
,"Livestock production extension
services","1,000,000",-,"1,000,000",,356,0
,Promotion of livestock sales,"2,000,000",-,"2,000,000",,356,0
,,"3,322,000","1,768,855","1,553,145",53,356,0
,,"1,078,000","271,700","806,300",25,356,0
,Milk Cooling Plant,"2,158,500","601,850","1,556,650",28,356,0
,Irrigation Fodder Production,"1,793,000","489,420","1,303,580",27,356,0
,Fisheries Development,"16,430,101",-,"16,430,101",-,356,0
,Fisheries development,"16,430,101",-,"16,430,101",-,356,0
,Fisheries,"7,780,066","2,412,815","5,367,251",31,356,0
,"Empowerment of Women and
Youth on Fish Safety and Quality
Assuran","5,270,066","2,081,000","3,189,066",40,356,0
,"Construction of Ice Plant and
Cold Storage","2,510,000","331,815","2,178,185",13,356,0
,Land Policy and Planning,"61,323,513","31,271,124","30,052,389",51,356,0
,Physical Planning,"52,609,335","25,232,234","27,377,101",48,356,0
,Land Survey and Mapping,"5,514,178","4,229,590","1,284,588",77,356,0
,Land Administration,"3,200,000","1,809,300","1,390,700",57,356,0
"Roads and Public
Works","Infrastructure Development
programme","41,400,000","3,860,000","37,540,000",9,356,0
,Public Works,"19,400,000","3,860,000","15,540,000",20,356,0
